"name","group","element","units","context","S620864","S620874","S620889","S620898","S620911","S620927","S620944","S620956","S620968","S620867","S620868","S620876","S620877","S620886","S620887","S620896","S620900","S620905","S620916","S620918","S620928","S620929","S620940","S620942","S620947","S620954","S620957","S620965","S620967","S620976","S620865","S620881","S620890","S620897","S620908","S620917","S620923","S620932","S620936","S620948","S620959","S620966","S620975","S620870","S620869","S620878","S620879","S620885","S620888","S620895","S620902","S620907","S620910","S620919","S620922","S620924","S620933","S620934","S620941","S620943","S620951","S620955","S620961","S620964","S620971","S620974","S620872","S620882","S620894","S620904","S620912","S620926","S620939","S620950","S620962","S620972","S620866","S620875","S620884","S620893","S620903","S620906","S620914","S620920","S620930","S620938","S620945","S620953","S620960","S620970","S620871","S620880","S620891","S620901","S620913","S620925","S620937","S620949","S620958","S620969","S620863","S620873","S620883","S620892","S620899","S620909","S620915","S620921","S620931","S620935","S620946","S620952","S620963","S620973"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,130,260,370,445,585,680,730,742,90,40,160,150,250,310,360,382,415,455,462,540,570,655,665,721,728,731,738,740,770,20,190,270,380,435,474,530,595,645,720,729,739,760,30,50,140,170,240,280,350,386,420,440,478,510,535,615,620,670,690,724,726,737,733,743,750,80,210,330,410,468,560,650,723,734,745,10,120,230,340,405,430,460,480,590,660,712,727,736,744,70,180,290,395,450,580,632,722,732,741,60,110,220,320,390,425,470,520,610,640,705,725,735,746
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,620864,620874,620889,620898,620911,620927,620944,620956,620968,620867,620868,620876,620877,620886,620887,620896,620900,620905,620916,620918,620928,620929,620940,620942,620947,620954,620957,620965,620967,620976,620865,620881,620890,620897,620908,620917,620923,620932,620936,620948,620959,620966,620975,620870,620869,620878,620879,620885,620888,620895,620902,620907,620910,620919,620922,620924,620933,620934,620941,620943,620951,620955,620961,620964,620971,620974,620872,620882,620894,620904,620912,620926,620939,620950,620962,620972,620866,620875,620884,620893,620903,620906,620914,620920,620930,620938,620945,620953,620960,620970,620871,620880,620891,620901,620913,620925,620937,620949,620958,620969,620863,620873,620883,620892,620899,620909,620915,620921,620931,620935,620946,620952,620963,620973
Pedrotta et al. (2021),Calendar years BP,,,,--/-62/--,--/153/--,--/721/--,--/1150/--,--/3431/--,--/5049/--,--/6568/--,--/7589/--,--/7747/--,--/87/--,--/4/--,--/259/--,--/213/--,--/675/--,--/952/--,--/1132/--,--/1172/--,--/2347/--,--/3540/--,--/3616/--,--/4412/--,--/4837/--,--/6135/--,--/6298/--,--/7466/--,--/7562/--,--/7603/--,--/7698/--,--/7726/--,--/7959/--,--/-29/--,--/398/--,--/767/--,--/1168/--,--/3060/--,--/3746/--,--/4270/--,--/5191/--,--/5971/--,--/7452/--,--/7575/--,--/7712/--,--/7883/--,--/-12/--,--/21/--,--/170/--,--/306/--,--/629/--,--/814/--,--/1114/--,--/1315/--,--/2525/--,--/3260/--,--/3789/--,--/4078/--,--/4341/--,--/5480/--,--/5562/--,--/6380/--,--/6814/--,--/7507/--,--/7534/--,--/7685/--,--/7630/--,--/7754/--,--/7808/--,--/71/--,--/490/--,--/1045/--,--/2169/--,--/3681/--,--/4695/--,--/6053/--,--/7493/--,--/7644/--,--/7770/--,--/-45/--,--/137/--,--/583/--,--/1091/--,--/1991/--,--/2882/--,--/3594/--,--/3811/--,--/5120/--,--/6216/--,--/7343/--,--/7548/--,--/7671/--,--/7762/--,--/54/--,--/352/--,--/860/--,--/1635/--,--/3486/--,--/4978/--,--/5758/--,--/7480/--,--/7616/--,--/7739/--,--/37/--,--/120/--,--/537/--,--/998/--,--/1457/--,--/2704/--,--/3703/--,--/4166/--,--/5403/--,--/5889/--,--/7182/--,--/7521/--,--/7657/--,--/7777/--
Abies,TRSH,pollen,NISP,,,,,,,,,,,,2,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,3,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,,
Acacia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,2,,,,,,,,
Achillea-type,UPHE,pollen,NISP,,3,4,1,,3,2,,,,3,,4,4,2,,3,3,,,2,,1,1,1,1,,,2,1,10,6,2,2,,1,,,1,,,,5,,4,2,2,4,6,1,1,4,1,,2,,1,,2,,,1,,2,4,,5,3,5,2,,,4,1,1,,3,2,1,,1,1,2,,1,,,,3,1,6,,6,1,,,1,,1,1,1,2,2,3,3,1,17,1,2,3,,,,,10
