name,group,element,units,context,S353946,S353947,S353948,S353949,S353950,S353951,S353952,S353953,S353954,S353955,S353956,S353957,S353958,S353959,S353960,S353961,S353962,S353963,S353964,S353965,S353966,S353967,S353968,S353969,S353970,S353971,S353972,S353973,S353974,S353975,S353976,S353977,S353978,S353979,S353980,S353981,S353982,S353983,S353984,S353985,S353986,S353987,S353988,S353989,S353990,S353991,S353992,S353993,S353994
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,190,196,204,216,226,236,247,260,268,278,280,290,299,308,318,329,338,349,368,380,382,388,394,396,399,402,408,414,418,436,439,448,458,468,478,488,499,508,519,529,540,549,558,560,564,566,570,572,576
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,353946,353947,353948,353949,353950,353951,353952,353953,353954,353955,353956,353957,353958,353959,353960,353961,353962,353963,353964,353965,353966,353967,353968,353969,353970,353971,353972,353973,353974,353975,353976,353977,353978,353979,353980,353981,353982,353983,353984,353985,353986,353987,353988,353989,353990,353991,353992,353993,353994
EPD,Radiocarbon years BP,,,,--/5452/--,--/5498/--,--/5559/--,--/5651/--,--/5733/--,--/5865/--,--/6011/--,--/6183/--,--/6289/--,--/6654/--,--/6739/--,--/7163/--,--/7452/--,--/7624/--,--/7816/--,--/8027/--,--/8199/--,--/8410/--,--/8774/--,--/9004/--,--/9043/--,--/9194/--,--/9381/--,--/9444/--,--/9538/--,--/9608/--,--/9659/--,--/9709/--,--/9743/--,--/9894/--,--/9919/--,--/9994/--,--/10078/--,--/10162/--,--/10246/--,--/10330/--,--/10422/--,--/10498/--,--/10590/--,--/10919/--,--/11281/--,--/11577/--,--/11873/--,--/11939/--,--/12071/--,--/12136/--,--/12268/--,--/12334/--,--/12465/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,6349/6179/5913,6389/6236/6001,6451/6312/6116,6563/6435/6293,6675/6554/6429,6819/6694/6565,7014/6876/6749,7284/7137/7007,7478/7325/7188,7746/7590/7438,7804/7647/7492,8100/7937/7768,8362/8200/8019,8626/8457/8268,8918/8736/8538,9228/9033/8830,9475/9270/9066,9769/9551/9351,10249/10015/9809,10539/10294/10066,10587/10340/10108,10736/10474/10233,10877/10605/10352,10919/10647/10387,10979/10709/10438,11036/10768/10488,11155/10880/10591,11272/10984/10680,11347/11049/10732,11685/11310/10949,11736/11350/10982,11894/11467/11085,12063/11594/11202,12232/11725/11329,12401/11864/11468,12567/12016/11625,12761/12205/11835,12923/12381/12024,13239/12629/12263,13376/12888/12464,13757/13206/12763,14007/13484/12954,14310/13774/13150,14384/13839/13196,14541/13971/13287,14625/14037/13333,14799/14169/13424,14888/14235/13470,15065/14367/13556
Alnus,TRSH,pollen,NISP,,62,92,127,132,108,111,105,186,164,99,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,,,,,2,2
Amaranthaceae,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,2,2,1,1,,,,1,,,,,2,1,,,2,1,
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,,,2,2,1,1,2,4,3,6,,,,1,3,5,,1,,
