"name","group","element","units","context","S413759","S413760","S413761","S413762","S413763","S413764","S413765","S413766","S413767","S413768","S413769","S413770","S413771","S413772","S413773","S413774","S413775","S413776","S413777","S413778","S413779","S413780","S413781","S413782","S413783","S413784","S413785","S413786","S413787","S413788","S413789","S413790","S413791","S413792","S413793","S413794","S413795","S413796","S413797","S413798","S413799","S413800","S413801","S413802","S413803"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,2,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,413759,413760,413761,413762,413763,413764,413765,413766,413767,413768,413769,413770,413771,413772,413773,413774,413775,413776,413777,413778,413779,413780,413781,413782,413783,413784,413785,413786,413787,413788,413789,413790,413791,413792,413793,413794,413795,413796,413797,413798,413799,413800,413801,413802,413803
C14 BP,Radiocarbon years BP,,,,--/12/--,--/31/--,--/62/--,--/93/--,--/124/--,--/155/--,--/382/--,--/805/--,--/1228/--,--/1490/--,--/1590/--,--/1718/--,--/1874/--,--/2030/--,--/2186/--,--/2342/--,--/2448/--,--/2504/--,--/2560/--,--/2616/--,--/2672/--,--/2797/--,--/2991/--,--/3185/--,--/3379/--,--/3573/--,--/3686/--,--/3718/--,--/3750/--,--/3782/--,--/3814/--,--/3984/--,--/4291/--,--/4599/--,--/4906/--,--/5164/--,--/5372/--,--/5581/--,--/5789/--,--/5998/--,--/6206/--,--/6414/--,--/6622/--,--/6831/--,--/7039/--
CAL BP,Calibrated radiocarbon years BP,,,,--/-40/--,--/-13/--,--/31/--,--/75/--,--/119/--,--/163/--,--/380/--,--/769/--,--/1158/--,--/1400/--,--/1494/--,--/1638/--,--/1833/--,--/2028/--,--/2223/--,--/2419/--,--/2547/--,--/2609/--,--/2671/--,--/2732/--,--/2794/--,--/2943/--,--/3178/--,--/3413/--,--/3649/--,--/3884/--,--/4027/--,--/4076/--,--/4126/--,--/4176/--,--/4226/--,--/4444/--,--/4832/--,--/5220/--,--/5607/--,--/5920/--,--/6158/--,--/6396/--,--/6634/--,--/6872/--,--/7110/--,--/7324/--,--/7562/--,--/7801/--,--/8039/--
Acer,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Algae,ALGA,palynomorph,NISP,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma,AQVP,pollen,NISP,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,13,12,17,13,29,43,44,43,39,44,35,37,40,44,24,27,13,12,28,29,24,36,20,14,20,48,35,62,45,38,59,44,52,59,38,60,186,233,180,308,109,68,18,12,8
Amaranthaceae,UPHE,pollen,NISP,,29,15,18,15,9,3,6,13,4,9,8,11,4,7,10,13,19,9,12,6,7,7,4,12,3,8,9,9,6,5,8,14,9,,5,6,7,4,6,3,11,9,8,13,15
Anthoceros,UPBR,spore,NISP,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,8,18,26,13,9,19,21,11,15,10,12,10,15,9,11,10,9,8,11,17,6,6,4,2,2,8,7,1,4,1,10,12,1,8,16,10,4,10,7,5,7,4,1,3,4
Artemisia,UPHE,pollen,NISP,,45,47,23,30,22,9,11,27,18,27,15,17,27,22,25,44,21,25,19,19,9,27,17,3,10,12,17,21,10,12,27,23,23,34,23,39,50,44,27,20,55,37,30,62,88
Asteraceae,UPHE,pollen,NISP,,16,16,11,6,5,26,31,17,16,29,28,17,14,14,26,35,20,34,46,25,10,3,8,2,10,19,6,14,15,16,21,27,20,21,33,35,25,9,20,12,17,15,7,7,33
Betula sect. Betula,TRSH,pollen,NISP,,118,55,34,47,22,54,34,51,35,41,28,40,57,54,31,11,36,28,22,10,28,24,26,6,8,18,26,26,33,29,31,32,34,20,42,31,10,9,18,16,66,55,90,156,167
Bistorta officinalis,UPHE,pollen,NISP,,,1,1,,1,,,,,1,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botrychium,VACR,spore,NISP,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Brassicaceae,UPHE,pollen,NISP,,8,21,9,15,7,1,3,4,3,6,3,3,5,5,7,3,10,10,1,3,,3,,,2,1,1,,,1,2,4,1,3,,3,3,,1,,,,,1,
Campanula,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Cannabis,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Carpinus betulus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,4,4,7,8,2,3,2,1,2,2,1,4,,,2,2,1,1,1,2,,,,,,,,1,,1,4,,1,,,3,1,,1,,,,1,2,1
Centaurea,UPHE,pollen,NISP,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Centaurea undiff.,UPHE,pollen,NISP,,3,1,3,,1,1,2,,2,,1,1,,1,1,2,,,,,,,,,1,1,1,,,,1,,1,,1,,,,,,,,1,,1
Chenopodium album,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,14,20,21,15,21,25,41,25,35,20,27,11,49,34,25,25,13,14,13,16,11,9,139,287,117,22,31,17,14,13,16,22,29,14,15,17,15,9,14,7,14,33,21,17,6
Convolvulus,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
