"name","group","element","units","context","S342169","S342170","S342171","S342172","S342173","S342174","S342175","S342176","S342177","S342178","S342179","S342180","S342181","S342182","S342183","S342184","S342185","S342186","S342187","S342188","S342189","S342190","S342191","S342192","S342193","S342194","S342195","S342196","S342197","S342198","S342199","S342200","S342201","S342202","S342203","S342204","S342205","S342206","S342207","S342208","S342209","S342210","S342211","S342212","S342213","S342214","S342215","S342216","S342217","S342218","S342219","S342220","S342221","S342222","S342223","S342224","S342225","S342226","S342227","S342228","S342229","S342230","S342231","S342232","S342233","S342234","S342235","S342236","S342237","S342238","S342239","S342240","S342241","S342242","S342243","S342244","S342245","S342246","S342247","S342248","S342249","S342250","S342251","S342252","S342253","S342254","S342255","S342256","S342257","S342258","S342259","S342260","S342261","S342262","S342263","S342264","S342265","S342266","S342267","S342268","S342269","S342270","S342271","S342272","S342273"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,10,20,30,40,50,60,70,80,90,100,110,120,130,139,147,157,167,177,187,196,206,216,226,236,246,256,266,276,286,296,306,316,326,336,346,356,366,376,386,396,406,416,426,435,445,455,465,475,485,495,506,516,525,535,545,555,565,575,585,595,607,617,627,637,647,657,664,680.5,690.5,700.5,710.5,720.5,731.5,743.5,753.5,763.5,773.5,783.5,788.5,793.5,798.5,803.5,808.5,813.5,818.5,823.5,828.5,833.5,838.5,842.5,848.5,852,858.5,862,872,882,892,902,912,922,932,974,1024,1045
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,342169,342170,342171,342172,342173,342174,342175,342176,342177,342178,342179,342180,342181,342182,342183,342184,342185,342186,342187,342188,342189,342190,342191,342192,342193,342194,342195,342196,342197,342198,342199,342200,342201,342202,342203,342204,342205,342206,342207,342208,342209,342210,342211,342212,342213,342214,342215,342216,342217,342218,342219,342220,342221,342222,342223,342224,342225,342226,342227,342228,342229,342230,342231,342232,342233,342234,342235,342236,342237,342238,342239,342240,342241,342242,342243,342244,342245,342246,342247,342248,342249,342250,342251,342252,342253,342254,342255,342256,342257,342258,342259,342260,342261,342262,342263,342264,342265,342266,342267,342268,342269,342270,342271,342272,342273
Rey et al. (2017),Calendar years BP,,,,--/-59/--,--/-27/--,--/7/--,--/41/--,--/76/--,--/111/--,--/146/--,--/181/--,--/217/--,--/253/--,--/290/--,--/328/--,--/366/--,--/405/--,--/441/--,--/474/--,--/516/--,--/558/--,--/603/--,--/651/--,--/698/--,--/754/--,--/815/--,--/883/--,--/958/--,--/1040/--,--/1132/--,--/1234/--,--/1345/--,--/1465/--,--/1592/--,--/1721/--,--/1852/--,--/1981/--,--/2106/--,--/2224/--,--/2335/--,--/2442/--,--/2544/--,--/2643/--,--/2741/--,--/2838/--,--/2937/--,--/3038/--,--/3132/--,--/3241/--,--/3357/--,--/3481/--,--/3619/--,--/3772/--,--/3946/--,--/4165/--,--/4387/--,--/4604/--,--/4859/--,--/5126/--,--/5402/--,--/5682/--,--/5963/--,--/6242/--,--/6529/--,--/6908/--,--/7271/--,--/7684/--,--/8119/--,--/8542/--,--/8927/--,--/9173/--,--/9700/--,--/10008/--,--/10322/--,--/10620/--,--/10933/--,--/11234/--,--/11536/--,--/11776/--,--/12009/--,--/12241/--,--/12477/--,--/12600/--,--/12725/--,--/12854/--,--/12989/--,--/13128/--,--/13273/--,--/13422/--,--/13575/--,--/13730/--,--/13887/--,--/14044/--,--/14170/--,--/14356/--,--/14463/--,--/14659/--,--/14761/--,--/15038/--,--/15286/--,--/15498/--,--/15671/--,--/15817/--,--/15946/--,--/16071/--,--/16771/--,--/18047/--,--/18650/--
Abies,TRSH,pollen,NISP,,18,4,12,13,13,9,15,10,15,8,3,12,6,11,7,13,27,14,13,9,21,12,12,22,12,9,11,21,12,10,14,2,9,13,1,7,23,16,22,20,12,46,41,48,22,20,35,48,85,53,91,89,93,32,12,34,56,36,25,19,13,27,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,1,,,
Acer,TRSH,pollen,NISP,,,1,1,2,,1,,,1,,,1,,,1,1,,,1,1,,1,1,2,1,1,1,,1,,,1,,,,3,1,1,2,,1,,3,1,2,,1,1,2,1,2,2,1,2,1,,2,4,3,2,2,4,2,4,2,6,7,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea-type,UPHE,pollen,NISP,,,1,2,1,1,1,1,1,1,1,3,,1,,1,,,2,2,,2,2,2,1,,,,,,,,,,1,1,,1,,,1,,,,,,2,,,,2,1,,1,,1,1,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,1,1,1,2,1,,1,1,,,,1
Aconitum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
