"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","ALTEN","Altenweiher","France","Tb",6.99,48.01,825,967,1832,142
"2","ALTEN","Altenweiher","France","Tb",6.99,48.01,1086.52,755,1483.5,129
"3","ALTEN","Altenweiher","France","Tb",6.99,48.01,1292.98,1073,1885.25,98
"4","ALTEN","Altenweiher","France","Tb",6.99,48.01,1465.03,1506,2406.5,136
"5","ALTEN","Altenweiher","France","Tb",6.99,48.01,1602.67,730,1286,172
"6","ALTEN","Altenweiher","France","Tb",6.99,48.01,1809.13,986,1649,151
"7","ALTEN","Altenweiher","France","Tb",6.99,48.01,1946.77,1055,1889.75,132
"8","ALTEN","Altenweiher","France","Tb",6.99,48.01,2106.25,2053,3777,466
"9","ALTEN","Altenweiher","France","Tb",6.99,48.01,2181.25,660,1151.5,79
"10","ALTEN","Altenweiher","France","Tb",6.99,48.01,2293.75,818,1402.25,125
"11","ALTEN","Altenweiher","France","Tb",6.99,48.01,2331.25,711,1207,64
"12","ALTEN","Altenweiher","France","Tb",6.99,48.01,2481.25,935,1706.25,296
"13","ALTEN","Altenweiher","France","Tb",6.99,48.01,2556.25,525,910,80
"14","ALTEN","Altenweiher","France","Tb",6.99,48.01,2631.25,825,1497.75,229
"15","ALTEN","Altenweiher","France","Tb",6.99,48.01,2668.75,1052,1920.75,352
"16","ALTEN","Altenweiher","France","Tb",6.99,48.01,2743.75,691,1353.5,151
"17","ALTEN","Altenweiher","France","Tb",6.99,48.01,2781.25,573,1025.5,99
"18","ALTEN","Altenweiher","France","Tb",6.99,48.01,2856.25,1027,1837.75,224
"19","ALTEN","Altenweiher","France","Tb",6.99,48.01,2931.25,683,1215.5,140
"20","ALTEN","Altenweiher","France","Tb",6.99,48.01,2968.37,607,1130,193
"21","ALTEN","Altenweiher","France","Tb",6.99,48.01,3041.84,918,1698.75,312
"22","ALTEN","Altenweiher","France","Tb",6.99,48.01,3115.3,871,1537.5,176
"23","ALTEN","Altenweiher","France","Tb",6.99,48.01,3188.77,793,1447,244
"24","ALTEN","Altenweiher","France","Tb",6.99,48.01,3225.51,1010,1873.75,268
"25","ALTEN","Altenweiher","France","Tb",6.99,48.01,3298.98,854,1486.5,213
"26","ALTEN","Altenweiher","France","Tb",6.99,48.01,3372.45,748,1301.5,164
"27","ALTEN","Altenweiher","France","Tb",6.99,48.01,3409.18,803,1454.5,240
"28","ALTEN","Altenweiher","France","Tb",6.99,48.01,3482.65,689,1135.75,136
"29","ALTEN","Altenweiher","France","Tb",6.99,48.01,3516.97,1297,2045.75,205
"30","ALTEN","Altenweiher","France","Tb",6.99,48.01,3566.42,569,1014,198
"31","ALTEN","Altenweiher","France","Tb",6.99,48.01,3615.88,726,1239.75,163
"32","ALTEN","Altenweiher","France","Tb",6.99,48.01,3665.33,494,902.75,85
"33","ALTEN","Altenweiher","France","Tb",6.99,48.01,3690.06,649,1142,161
"34","ALTEN","Altenweiher","France","Tb",6.99,48.01,3739.51,754,1323.5,154
"35","ALTEN","Altenweiher","France","Tb",6.99,48.01,3788.97,661,1142.25,100
"36","ALTEN","Altenweiher","France","Tb",6.99,48.01,3813.69,781,1445,213
"37","ALTEN","Altenweiher","France","Tb",6.99,48.01,3863.15,713,1247.75,135
"38","ALTEN","Altenweiher","France","Tb",6.99,48.01,3887.87,619,1078.5,125
"39","ALTEN","Altenweiher","France","Tb",6.99,48.01,3937.33,897,1554,198
"40","ALTEN","Altenweiher","France","Tb",6.99,48.01,4067.82,792,1357.5,111
"41","ALTEN","Altenweiher","France","Tb",6.99,48.01,4193.85,556,951,78
"42","ALTEN","Altenweiher","France","Tb",6.99,48.01,4445.9,674,1232.5,36
"43","ALTEN","Altenweiher","France","Tb",6.99,48.01,4571.92,548,965.75,10
"44","ALTEN","Altenweiher","France","Tb",6.99,48.01,4697.95,1019,1767.25,29
"45","ALTEN","Altenweiher","France","Tb",6.99,48.01,4823.97,663,1178.25,23
