"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-62/--",527,998,0
"2","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/153/--",548,1121.5,0
"3","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/721/--",566,1138.5,0
"4","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1150/--",640,1295.25,0
"5","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3431/--",877,1665.5,0
"6","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5049/--",605,1201.25,0
"7","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6568/--",524,1054.5,0
"8","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7589/--",545,1108.75,0
"9","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7747/--",589,1174.75,0
"10","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/87/--",586,1259,0
"11","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4/--",546,1091,2
"12","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/259/--",566,1135,0
"13","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/213/--",561,1131.75,0
"14","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/675/--",530,1075.75,0
"15","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/952/--",554,1127.25,0
"16","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1132/--",549,1106.25,0
"17","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1172/--",541,1088,0
"18","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2347/--",569,1101.75,1
"19","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3540/--",597,1186.25,0
"20","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3616/--",595,1188.25,0
"21","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4412/--",556,1105,0
"22","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4837/--",566,1134.25,0
"23","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6135/--",668,1340.5,0
"24","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6298/--",536,1085,0
"25","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7466/--",665,1337,1
"26","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7562/--",524,1046,1
"27","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7603/--",608,1200.5,0
"28","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7698/--",533,1059.25,0
"29","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7726/--",535,1081,0
"30","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7959/--",494,988,0
"31","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-29/--",535,1078.75,0
"32","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/398/--",573,1159.25,0
"33","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/767/--",578,1186.5,0
"34","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1168/--",568,1145.75,0
"35","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3060/--",565,1128.5,0
"36","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3746/--",743,1467,0
"37","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4270/--",617,1227,0
"38","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5191/--",586,1155.5,0
"39","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5971/--",699,1383.25,1
"40","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7452/--",522,1105,0
"41","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7575/--",497,981,0
"42","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7712/--",533,1064.25,0
"43","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7883/--",511,1026,0
"44","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-12/--",565,1163.25,0
"45","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/21/--",550,1071.25,0
"46","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/170/--",550,1111.25,0
"47","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/306/--",593,1202.5,0
"48","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/629/--",559,1154.5,0
"49","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/814/--",524,1039.75,0
"50","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1114/--",555,1116.75,0
"51","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1315/--",583,1170,1
"52","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2525/--",538,1074,0
"53","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3260/--",550,1120,0
"54","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3789/--",762,1507.5,0
"55","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4078/--",542,1087.75,0
"56","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4341/--",671,1338.25,0
"57","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5480/--",629,1252.25,3
"58","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5562/--",544,1132.25,0
"59","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6380/--",549,1143.5,0
"60","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6814/--",572,1164.5,0
"61","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7507/--",641,1263.5,0
"62","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7534/--",549,1078.75,1
"63","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7685/--",556,1097,0
"64","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7630/--",599,1176.25,1
