"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/--/--",676,1312.25,5
"2","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/53/--",1396,2685.5,2
"3","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/107/--",1473,3167.5,8
"4","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/160/--",1860,3615.25,11
"5","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/213/--",1768,3428.75,21
"6","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/402/--",1787,3623.5,17
"7","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/726/--",2080,3929,8
"8","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/1049/--",1522,2818.25,15
"9","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/1373/--",1859,3352.25,6
"10","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/1697/--",1898,3502,3
"11","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/2021/--",1206,2199,8
"12","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/2344/--",1502,2850.5,32
"13","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/2668/--",1475,2712.25,11
"14","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/2992/--",1506,2717.25,15
"15","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/3316/--",1485,2782.75,51
"16","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/3589/--",993,1751.5,59
"17","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/3828/--",832,1543.25,25
"18","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/4068/--",1088,2035.5,105
"19","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/4308/--",1526,3014.25,155
"20","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/4547/--",1530,3031,160
"21","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/4787/--",1325,2579,96
"22","BEGB","Peat-bog Begbunar","Bulgaria","Tg",22.55,42.15,"--/5027/--",1128,2235,150
