"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/-34/--",2041,3755.25,0
"2","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/100/--",3126,5913,2
"3","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/153/--",2957,5680.5,0
"4","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/220/--",2518,4786,0
"5","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/282/--",2762,5319.25,3
"6","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/332/--",2455,4719.5,1
"7","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/419/--",1582,3036.75,0
"8","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/437/--",1912,3663.5,0
"9","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/474/--",1965,3699.75,1
"10","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/521/--",1429,2650.25,0
"11","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/575/--",1661,3165.75,1
"12","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/634/--",1860,3416.75,1
"13","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/691/--",1688,2888.25,0
"14","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/736/--",1450,2606.25,1
"15","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/851/--",1254,2107,0
"16","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1008/--",1229,2113.75,0
"17","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1164/--",1306,2291,0
"18","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1350/--",1082,1906.5,0
"19","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1600/--",1321,2216,1
"20","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1782/--",1316,2209,0
"21","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1915/--",1529,2591.25,1
"22","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2063/--",1379,2228.5,0
"23","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2149/--",1656,2864.75,1
"24","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2223/--",1452,2512.75,0
"25","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2331/--",1467,2567,0
"26","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2459/--",1658,2769.5,0
"27","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2571/--",1482,2483.25,1
"28","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2709/--",1517,2589.75,1
"29","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2854/--",1633,2747.25,0
"30","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3014/--",1468,2358.25,0
"31","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3186/--",1963,3023.25,0
"32","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3350/--",1639,2601.25,0
"33","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3549/--",1627,2648.75,1
"34","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3719/--",1752,2741.75,0
"35","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3902/--",1500,2307.5,0
"36","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4079/--",1757,2766.5,0
"37","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4282/--",1331,2168.25,0
"38","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4477/--",1645,2506.75,0
"39","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4691/--",1533,2397.75,0
"40","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4898/--",1423,2259.5,0
"41","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5091/--",1461,2335.25,0
"42","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5262/--",1486,2419.5,0
"43","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5484/--",1555,2472,0
"44","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5734/--",1308,1986.75,0
"45","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5936/--",1294,2075.75,0
"46","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6161/--",1256,2089.75,0
"47","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6402/--",1282,2266.25,0
"48","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6630/--",1215,2145,0
"49","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6847/--",1354,2237,0
"50","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7115/--",1300,2077.25,0
"51","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7346/--",1249,2115.5,0
"52","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7587/--",1379,2258.5,0
"53","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7783/--",1312,2153,0
"54","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7998/--",1367,2245.75,0
"55","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8253/--",1329,2110.5,0
"56","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8520/--",1446,2304.75,0
"57","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8616/--",1426,2218.25,0
"58","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8897/--",1498,2289.5,0
"59","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/9225/--",1771,2658.5,0
"60","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/-15/--",2359,4419,0
"61","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/121/--",2775,5217.25,0
"62","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/174/--",2746,5210,0
"63","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/245/--",2710,5200.75,0
"64","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/307/--",2582,4911.25,0
"65","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/369/--",2012,3885.25,0
"66","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/425/--",1883,3645,0
"67","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/444/--",1841,3541.75,0
"68","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/480/--",1691,3162.25,0
"69","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/533/--",1506,2766.25,0
"70","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/587/--",1730,3262.25,0
"71","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/640/--",2097,3777.5,1
"72","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/696/--",1558,2661.5,4
"73","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/747/--",1365,2410.25,0
"74","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/914/--",1277,2210.5,0
"75","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1117/--",1262,2228,0
"76","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1227/--",1233,2185.75,0
"77","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1500/--",1152,1925.5,0
"78","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1695/--",1456,2407.5,0
"79","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1869/--",1384,2274.25,0
"80","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2021/--",1403,2311.75,0
"81","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2115/--",1467,2384,0
"82","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2212/--",1440,2445.25,1
"83","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2310/--",1447,2470.5,0
"84","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2434/--",1678,2832.5,0
"85","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2549/--",1456,2347.75,0
"86","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2681/--",1648,2900.5,0
"87","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2824/--",1616,2703.25,0
"88","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2962/--",1401,2301.75,1
"89","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3168/--",1906,2965,0
"90","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3370/--",1609,2639,0
"91","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3568/--",1621,2626.25,1
"92","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3755/--",1619,2613.5,0
"93","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3919/--",1508,2341.25,0
"94","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4097/--",1570,2491.25,0
"95","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4303/--",1297,2067,0
"96","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4520/--",1825,2869.25,0
"97","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4732/--",1429,2257.5,0
"98","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4919/--",1370,2192,0
"99","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5110/--",1501,2445.5,0
"100","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5298/--",1492,2369.75,0
"101","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5463/--",1483,2330,0
"102","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5688/--",1384,2174,0
"103","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5914/--",1195,1931,1
"104","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6138/--",1269,2186.25,0
"105","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6303/--",1260,2188.5,0
"106","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6558/--",1266,2131.5,0
"107","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6795/--",1249,2236.25,0
"108","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7016/--",1342,2182.25,0
"109","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7251/--",1213,2162,0
"110","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7539/--",1374,2214.75,0
"111","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7758/--",1304,2110,0
"112","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8022/--",1340,2182,0
"113","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8222/--",1249,1925.75,0
"114","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8462/--",1442,2260.75,0
"115","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8593/--",1378,1974.5,1
"116","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8865/--",1661,2530.75,0
"117","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/9190/--",1757,2731,0
"118","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/-25/--",1809,3235.75,0
"119","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/110/--",2848,5375.5,0
"120","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/164/--",2891,5482.75,0
"121","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/233/--",2484,4698.25,2
"122","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/295/--",2368,4549.5,0
"123","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/344/--",1929,3662.25,1
"124","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/406/--",1815,3490.75,1
"125","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/462/--",1844,3476.75,1
"126","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/509/--",1654,3138.25,0
"127","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/557/--",1627,2965.75,0
"128","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/617/--",1918,3524.75,0
"129","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/668/--",1716,2931.5,0
"130","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/724/--",1509,2635.75,1
"131","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/835/--",1245,2101.75,0
"132","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/976/--",1286,2251.25,0
"133","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1055/--",1236,2143.25,0
"134","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1242/--",1211,2157.75,0
"135","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1450/--",1100,1870.75,0
"136","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1677/--",1404,2324.5,1
"137","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1852/--",1335,2197.5,0
"138","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2006/--",1370,2262.75,0
"139","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2106/--",1586,2597.25,1
"140","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2192/--",1524,2683.25,3
"141","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2320/--",1460,2514.25,0
"142","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2447/--",1606,2684,1
"143","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2560/--",1475,2371.25,0
"144","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2695/--",1603,2770.25,0
"145","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2839/--",1581,2618.75,1
"146","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2979/--",1371,2316.5,0
"147","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3133/--",1480,2248.5,0
"148","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3313/--",1593,2468.75,0
"149","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3510/--",1475,2406,0
"150","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3700/--",1919,3010,0
"151","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/3884/--",1471,2279.25,0
"152","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4061/--",1646,2578.75,0
"153","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4261/--",1384,2300.75,0
"154","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4499/--",1665,2562,0
"155","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4711/--",1411,2214,0
"156","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/4940/--",1358,2173.25,0
"157","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5129/--",1447,2286.75,0
"158","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5280/--",1585,2529.25,0
"159","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5443/--",1536,2549.5,0
"160","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5664/--",1381,2164.25,0
"161","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/5892/--",1240,1967.75,0
"162","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6115/--",1251,2160.75,0
"163","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6353/--",1285,2236.25,0
"164","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6655/--",1169,1981,0
"165","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/6868/--",1306,2261.75,0
"166","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7090/--",1286,2095,0
"167","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7318/--",1463,2368,0
"168","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7419/--",1308,2102.25,0
"169","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7634/--",1250,2032,0
"170","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/7880/--",1352,2167.75,0
"171","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8141/--",1266,2000.25,0
"172","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8407/--",1485,2367,0
"173","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8592/--",1335,1924.5,1
"174","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/8786/--",1625,2483.5,0
"175","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/9118/--",1930,2925.5,0
"176","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/-19/--",1773,3115.75,0
"177","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/132/--",2906,5492.75,0
"178","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/196/--",2718,5159.25,0
"179","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/270/--",2641,5078.5,0
"180","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/357/--",1951,3755.25,0
"181","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/413/--",1814,3514.75,0
"182","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/450/--",1891,3614.25,2
"183","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/497/--",1846,3450.75,0
"184","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/545/--",1612,2966,0
"185","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/606/--",1962,3660.25,0
"186","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/651/--",1978,3531.5,1
"187","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/708/--",1480,2551,0
"188","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/758/--",1334,2350.75,1
"189","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/867/--",1236,2090.25,0
"190","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1023/--",1205,2116.25,0
"191","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1180/--",1188,2059.75,0
"192","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1375/--",1080,1844.5,1
"193","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1625/--",1281,2130.5,0
"194","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1800/--",1404,2349,0
"195","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/1960/--",1535,2552.25,0
"196","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2080/--",1398,2253.25,1
"197","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2175/--",1561,2637,1
"198","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2274/--",1337,2271.75,0
"199","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2408/--",1641,2826.25,1
"200","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2527/--",1406,2278.25,0
"201","BELAU","Lake Belau","Germany","Tb",10.25111,54.09854,"--/2667/--",1628,2751.25,0
