"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/-59/--",614,1166,18
"2","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/-27/--",726,1385,4
"3","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/7/--",614,1144.5,12
"4","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/41/--",762,1453.5,13
"5","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/76/--",841,1548.5,13
"6","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/111/--",788,1491.5,9
"7","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/146/--",1035,1966.5,15
"8","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/181/--",882,1715.25,10
"9","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/217/--",748,1464,15
"10","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/253/--",574,1152,8
"11","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/290/--",527,1035,3
"12","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/328/--",518,1007.75,12
"13","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/366/--",582,1084.5,6
"14","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/405/--",650,1251.5,11
"15","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/441/--",656,1222.75,7
"16","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/474/--",779,1400,13
"17","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/516/--",879,1567.5,27
"18","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/558/--",955,1705,14
"19","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/603/--",729,1385.75,13
"20","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/651/--",698,1298,9
"21","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/698/--",1154,2259,21
"22","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/754/--",935,1827.25,12
"23","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/815/--",825,1567.25,12
"24","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/883/--",939,1774.75,22
"25","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/958/--",743,1327,12
"26","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/1040/--",909,1565.25,9
"27","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/1132/--",746,1297.75,11
"28","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/1234/--",672,1200.75,21
"29","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/1345/--",657,1159.75,12
"30","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/1465/--",742,1269.75,10
"31","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/1592/--",765,1298,14
"32","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/1721/--",871,1316.75,2
"33","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/1852/--",717,1294,9
"34","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/1981/--",703,1284.5,13
"35","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/2106/--",666,1177,1
"36","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/2224/--",724,1199.5,7
"37","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/2335/--",725,1299.75,23
"38","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/2442/--",740,1267.5,16
"39","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/2544/--",821,1323.75,22
"40","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/2643/--",878,1431,20
"41","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/2741/--",826,1277.5,12
"42","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/2838/--",871,1483.75,46
"43","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/2937/--",890,1535,41
"44","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/3038/--",894,1454.25,48
"45","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/3132/--",913,1492,22
"46","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/3241/--",958,1440.75,20
"47","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/3357/--",778,1296.75,35
"48","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/3481/--",695,1170.75,48
"49","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/3619/--",883,1410.25,85
"50","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/3772/--",825,1408,53
"51","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/3946/--",753,1403,91
"52","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/4165/--",963,1648.5,89
"53","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/4387/--",1040,1828.25,93
"54","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/4604/--",911,1527.5,32
"55","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/4859/--",850,1259.25,12
"56","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/5126/--",966,1645.75,34
"57","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/5402/--",1087,1713,56
"58","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/5682/--",767,1245.75,36
"59","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/5963/--",685,1103.75,25
"60","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/6242/--",682,1148,19
"61","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/6529/--",595,1075.5,13
"62","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/6908/--",793,1427.75,27
"63","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/7271/--",808,1406.75,5
"64","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/7684/--",614,1123.75,2
"65","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/8119/--",506,898.75,1
"66","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/8542/--",576,960.75,0
"67","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/8927/--",467,805.75,0
"68","BURGA","Burgaschisee","Switzerland","Tb",7.67,47.17,"--/9173/--",670,1082,0
