"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,97.8,760,1331.25,0
"2","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,475.6,749,1287.75,0
"3","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,743.7,596,1115.75,0
"4","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,840.3,389,700.75,0
"5","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,1040.3,479,891.25,0
"6","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,1253.6,409,740,0
"7","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,1364.3,507,913.5,0
"8","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,1475,385,644,0
"9","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,1583.2,532,902,0
"10","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,2061,561,947.25,0
"11","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,2339.8,552,903,0
"12","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,2425.5,457,728.75,0
"13","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,2510.5,407,639.25,0
"14","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,2590,312,517.5,0
"15","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,2666.2,186,339.75,0
"16","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,2744.5,241,443.75,0
"17","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,2876.9,265,511.25,0
"18","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3010.5,302,574.75,0
"19","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3087.6,362,694.75,0
"20","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3164.9,217,410,0
"21","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3282.2,361,683.75,0
"22","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3404.4,385,716.75,0
"23","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3483.1,292,555.5,0
"24","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3559.3,323,632.5,0
"25","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3597.1,318,614.25,0
"26","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3634.8,415,807.5,0
"27","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3672.9,439,857,0
"28","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3710.1,183,283.5,0
"29","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3746.9,238,366.5,0
"30","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,3783.2,274,495.5,0
"31","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,4337.7,297,495,0
"32","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,5168.9,408,678,0
"33","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,6230.2,227,379.75,0
"34","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,7082.4,360,597.75,0
"35","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,7965,358,588.5,0
"36","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,8396.8,443,850,0
"37","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,8827.7,354,688.5,0
"38","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,9131.5,203,385,0
"39","CANAD","Canada de la Cruz","Spain","Ma",-2.69,38.06,9406.9,142,269.75,0
