"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/184/--",531,1064.25,11
"2","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/205/--",328,656.75,3
"3","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/226/--",487,932,1
"4","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/267/--",603,1202.25,1
"5","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/308/--",569,1114,6
"6","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/415/--",527,1036,10
"7","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/522/--",629,1238.5,22
"8","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/629/--",525,1031.25,42
"9","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/736/--",589,1167.5,24
"10","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/843/--",542,1091.5,44
"11","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/950/--",575,1136.5,80
"12","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1057/--",612,1215.75,29
"13","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1111/--",652,1281.5,61
"14","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1164/--",541,1082,37
"15","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1271/--",506,1017.25,69
"16","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1325/--",545,1084.75,116
"17","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1378/--",530,1037.5,54
"18","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1432/--",438,865.5,65
"19","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1485/--",463,921.5,98
"20","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1539/--",501,1000.5,151
"21","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1573/--",578,1145.5,97
"22","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1587/--",610,1197.5,108
"23","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1601/--",550,1089.5,133
"24","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1616/--",636,1220.25,75
"25","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1630/--",221,443.5,21
"26","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1644/--",483,949.5,98
"27","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1659/--",466,902,77
"28","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1673/--",463,918.5,84
"29","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1687/--",499,974,78
"30","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1701/--",478,940.25,66
"31","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1716/--",552,1094.25,70
"32","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1730/--",496,965.75,94
"33","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1759/--",485,958.75,66
"34","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1773/--",476,946,70
"35","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1787/--",468,918,50
"36","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1802/--",495,967.5,38
"37","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1816/--",520,1021.25,70
"38","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1830/--",498,997.5,75
"39","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1845/--",474,930,47
"40","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1859/--",566,1114,42
"41","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1873/--",506,1016.5,50
"42","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1888/--",482,964.75,55
"43","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1902/--",488,967.75,110
"44","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1916/--",467,924.25,74
"45","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1931/--",379,743,87
"46","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1945/--",490,965.75,142
"47","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1959/--",539,1060,186
"48","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1974/--",451,902,136
"49","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/1988/--",510,1027.5,88
"50","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2002/--",523,1037.75,113
"51","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2016/--",526,1043,57
"52","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2031/--",445,885.5,102
"53","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2045/--",533,1053.25,98
"54","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2059/--",463,937.25,109
"55","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2074/--",558,1110,141
"56","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2198/--",546,1084.5,95
"57","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2322/--",514,1041.5,101
"58","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2447/--",598,1196,50
"59","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2571/--",581,1144.75,36
"60","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2695/--",654,1291.5,45
"61","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2819/--",536,1054.75,31
"62","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/2944/--",562,1133,35
"63","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/3068/--",519,1023,70
"64","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/3192/--",528,1040.25,70
"65","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/3317/--",571,1128.5,54
"66","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/3441/--",578,1139.5,33
"67","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/3565/--",535,1052,18
"68","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/3689/--",515,1028.5,4
"69","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/3814/--",457,899.75,17
"70","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/3938/--",521,1036,5
"71","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/4154/--",545,1064.5,4
"72","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/4370/--",480,939.75,6
"73","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/4586/--",480,953.25,5
"74","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/4802/--",628,1199,3
"75","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/5018/--",629,1213.75,0
"76","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/5234/--",539,1054.75,0
"77","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/5321/--",689,1322.5,0
"78","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/5450/--",581,1117,0
"79","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/5666/--",469,917,0
"80","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/5882/--",576,1069.5,0
"81","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/6112/--",496,947.75,0
"82","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/6354/--",164,307.75,0
"83","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/6596/--",519,912.75,0
"84","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/6839/--",505,877.25,0
"85","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/7081/--",583,1006.25,1
"86","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/7324/--",607,1008.5,0
"87","CAPA","Capatana","Romania","Tf",23.14,46.47,"--/7566/--",777,1296.75,0
