"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/-53/--",504,930.5,2
"2","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/99/--",1092,2031.25,0
"3","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/251/--",1053,1886.25,1
"4","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/403/--",483,847.25,0
"5","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/555/--",1156,2109.25,2
"6","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/707/--",752,1377.75,1
"7","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/859/--",487,877,0
"8","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/1011/--",1837,3288.75,2
"9","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/1163/--",708,1347.75,2
"10","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/1315/--",518,949.25,0
"11","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/1467/--",421,800.75,0
"12","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/1620/--",554,1001.25,1
"13","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/1772/--",853,1433.75,1
"14","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/1962/--",890,1563.5,1
"15","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2076/--",715,1312,5
"16","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2228/--",544,1015.25,0
"17","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2330/--",666,1233.75,6
"18","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2402/--",622,1132.5,6
"19","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2474/--",678,1270.75,2
"20","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2547/--",1057,1926.5,6
"21","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2619/--",533,987.25,2
"22","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2691/--",638,1184,8
"23","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2764/--",754,1355,3
"24","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2836/--",603,1111.5,2
"25","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2908/--",604,1126.5,1
"26","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/2939/--",557,991.25,1
"27","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3002/--",991,1751.75,3
"28","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3064/--",1007,1847.25,4
"29","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3126/--",612,1123.5,8
"30","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3189/--",598,1071,1
"31","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3251/--",607,1089,8
"32","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3314/--",824,1499,1
"33","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3376/--",940,1704,1
"34","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3438/--",829,1457.25,0
"35","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3501/--",1044,1882,3
"36","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3563/--",672,1210.5,1
"37","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3625/--",796,1483.5,3
"38","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3688/--",678,1239.75,3
"39","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3719/--",1419,2491,3
"40","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3781/--",608,1118.75,1
"41","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3844/--",628,1130.75,1
"42","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3906/--",404,705.75,0
"43","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/3968/--",783,1333.5,1
"44","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4043/--",647,1126,1
"45","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4125/--",1980,3535.5,4
"46","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4207/--",777,1388.25,1
"47","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4289/--",587,1058.5,0
"48","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4371/--",436,752,0
"49","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4452/--",811,1412.25,1
"50","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4534/--",663,1190.25,1
"51","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4616/--",478,770.25,1
"52","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4657/--",611,974.5,0
"53","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4712/--",524,853.25,0
"54","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4766/--",844,1426.25,1
"55","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4820/--",938,1530.5,1
"56","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4874/--",792,1243.5,1
"57","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4928/--",955,1585.5,2
"58","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/4981/--",1696,3150.75,5
"59","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5033/--",820,1495.5,1
"60","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5084/--",866,1365.25,1
"61","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5134/--",635,1012.75,1
"62","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5184/--",574,926,0
"63","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5234/--",916,1491.5,1
"64","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5285/--",837,1294.5,0
"65","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5310/--",795,1236.75,0
"66","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5360/--",1532,2158.25,0
"67","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5410/--",1837,2890.25,1
"68","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5461/--",1296,2021.25,0
"69","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5511/--",1107,1771.5,0
"70","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5561/--",1826,3069.25,1
"71","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5664/--",764,1186.75,0
"72","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5798/--",1248,1827,0
"73","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/5932/--",2225,3462.25,1
"74","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/6066/--",1676,2490.25,0
"75","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/6201/--",1889,2869.25,0
"76","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/6335/--",2297,3435.25,0
"77","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/6469/--",2444,3371.5,0
"78","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/6536/--",2640,3713.5,0
"79","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/9931/--",1719,2811.75,0
"80","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/10117/--",508,885.5,0
"81","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/10302/--",1036,1509.5,0
"82","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/10488/--",2559,3878.25,0
"83","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/10674/--",644,1195,0
"84","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/10860/--",964,1844.75,0
"85","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/11045/--",1827,3457.75,0
"86","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/11231/--",443,850.75,0
"87","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/11417/--",557,1101.25,0
"88","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/11603/--",658,1348.25,0
"89","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/11789/--",952,1818.5,0
"90","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/11974/--",586,1160.75,0
"91","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/12067/--",493,933.5,0
"92","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/12253/--",1584,2378.25,1
"93","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/12323/--",729,1161,0
"94","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/12439/--",496,836,0
"95","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/12508/--",458,773.5,0
"96","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/12624/--",483,925.5,0
"97","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/12810/--",1276,2459.75,0
"98","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/12996/--",585,1133.25,0
"99","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/13182/--",650,1310.5,0
"100","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/13368/--",1035,2072.25,1
"101","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/13553/--",500,997.75,0
"102","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/13739/--",820,1665.5,0
"103","CHAMP","Champ Gazon","France","Tb",4.048611,47.203333,"--/13925/--",1993,3953,0
