"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/182/--",102,201,0
"2","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/322/--",115,224,0
"3","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/461/--",97,198.25,0
"4","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/600/--",107,220.75,0
"5","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/739/--",103,169.5,0
"6","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/878/--",77,148.75,0
"7","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1017/--",90,135.75,0
"8","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1157/--",95,156.5,0
"9","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1296/--",79,158.5,0
"10","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1435/--",103,156.75,0
"11","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1511/--",108,159.75,0
"12","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1587/--",106,176.75,0
"13","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1664/--",100,156.5,0
"14","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1740/--",97,152.75,0
"15","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1816/--",91,145.25,0
"16","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1862/--",110,173.25,0
"17","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1908/--",99,153.25,0
"18","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/1954/--",108,170.25,0
"19","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/2005/--",44,74,0
"20","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/2234/--",104,165.5,0
"21","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/2463/--",101,167,0
"22","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/2692/--",100,172.25,0
"23","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/2921/--",100,167.25,0
"24","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/3150/--",97,152.5,0
"25","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/3379/--",103,165.75,0
"26","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/3493/--",110,172.25,0
"27","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/3608/--",104,157.75,0
"28","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/3722/--",104,156.25,0
"29","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/3837/--",100,156.75,0
"30","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/3894/--",101,164.5,0
"31","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/3951/--",89,136,0
"32","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/4066/--",107,172.75,0
"33","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/4180/--",98,161,0
"34","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/4399/--",93,130.5,0
"35","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/4618/--",102,151.5,0
"36","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/4837/--",85,126.5,0
"37","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5056/--",99,150,0
"38","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5275/--",100,147.5,0
"39","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5493/--",105,156.75,0
"40","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5712/--",103,146.75,0
"41","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5761/--",108,170.25,0
"42","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5798/--",109,173,0
"43","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5836/--",85,122,0
"44","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5873/--",70,116.75,0
"45","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5910/--",61,103.25,0
"46","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5929/--",106,162.5,0
"47","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5948/--",110,167.5,0
"48","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5966/--",93,132,0
"49","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/5985/--",103,146.75,0
"50","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/6050/--",99,150.75,0
"51","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/6115/--",114,181.5,0
"52","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/6180/--",106,157.25,0
"53","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/6244/--",104,148.75,0
"54","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/6374/--",97,135.5,0
"55","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/6504/--",109,164.75,0
"56","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/6634/--",121,189.5,0
"57","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/6893/--",110,166.75,0
"58","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/7153/--",89,133,0
"59","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/7378/--",97,141.5,0
"60","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/7579/--",63,94.5,0
"61","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/7781/--",66,93.75,0
"62","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/7982/--",110,180.25,0
"63","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/8183/--",109,163.25,0
"64","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/8384/--",93,127.5,0
"65","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/8585/--",115,179,0
"66","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/8786/--",95,139,0
"67","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/9000/--",102,140.25,0
"68","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/9189/--",99,146.25,0
"69","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/9425/--",98,155.5,0
"70","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/9696/--",104,155.5,0
"71","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/9966/--",108,153.75,0
"72","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/10237/--",105,173.25,0
"73","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/10372/--",57,99,0
"74","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/10458/--",100,173.75,0
"75","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/10569/--",104,211.75,0
"76","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/10667/--",24,59.25,0
"77","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/10864/--",76,164,0
"78","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/11061/--",95,186.25,0
"79","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/11257/--",115,305.75,0
"80","CLARA","Clara Bog","Ireland","Ta",-7.63,53.32,"--/11454/--",117,228.75,0
