"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/-32/--",445,717,1
"2","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/-14/--",434,722,0
"3","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/3/--",443,729.5,1
"4","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/21/--",452,768.75,0
"5","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/38/--",472,792.5,0
"6","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/56/--",446,740.75,1
"7","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/74/--",436,750.5,0
"8","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/91/--",436,774.25,0
"9","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/109/--",451,801,1
"10","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/126/--",458,838.25,1
"11","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/144/--",501,815.25,2
"12","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/162/--",510,855.75,0
"13","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/179/--",541,881.75,0
"14","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/197/--",505,809.25,0
"15","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/214/--",508,830,0
"16","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/232/--",529,839.5,0
"17","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/249/--",523,890.75,0
"18","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/267/--",540,916.25,0
"19","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/285/--",540,900.25,0
"20","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/302/--",515,856.75,0
"21","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/320/--",509,874.25,0
"22","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/337/--",540,885.25,0
"23","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/355/--",493,808.25,0
"24","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/373/--",469,720.75,0
"25","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/390/--",514,803,0
"26","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/408/--",494,779.25,0
"27","CRANE","Cranes moor","United Kingdom","Ta",-1.73,50.83,"--/425/--",495,818.25,0
