"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,-41,540,1037.25,0
"2","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,236,588,1168.5,0
"3","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,420,326,623.5,0
"4","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,513,260,473.5,0
"5","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,605,203,367.75,0
"6","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,697,162,293.25,0
"7","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,790,255,464.25,0
"8","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,882,283,520.25,0
"9","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,1159,410,793,0
"10","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,1366,151,274.25,0
"11","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,1470,219,279.75,0
"12","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,1574,258,356.25,0
"13","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,1678,417,697.5,0
"14","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,1781,602,1075.75,0
"15","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,1885,435,739.5,0
"16","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,1989,544,961.25,0
"17","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2093,515,917.5,0
"18","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2197,514,928.25,0
"19","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2292,442,822.5,0
"20","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2382,636,1153.5,0
"21","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2473,310,542.75,0
"22","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2563,479,863.5,0
"23","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2653,535,966.5,0
"24","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2744,485,841.75,0
"25","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2834,590,1103.5,0
"26","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,2925,624,1210.5,0
"27","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3015,597,1163.25,0
"28","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3105,521,997,0
"29","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3196,582,1137,0
"30","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3286,635,1232.5,0
"31","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3376,220,420.5,0
"32","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3557,592,1153.25,0
"33","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3648,522,945.75,0
"34","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3738,210,373.5,0
"35","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3828,399,662.25,0
"36","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,3919,231,409.5,0
"37","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,4009,213,389.25,0
"38","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,4099,246,435.75,0
"39","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,4190,330,569.25,0
"40","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,4280,258,425.25,0
"41","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,4371,223,365.75,0
"42","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,4461,125,220.75,0
"43","EBRO","Central Ebro Desert","Spain","Ma",-0.3,41.2,4597,154,273.5,0
