"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,751,902,1682.25,85
"2","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,831,596,1183.25,111
"3","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,912,677,1291.75,122
"4","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,996,596,1145.25,79
"5","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1081,638,1231,83
"6","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1169,683,1296.25,68
"7","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1259,658,1239.75,133
"8","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1351,528,993,116
"9","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1445,657,1193.25,73
"10","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1541,517,940.75,96
"11","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1639,618,1164.75,90
"12","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1739,516,1018.5,87
"13","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1841,561,1088,136
"14","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,1944,626,1187,98
"15","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,2049,559,1064,118
"16","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,2155,592,1111,80
"17","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,2263,599,1121.25,100
"18","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,2373,671,1255.5,129
"19","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,2484,592,1110.25,148
"20","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,2596,586,1120.5,151
"21","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,2709,547,1036.5,138
"22","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,2824,466,878.75,93
"23","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,2881,577,1095.75,150
"24","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,3056,660,1237.25,121
"25","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,3173,700,1304.25,142
"26","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,3291,638,1172.75,106
"27","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,3410,539,1006,119
"28","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,3529,585,1085,118
"29","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,3649,596,1124.25,93
"30","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,3769,694,1247,91
"31","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,3889,584,1091.5,80
"32","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,4010,525,998.5,114
"33","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,4130,650,1194.25,102
"34","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,4251,565,1033.75,65
"35","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,4371,544,1010,126
"36","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,4491,568,1041,129
"37","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,4611,571,1067.5,159
"38","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,4731,587,1108.5,161
"39","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,4849,808,1544.75,271
"40","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,4968,755,1426,249
"41","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,5085,580,1091.75,168
"42","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,5202,584,1125.25,90
"43","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,5318,669,1223.25,102
"44","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,5432,646,1229,63
"45","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,5546,518,978.25,40
"46","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,5659,614,1171,43
"47","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,5770,486,924,48
"48","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,5825,547,1011.5,44
"49","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6042,552,1047.75,96
"50","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6095,425,834.25,39
"51","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6201,453,898.5,40
"52","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6253,551,1061.5,56
"53","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6356,505,974.25,46
"54","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6406,511,983.25,52
"55","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6507,422,826.75,91
"56","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6605,587,1081,33
"57","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6701,647,1283,39
"58","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6796,762,1428,31
"59","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,6888,641,1268.75,28
"60","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7023,703,1386,31
"61","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7110,515,960.25,22
"62","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7237,588,1133.25,18
"63","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7319,844,1637.75,11
"64","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7437,584,1097.75,7
"65","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7551,545,1036.75,4
"66","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7624,520,980.75,4
"67","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7694,555,1023.75,2
"68","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7763,596,1114,6
"69","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7829,570,1021.5,1
"70","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7893,560,985.75,1
"71","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,7984,602,1045,2
"72","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8043,646,1139.5,3
"73","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8099,637,1190,3
"74","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8127,522,920.25,1
"75","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8180,590,994,2
"76","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8232,732,1353,1
"77","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8281,592,1083.5,1
"78","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8329,533,1046.5,1
"79","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8375,536,988.75,1
"80","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8419,541,977.75,0
"81","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8462,623,1095.25,0
"82","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8504,641,1163.75,1
"83","ETAN","Etang de la Gruere","Switzerland","Tb",7.05,47.24,8563,558,997.5,0
