"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"786/370/-44",213,467.5,0
"2","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"854/461/69",295,685.25,0
"3","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"923/553/182",248,570.5,0
"4","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"992/644/296",242,563.25,0
"5","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1061/736/408",236,532.5,0
"6","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1132/828/522",291,657.25,0
"7","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1202/919/634",299,676.75,0
"8","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1344/1102/855",231,509,2
"9","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1417/1194/966",212,473.25,0
"10","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1490/1285/1076",249,571.75,0
"11","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1565/1377/1186",295,677.25,0
"12","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1641/1468/1294",277,581.5,1
"13","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1718/1560/1402",305,663.25,1
"14","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1795/1651/1507",254,552.25,0
"15","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1875/1743/1610",280,567.5,0
"16","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"1958/1834/1712",236,506.5,0
"17","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"2044/1926/1809",203,423.25,0
"18","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"2137/2018/1899",211,423.25,0
"19","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"2513/2398/2289",339,744.25,0
"20","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"2900/2778/2667",355,756.5,2
"21","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"3290/3159/3038",281,588,0
"22","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"3682/3539/3406",390,821.75,0
"23","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"4081/3920/3770",344,645.5,0
"24","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"4483/4300/4130",430,843.25,0
"25","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"4889/4680/4487",396,800.25,1
"26","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"5298/5061/4841",307,608.75,0
"27","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"5708/5441/5192",239,489.25,0
"28","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"6120/5822/5542",218,439.25,0
"29","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"6533/6202/5892",334,701,0
"30","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"6946/6582/6240",236,491.5,2
"31","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"7359/6963/6587",216,426.75,0
"32","GARVA","Mire Garvan","Bulgaria","Tg",26.911685,44.10742,"7774/7343/6935",314,622,0
