"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"1631/1510/1390",716,1255,0
"2","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"1717/1616/1521",675,1205.75,0
"3","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"1813/1723/1640",684,1195,0
"4","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"1929/1829/1737",736,1170.25,0
"5","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"2059/1936/1817",677,1157.75,0
"6","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"2245/2148/2058",799,1270.75,0
"7","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"2442/2361/2293",1000,1580,0
"8","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"2643/2573/2513",1229,1958.5,0
"9","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"2864/2786/2721",1251,2013,0
"10","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"3236/3148/3072",940,1478.75,0
"11","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"3623/3511/3404",1168,1876.25,0
"12","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"4020/3874/3732",1102,1680,0
"13","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"4427/4237/4056",1093,1664.75,0
"14","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"4836/4599/4378",1018,1485.75,0
"15","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"5248/4962/4694",952,1491,0
"16","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"5455/5144/4854",783,1250.75,0
"17","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"5517/5222/4946",1087,1859.5,0
"18","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"5646/5379/5124",924,1505.25,0
"19","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"5777/5536/5296",1296,2169.25,0
"20","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"5914/5693/5468",1081,1836,0
"21","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"6061/5849/5639",1054,1786.25,0
"22","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"6211/6006/5803",1028,1706,0
"23","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"6370/6163/5963",1116,1836,0
"24","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"6537/6320/6117",1091,1786,0
"25","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"6716/6477/6268",1091,1780,0
"26","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"6808/6555/6343",917,1509.25,1
"27","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"6900/6634/6417",847,1419.5,0
"28","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"6991/6712/6488",1212,1951.5,0
"29","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7083/6791/6559",726,1239,0
"30","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7176/6869/6627",1023,1671.75,0
"31","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7216/6926/6696",735,1153.5,0
"32","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7237/6955/6732",1113,1740,0
"33","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7299/7041/6837",852,1333.5,0
"34","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7341/7098/6906",1045,1568,0
"35","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7382/7156/6974",1072,1631,0
"36","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7423/7213/7041",961,1497.5,0
"37","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7465/7270/7108",1191,1790.25,0
"38","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7506/7328/7174",1088,1672,0
"39","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7550/7385/7240",1131,1693.5,0
"40","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7595/7442/7305",1209,1820.25,0
"41","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7640/7499/7366",1200,1851,0
"42","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7686/7557/7427",1140,1747.5,0
"43","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7733/7614/7487",785,1202.5,0
"44","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7786/7671/7548",1076,1659.25,0
"45","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7840/7729/7608",1058,1563.25,0
"46","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7897/7786/7667",1120,1662.5,0
"47","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"7956/7843/7724",916,1390.25,0
"48","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8015/7901/7775",1179,1815,0
"49","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8030/7929/7819",1026,1578,0
"50","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8059/7958/7857",1106,1675,0
"51","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8094/7986/7884",999,1572,0
"52","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8137/8015/7912",694,1096.25,0
"53","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8183/8043/7934",996,1481.25,0
"54","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8244/8072/7946",846,1266,0
"55","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8305/8100/7953",1042,1534.25,0
"56","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8304/8110/7968",1023,1521,0
"57","HOCK","Hockham Mere","United Kingdom","Ta",0.833333,52.5,"8303/8120/7985",1012,1454.75,0
