"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"16/14/12",784,1486,0
"2","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"48/46/44",1130,2174.25,0
"3","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"77/75/73",1203,2461,0
"4","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"102/101/99",1123,2176.25,0
"5","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"131/129/127",1107,2142.75,0
"6","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"145/143/141",1044,2045.5,0
"7","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"174/171/167",1250,2456.75,0
"8","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"203/199/196",1172,2310.5,0
"9","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"236/232/229",1226,2446.5,0
"10","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"280/274/269",1202,2349.75,0
"11","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"315/310/304",1169,2334,0
"12","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"357/350/343",1242,2415.5,0
"13","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"402/394/386",1285,2526.5,0
"14","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"448/441/433",1104,2191.5,0
"15","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"485/475/466",1107,2176,0
"16","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"526/517/507",1192,2303.5,0
"17","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"583/572/560",1063,2067.5,0
"18","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"635/623/612",1174,2226,0
"19","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"687/673/659",1035,1871.5,0
"20","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"732/718/704",1325,2468.5,0
"21","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"796/780/765",1228,2294.25,0
"22","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"840/825/810",1261,2348.25,0
"23","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"898/881/864",1175,2039.5,0
"24","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"961/943/926",1283,2346.25,0
"25","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1026/1008/987",1180,2252.75,0
"26","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1151/1128/1106",1114,1916.75,0
"27","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1261/1237/1215",1097,1892.75,0
"28","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1366/1339/1314",1283,2274.5,0
"29","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1462/1434/1405",1042,1833.25,0
"30","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1546/1515/1484",1119,1817.25,0
"31","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1631/1602/1568",1175,1811.5,0
"32","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1719/1686/1653",1349,2208.25,0
"33","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1810/1773/1736",1167,2108.25,0
"34","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1891/1853/1819",1242,2273.75,0
"35","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"1956/1920/1881",1088,1958.25,0
"36","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2021/1979/1937",1261,2395,0
"37","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2115/2072/2028",1264,2292.75,0
"38","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2209/2163/2119",1190,2133.5,0
"39","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2301/2254/2207",1268,2265,0
"40","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2405/2355/2308",1038,1790.75,0
"41","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2497/2449/2402",1149,2051.25,0
"42","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2577/2530/2478",1048,1840,0
"43","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2639/2587/2533",1095,1935.25,0
"44","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2669/2617/2563",1068,1809.5,0
"45","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"2747/2697/2641",1257,2155.75,0
"46","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"3109/3045/2986",1086,1947.75,0
"47","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"3425/3353/3287",1096,1668,0
"48","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"3633/3561/3490",1066,1678,0
"49","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"4014/3938/3858",1278,1974,0
"50","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"4476/4391/4302",1067,1619.5,0
"51","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"4849/4750/4653",1215,1935.75,0
"52","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"5083/4982/4879",1058,1677.25,0
"53","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"5236/5134/5032",1010,1606.25,0
"54","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"5376/5271/5167",1095,1850,0
"55","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"5624/5506/5390",1142,1923.5,0
"56","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"5811/5693/5569",1064,2011,0
"57","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"6005/5894/5776",1038,1993.5,0
"58","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"6156/6032/5914",1084,2152.25,0
"59","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"6242/6114/5990",1014,1813.25,0
"60","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"6352/6229/6099",1086,1900.5,0
"61","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"6463/6334/6198",948,1824,0
"62","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"6572/6451/6312",1168,2397.5,0
"63","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"6717/6588/6462",1090,2243.75,0
"64","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"6887/6754/6614",1102,2159.75,0
"65","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"7156/7007/6866",986,1853.5,0
"66","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"7331/7187/7042",1105,2081,0
"67","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"7519/7364/7215",1087,2346.5,0
"68","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"7740/7580/7425",1124,2152,0
"69","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"7947/7786/7627",1202,2134,0
"70","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"8128/7974/7817",1123,2006,0
"71","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"8294/8132/7970",992,1790.5,0
"72","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"8501/8332/8168",1199,2227.75,0
"73","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"8755/8592/8408",1088,1916.5,0
"74","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"8994/8824/8645",1097,1648.75,0
"75","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"9274/9089/8909",1010,1522.75,0
"76","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"9526/9339/9160",1184,1678,0
"77","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"9728/9531/9348",1021,1427.75,0
"78","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"10012/9813/9616",1212,1688.25,0
"79","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"10225/10017/9818",1008,1366.5,0
"80","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"10347/10136/9943",1101,1524.75,0
"81","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"10465/10251/10035",1013,1334.5,0
"82","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"10624/10405/10196",1116,1480.5,0
"83","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"10799/10591/10382",1004,1314.25,0
"84","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"10985/10757/10525",1068,1404.75,0
"85","HOLZ","Holzmaar","Germany","Tb",6.87864,50.11919,"11156/10933/10703",1027,1474.25,0
