"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/934/--",507,876,33
"2","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/1056/--",528,822,19
"3","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/1301/--",848,1314.25,16
"4","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/1546/--",398,655.75,5
"5","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/1668/--",613,1113.5,8
"6","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/1896/--",603,1122.75,10
"7","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/2123/--",593,1123,7
"8","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/2350/--",396,758.25,0
"9","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/2578/--",641,1213,9
"10","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/2805/--",481,812.75,18
"11","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/2896/--",360,636,6
"12","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/2944/--",495,956.25,2
"13","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/2995/--",360,654,6
"14","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3047/--",472,877.25,5
"15","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3098/--",596,1104.25,4
"16","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3149/--",495,899.25,4
"17","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3251/--",412,781.25,2
"18","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3302/--",410,772,7
"19","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3353/--",504,932.25,1
"20","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3404/--",548,1006.75,1
"21","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3455/--",575,1072.75,2
"22","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3531/--",415,755.75,2
"23","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3736/--",486,906.75,4
"24","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/3940/--",413,805.75,0
"25","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/4043/--",432,821.25,6
"26","LECA","Iezerul Calimani","Romania","Tf",25.27361,47.1125,"--/4247/--",507,944.25,2
