"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"94/-2/-97",968,1836.25,1
"2","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"235/150/66",1418,2753.25,8
"3","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"424/321/227",1919,3768.5,6
"4","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"585/454/341",1825,3584.75,2
"5","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"783/568/436",1274,2486.75,6
"6","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"1128/886/663",1601,3116.5,7
"7","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"1299/1044/810",2630,5213,8
"8","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"1529/1309/1096",1437,2851.5,8
"9","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"1721/1498/1257",1176,2298.5,3
"10","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"1836/1593/1334",1383,2729,6
"11","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"2114/1801/1499",798,1543.75,4
"12","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"2327/1969/1635",964,1818.5,14
"13","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"2422/2097/1789",865,1603.25,27
"14","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"2487/2182/1887",934,1805.75,8
"15","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"2567/2277/1996",1091,2137.75,3
"16","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"2668/2394/2122",935,1823.25,1
"17","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"2775/2511/2241",1132,2215,12
"18","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"2885/2617/2343",872,1691.5,7
"19","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"2941/2670/2389",1290,2531,7
"20","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"3025/2745/2451",983,1918.75,6
"21","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"3112/2819/2511",1174,2292.5,0
"22","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"3214/2904/2577",1470,2854.5,4
"23","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"3317/2989/2640",1525,2996,8
"24","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"3370/3032/2672",1787,3512.5,5
"25","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"3570/3191/2786",754,1449,15
"26","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"3665/3265/2837",1014,2003.25,2
"27","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"3763/3340/2890",838,1595,0
"28","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"3932/3525/3098",1029,1957.75,5
"29","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"4109/3768/3400",642,1244.25,7
"30","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"4273/3963/3636",1003,1926,2
"31","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"4480/4158/3836",1208,2290,1
"32","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"4894/4474/4094",1047,2009,2
"33","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"5258/4737/4304",949,1792.25,1
"34","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"5290/4863/4514",901,1701.25,10
"35","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"5313/4965/4644",916,1737,9
"36","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"5363/5066/4764",635,1199.5,4
"37","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"5462/5180/4884",1941,3787.5,3
"38","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"5585/5306/4954",1110,2114,6
"39","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"5738/5433/5034",919,1786,4
"40","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"5811/5521/5134",722,1426.75,3
"41","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"5982/5661/5295",866,1715,1
"42","LERNA","Lake Lerna","Greece","Mc",22.8,37.6,"6125/5774/5402",1103,2155,3
