"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/17.90476/--",600,1072.5,0
"2","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/89.80952/--",616,1143.75,0
"3","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/161.7143/--",594,1172.25,1
"4","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/233.619/--",627,1204.5,1
"5","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/305.5238/--",625,1262,5
"6","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/377.4286/--",600,1175,7
"7","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/449.3333/--",614,1202,4
"8","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/521.2381/--",566,1084.5,2
"9","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/593.1429/--",527,1018.25,0
"10","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/665.0476/--",531,1048.75,1
"11","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/736.9524/--",531,969,0
"12","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/808.8571/--",537,999.5,0
"13","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/952.6667/--",509,923.75,2
"14","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1024.571/--",509,960.5,1
"15","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1096.476/--",460,893.75,2
"16","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1168.381/--",445,858.5,0
"17","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1240.286/--",420,792.5,2
"18","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1312.19/--",394,751.5,5
"19","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1384.095/--",391,740.25,1
"20","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1456/--",399,757.25,6
"21","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1527.905/--",462,868.5,5
"22","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1599.81/--",479,891.75,8
"23","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1671.714/--",547,993.5,3
"24","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1743.619/--",547,1026.5,3
"25","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1815.524/--",569,1029.5,2
"26","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1887.429/--",574,992.75,4
"27","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/1959.333/--",589,1079.5,5
"28","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/2031.238/--",588,1049,5
"29","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/2103.143/--",567,981,2
"30","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/2175.048/--",539,949.75,3
"31","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/2333.609/--",579,1045,6
"32","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/2578.826/--",547,990,2
"33","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/2824.043/--",584,1071.25,7
"34","MASAC","Massaciuccoli","Italy","Mb",10.3,43.8,"--/3069.261/--",586,1072,12
