"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/-49/--",655,964.5,0
"2","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/120/--",613,978.25,0
"3","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/345/--",742,1117,0
"4","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/570/--",625,973.25,0
"5","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/795/--",690,1030.25,0
"6","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/1020/--",685,1023.5,0
"7","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/1245/--",731,1074.5,0
"8","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/1470/--",714,1117.5,0
"9","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/1695/--",800,1193.5,0
"10","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/1920/--",678,1012.75,0
"11","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/2145/--",641,959,0
"12","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/2369/--",690,991.5,0
"13","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/2594/--",660,975.25,0
"14","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/2789/--",600,874.25,0
"15","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/2957/--",585,837.75,0
"16","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/3125/--",667,986.25,0
"17","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/3293/--",674,991.5,0
"18","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/3460/--",683,1004,0
"19","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/3628/--",612,866.25,0
"20","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/3796/--",837,1187.25,0
"21","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/3964/--",590,880,0
"22","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/4132/--",591,860.5,0
"23","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/4299/--",642,942.5,0
"24","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/4467/--",725,1026.25,0
"25","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/4635/--",722,1064.5,0
"26","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/4819/--",621,924.75,0
"27","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/5002/--",613,914,0
"28","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/5185/--",636,919.5,0
"29","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/5369/--",622,927.5,0
"30","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/5552/--",623,906.25,0
"31","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/5736/--",628,906.5,0
"32","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/5934/--",698,1022.5,0
"33","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/6146/--",746,1174.75,0
"34","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/6359/--",715,1102.25,0
"35","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/6571/--",694,1004.75,0
"36","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/6783/--",657,1004.25,0
"37","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/6995/--",635,916.75,0
"38","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/7192/--",654,957,0
"39","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/7376/--",661,936.5,0
"40","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/7559/--",668,926.5,0
"41","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/7743/--",684,945.75,0
"42","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/7926/--",615,884.25,0
"43","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/8110/--",703,978.5,0
"44","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/8339/--",709,991.25,0
"45","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/8477/--",648,911.25,0
"46","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/8660/--",713,987.25,0
"47","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/8844/--",727,991.25,0
"48","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9027/--",579,834.75,0
"49","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9170/--",711,1008.75,0
"50","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9223/--",616,897.5,0
"51","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9276/--",629,884.5,0
"52","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9383/--",606,873.75,0
"53","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9436/--",710,1026.25,0
"54","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9489/--",876,1250.25,0
"55","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9595/--",649,991.25,0
"56","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9703/--",781,1094,0
"57","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9815/--",636,930,0
"58","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/9927/--",738,1059.75,0
"59","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/10039/--",728,1034.5,0
"60","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/10151/--",818,1204.75,0
"61","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/10263/--",760,1148.75,0
"62","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/10518/--",594,894,0
"63","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/10738/--",563,832,0
"64","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/10776/--",532,794.75,0
"65","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/10996/--",652,1005.5,1
"66","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/11216/--",623,934,0
"67","MORT","Morttjern","Norway","Bd",11.62,59.06,"--/11765/--",756,1231.5,0
