"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/-76/--",529,874.25,0
"2","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/335/--",692,1153,0
"3","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/746/--",707,1248.25,0
"4","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/1157/--",616,1011.5,0
"5","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/1501/--",569,943.75,0
"6","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/1674/--",541,896.75,0
"7","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/1825/--",590,1059.25,0
"8","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/1976/--",684,1263,0
"9","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/2127/--",640,1136.75,0
"10","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/2241/--",692,1228,0
"11","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/2317/--",585,1082.25,0
"12","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/2393/--",637,1166.75,0
"13","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/2469/--",616,1193,0
"14","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/2545/--",570,1087.5,0
"15","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/2718/--",577,1077.5,0
"16","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/2988/--",581,1065.25,0
"17","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/3258/--",479,877,0
"18","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/3527/--",585,1064.25,0
"19","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/3797/--",661,1258.25,0
"20","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/4080/--",611,1122.25,0
"21","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/4378/--",626,1154.5,0
"22","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/4675/--",340,638,0
"23","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/4972/--",493,932,0
"24","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/5270/--",500,898.75,0
"25","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/5647/--",452,850,0
"26","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/6033/--",488,850,0
"27","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/6384/--",565,943.25,0
"28","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/6735/--",453,767.25,0
"29","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/7086/--",421,680.75,0
"30","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/7366/--",420,696,0
"31","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/7621/--",523,866,0
"32","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/7877/--",489,764.25,0
"33","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/8132/--",581,855.25,0
"34","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/8388/--",600,890.25,0
"35","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/8551/--",572,887.5,0
"36","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/8650/--",566,820.75,0
"37","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/8782/--",349,509.75,0
"38","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/8915/--",340,483.5,0
"39","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/9047/--",368,493,0
"40","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/9179/--",309,415.5,0
"41","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/9312/--",321,456,0
"42","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/9444/--",214,314,0
"43","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/9576/--",286,439.25,0
"44","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/9709/--",240,343.5,0
"45","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/9841/--",229,355.25,0
"46","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/9973/--",222,340.5,0
"47","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/10106/--",238,347.75,0
"48","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/10238/--",217,350.75,0
"49","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/10370/--",302,541.75,0
"50","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/10503/--",420,728.25,0
"51","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/10635/--",469,875,0
"52","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/10767/--",393,717,0
"53","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/10900/--",496,893,0
"54","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/11032/--",420,765,0
"55","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/11164/--",386,702.25,0
"56","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/11297/--",453,795,0
"57","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/11429/--",580,1097.75,0
"58","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/11561/--",552,1011.75,0
"59","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/11694/--",464,898.75,0
"60","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/11826/--",563,1094.5,0
"61","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/11958/--",519,940.5,0
"62","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/12091/--",584,1041.25,0
"63","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/12223/--",483,841.5,0
"64","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/12355/--",477,864,0
"65","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/12488/--",306,571.5,0
"66","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/12620/--",362,628,0
"67","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/12752/--",273,521.25,0
"68","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/12885/--",350,686.5,0
"69","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/13017/--",393,725.25,0
"70","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/13149/--",339,615.75,0
"71","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/13288/--",402,697.5,0
"72","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/13414/--",475,863,0
"73","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/13546/--",439,778.25,0
"74","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/13679/--",444,737.25,1
"75","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/13811/--",413,755.5,0
"76","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/13943/--",375,672.75,0
"77","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/14075/--",419,774.25,0
"78","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/14274/--",337,640.25,0
"79","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/14406/--",394,713,1
"80","MYSH","Myshetskoe-Dolgoe","Russia","Bd",37.33333,56.066667,"--/14539/--",391,703.25,0
