"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-45/--",357,601.5,4
"2","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-43/--",232,396.5,3
"3","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-40/--",304,545.5,2
"4","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-37/--",353,589.75,13
"5","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-34/--",351,614.75,8
"6","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-30/--",359,653.25,4
"7","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-27/--",386,656,8
"8","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-26/--",326,555.75,13
"9","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-22/--",385,684.5,7
"10","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-19/--",539,959.5,12
"11","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-18/--",383,685,7
"12","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-14/--",453,821.5,11
"13","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-14/--",510,885.25,8
"14","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-11/--",541,981.75,7
"15","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-11/--",645,1108.5,8
"16","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-8/--",486,855,4
"17","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/-4/--",622,1142.5,13
"18","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/--/--",529,961.25,17
"19","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/6/--",485,894.25,13
"20","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/11/--",528,980,11
"21","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/16/--",582,1069.75,8
"22","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/21/--",467,818.25,9
"23","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/26/--",427,751.75,11
"24","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/31/--",614,1128.75,6
"25","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/35/--",638,1210,4
"26","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/42/--",612,1182.25,4
"27","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/48/--",624,1212.25,5
"28","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/52/--",739,1454.5,7
"29","PRAZ","Praz Rodet","Switzerland","Tb",6.173611,46.566667,"--/66/--",678,1344.25,8
