"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/-34.3/--",473,879.5,32
"2","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/11.39/--",641,1220,49
"3","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/36.58/--",565,1069.75,47
"4","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/54.09/--",452,784.5,23
"5","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/73.93/--",505,928.25,27
"6","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/95.43/--",481,885.75,30
"7","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/118.24/--",513,946.75,27
"8","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/134.52/--",606,1130.75,35
"9","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/150.8/--",508,935.5,20
"10","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/217.31/--",541,974.25,24
"11","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/314.09/--",651,1162,33
"12","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/419.66/--",579,1059,30
"13","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/609.2/--",682,1274.75,38
"14","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/836.65/--",505,946.5,40
"15","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/1628.6/--",742,1297.5,75
"16","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/2294.25/--",561,1001.25,75
"17","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/3290.22/--",555,1026.25,74
"18","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/5170.77/--",712,1318.25,13
"19","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/7863.85/--",733,1205.75,0
"20","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/10575.91/--",930,1289.25,0
"21","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/11662/--",934,1419.5,0
"22","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/12897.27/--",812,1190.5,0
"23","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13006.29/--",673,959,0
"24","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13052.08/--",1191,1776,0
"25","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13111.34/--",705,1052.25,0
"26","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/-37.24/--",599,1117.75,43
"27","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/3.82/--",607,1130,68
"28","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/28.28/--",610,1126.25,37
"29","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/48.96/--",865,1603.25,52
"30","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/66.9/--",472,878.5,31
"31","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/87.84/--",482,888.5,22
"32","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/102.81/--",493,906.75,25
"33","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/126.29/--",487,905.25,36
"34","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/159.79/--",507,950.5,23
"35","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/251.86/--",504,918.5,24
"36","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/383.37/--",795,1451,38
"37","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/570.38/--",605,1140.25,37
"38","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/797.32/--",526,992.75,50
"39","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/1442.48/--",701,1264,104
"40","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/2411.17/--",524,967.25,80
"41","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/3512.22/--",572,1027.5,55
"42","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/4728.75/--",556,991.75,35
"43","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/7228.3/--",683,1229.5,1
"44","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/9961.29/--",550,810.5,0
"45","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/11549.5/--",555,781.5,0
"46","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/12786.59/--",609,927,0
"47","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13003.56/--",828,1215,0
"48","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13057.47/--",950,1425.25,0
"49","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13114.03/--",911,1309,0
"50","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13175.29/--",861,1266.75,0
"51","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13216.2/--",820,1215.5,0
"52","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13256.68/--",814,1241,0
"53","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13297.16/--",1013,1533.25,0
"54","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13333.59/--",849,1300.5,0
"55","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13382.16/--",1036,1563.5,0
"56","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13861.83/--",710,1078.75,0
"57","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/14590.44/--",640,1183.25,0
"58","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/15400/--",545,1113.25,0
"59","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/-23.27/--",575,1094.25,48
"60","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/281.36/--",526,967.5,24
"61","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/456.56/--",765,1435.25,54
"62","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/649.31/--",513,984,39
"63","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/918.72/--",734,1343.25,93
"64","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/1819.82/--",770,1430,123
"65","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/2851.18/--",494,901.25,71
"66","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/4285.46/--",582,1086.75,64
"67","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/7552.1/--",628,1100.75,0
"68","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/10228.05/--",841,1137.5,0
"69","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/11772.86/--",743,1135.75,0
"70","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/12931.34/--",821,1244.5,0
"71","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13008.98/--",836,1226.5,0
"72","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13062.85/--",715,1046.75,0
"73","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13105.95/--",1009,1516.25,0
"74","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13153.99/--",947,1448.5,0
"75","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13200.01/--",907,1379,0
"76","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13228.35/--",841,1266.5,0
"77","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13272.87/--",860,1347.25,0
"78","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13309.3/--",944,1446.25,0
"79","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13341.69/--",973,1503.5,0
"80","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13374.07/--",1007,1503.25,0
"81","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13699.92/--",827,1324.75,0
"82","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/14428.52/--",690,1275.75,0
"83","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/15157.13/--",652,1373,0
"84","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/15420.68/--",441,858,1
"85","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/15450.23/--",408,798.75,0
"86","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/15592.06/--",679,1313,0
"87","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/15784.11/--",65,124,0
"88","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/15930.37/--",451,857.75,2
"89","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/-27.09/--",507,963.75,45
"90","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/493.57/--",601,1117.25,31
"91","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/757.58/--",505,951.75,32
"92","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/1535.16/--",794,1425.75,87
"93","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/2525.16/--",696,1282,103
"94","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/3622.78/--",521,943,73
"95","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/5641.52/--",531,946.75,5
"96","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/8454.41/--",963,1650.75,0
"97","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/10996.42/--",726,987,0
"98","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/12339.58/--",874,1377.5,0
"99","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/12992.66/--",796,1215.5,0
"100","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13035.92/--",760,1138.25,0
"101","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13095.18/--",849,1269,0
"102","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13138/--",888,1308.75,0
"103","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13191.28/--",753,1140.75,0
"104","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13224.3/--",781,1202,0
"105","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13264.78/--",791,1231,0
"106","RACH","Rachelsee","Germany","Tb",13.4014,48.9743,"--/13301.21/--",875,1369,0
