"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"475/211/8",1620,2994,0
"2","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"489/260/83",1232,2276,0
"3","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"504/309/154",1403,2700.5,1
"4","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"522/358/221",1281,2374.75,0
"5","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"542/407/284",1348,2566.25,0
"6","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"566/455/345",1443,2699,0
"7","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"598/503/405",1167,2179.5,0
"8","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"637/551/463",1339,2492.5,0
"9","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"680/598/511",1784,3196,0
"10","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"733/645/552",1476,2678.75,0
"11","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"793/692/590",1474,2528.75,0
"12","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"859/743/630",1523,2574,1
"13","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"933/798/675",1366,2340.75,0
"14","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1013/860/724",1477,2520.25,0
"15","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1098/930/782",1532,2687.75,0
"16","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1192/1010/852",1458,2525.25,0
"17","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1292/1102/935",1394,2450.5,1
"18","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1403/1207/1037",1081,1767.5,0
"19","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1526/1328/1159",1307,2191,1
"20","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1663/1467/1299",1254,1982.25,0
"21","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1752/1559/1390",1229,1873.75,0
"22","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1814/1624/1454",1133,1760.75,0
"23","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1879/1692/1523",1538,2449.75,0
"24","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"1946/1763/1594",1204,1955.25,1
"25","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"2016/1837/1667",1496,2429,1
"26","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"2091/1914/1745",1160,1866.5,0
"27","RACZE","Lake Racze","Poland","Tb",14.61,53.97,"2168/1994/1826",1522,2418,0
