"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/509.3/--",403,808.25,0
"2","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/1686.8/--",364,720.5,0
"3","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/2272.3/--",344,650.5,0
"4","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/2670.9/--",306,564.75,0
"5","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/3197.4/--",305,519.25,0
"6","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/3744.8/--",302,526,0
"7","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/4301.7/--",276,465.75,0
"8","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/5241.9/--",311,499.75,0
"9","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/5964.3/--",315,501.75,0
"10","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/6824.8/--",356,529,0
"11","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/8069.8/--",311,474.25,0
"12","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/1076.3/--",348,685.5,0
"13","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/1963.5/--",323,619,0
"14","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/2367.5/--",307,560,0
"15","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/2790.3/--",317,589.75,0
"16","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/3098.3/--",287,535.75,0
"17","SIERRA","Sierra de Baza","Spain","Ma",-2.7,37.233333,"--/3645.8/--",313,558.5,0
