"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","TAPH","La Taphanel","France","Tb",2.68,45.27,2163,228,466.25,9
"2","TAPH","La Taphanel","France","Tb",2.68,45.27,2420,372,739.5,19
"3","TAPH","La Taphanel","France","Tb",2.68,45.27,2804,300,520,68
"4","TAPH","La Taphanel","France","Tb",2.68,45.27,3061,318,567.5,80
"5","TAPH","La Taphanel","France","Tb",2.68,45.27,3704,299,579.25,101
"6","TAPH","La Taphanel","France","Tb",2.68,45.27,3964,330,624,113
"7","TAPH","La Taphanel","France","Tb",2.68,45.27,4094,197,379.75,89
"8","TAPH","La Taphanel","France","Tb",2.68,45.27,4357,176,312.25,46
"9","TAPH","La Taphanel","France","Tb",2.68,45.27,4490,347,657.25,100
"10","TAPH","La Taphanel","France","Tb",2.68,45.27,4624,247,439,38
"11","TAPH","La Taphanel","France","Tb",2.68,45.27,4758,419,747.75,4
"12","TAPH","La Taphanel","France","Tb",2.68,45.27,5027,424,813.5,11
"13","TAPH","La Taphanel","France","Tb",2.68,45.27,5158,249,492.75,12
"14","TAPH","La Taphanel","France","Tb",2.68,45.27,5286,331,656.75,24
"15","TAPH","La Taphanel","France","Tb",2.68,45.27,5408,205,417.5,4
"16","TAPH","La Taphanel","France","Tb",2.68,45.27,5524,417,927,12
"17","TAPH","La Taphanel","France","Tb",2.68,45.27,5633,267,485.25,1
"18","TAPH","La Taphanel","France","Tb",2.68,45.27,5735,310,600.5,4
"19","TAPH","La Taphanel","France","Tb",2.68,45.27,5832,298,495.5,1
"20","TAPH","La Taphanel","France","Tb",2.68,45.27,6016,250,498.5,1
"21","TAPH","La Taphanel","France","Tb",2.68,45.27,6105,324,665.25,1
"22","TAPH","La Taphanel","France","Tb",2.68,45.27,6194,244,488,3
"23","TAPH","La Taphanel","France","Tb",2.68,45.27,6285,352,707.75,0
"24","TAPH","La Taphanel","France","Tb",2.68,45.27,6377,262,522.5,1
"25","TAPH","La Taphanel","France","Tb",2.68,45.27,6474,320,623.5,1
"26","TAPH","La Taphanel","France","Tb",2.68,45.27,6576,212,395.5,1
"27","TAPH","La Taphanel","France","Tb",2.68,45.27,6684,339,669.75,1
"28","TAPH","La Taphanel","France","Tb",2.68,45.27,6800,227,394,0
"29","TAPH","La Taphanel","France","Tb",2.68,45.27,7052,211,410.75,1
"30","TAPH","La Taphanel","France","Tb",2.68,45.27,7187,283,614.75,0
"31","TAPH","La Taphanel","France","Tb",2.68,45.27,7324,239,521.5,0
"32","TAPH","La Taphanel","France","Tb",2.68,45.27,7464,310,615.5,0
"33","TAPH","La Taphanel","France","Tb",2.68,45.27,7603,228,389.25,0
"34","TAPH","La Taphanel","France","Tb",2.68,45.27,7742,376,660.5,0
"35","TAPH","La Taphanel","France","Tb",2.68,45.27,7878,309,504,0
"36","TAPH","La Taphanel","France","Tb",2.68,45.27,8010,281,553.75,0
"37","TAPH","La Taphanel","France","Tb",2.68,45.27,8137,166,290,0
"38","TAPH","La Taphanel","France","Tb",2.68,45.27,8257,302,475.75,0
"39","TAPH","La Taphanel","France","Tb",2.68,45.27,8474,186,306.25,0
"40","TAPH","La Taphanel","France","Tb",2.68,45.27,8571,282,396.75,0
"41","TAPH","La Taphanel","France","Tb",2.68,45.27,8662,280,460.25,0
"42","TAPH","La Taphanel","France","Tb",2.68,45.27,8747,239,366.25,0
"43","TAPH","La Taphanel","France","Tb",2.68,45.27,8827,331,506.75,0
"44","TAPH","La Taphanel","France","Tb",2.68,45.27,8902,249,405.75,0
"45","TAPH","La Taphanel","France","Tb",2.68,45.27,8973,404,607,0
"46","TAPH","La Taphanel","France","Tb",2.68,45.27,9041,259,386,0
"47","TAPH","La Taphanel","France","Tb",2.68,45.27,9106,321,480.75,0
"48","TAPH","La Taphanel","France","Tb",2.68,45.27,9169,247,364.25,0
"49","TAPH","La Taphanel","France","Tb",2.68,45.27,9230,249,401.25,0
"50","TAPH","La Taphanel","France","Tb",2.68,45.27,9291,399,605.25,1
"51","TAPH","La Taphanel","France","Tb",2.68,45.27,9411,302,450.25,1
"52","TAPH","La Taphanel","France","Tb",2.68,45.27,9472,323,472.75,0
"53","TAPH","La Taphanel","France","Tb",2.68,45.27,9534,213,324.75,0
"54","TAPH","La Taphanel","France","Tb",2.68,45.27,9807,227,342.25,0
"55","TAPH","La Taphanel","France","Tb",2.68,45.27,9884,276,443.25,0
"56","TAPH","La Taphanel","France","Tb",2.68,45.27,9966,283,435.75,0
"57","TAPH","La Taphanel","France","Tb",2.68,45.27,10052,465,688.5,0
"58","TAPH","La Taphanel","France","Tb",2.68,45.27,10143,226,352.25,0
"59","TAPH","La Taphanel","France","Tb",2.68,45.27,10241,370,581.75,0
"60","TAPH","La Taphanel","France","Tb",2.68,45.27,10345,222,348,0
"61","TAPH","La Taphanel","France","Tb",2.68,45.27,10574,223,334.25,0
"62","TAPH","La Taphanel","France","Tb",2.68,45.27,10700,333,486,0
"63","TAPH","La Taphanel","France","Tb",2.68,45.27,10835,269,430.75,0
"64","TAPH","La Taphanel","France","Tb",2.68,45.27,10978,284,448,0
"65","TAPH","La Taphanel","France","Tb",2.68,45.27,11131,261,462.75,0
"66","TAPH","La Taphanel","France","Tb",2.68,45.27,11289,340,590.25,0
"67","TAPH","La Taphanel","France","Tb",2.68,45.27,11451,245,447.25,0
"68","TAPH","La Taphanel","France","Tb",2.68,45.27,11612,392,727,0
"69","TAPH","La Taphanel","France","Tb",2.68,45.27,11769,212,394.75,0
"70","TAPH","La Taphanel","France","Tb",2.68,45.27,11921,306,565.5,0
"71","TAPH","La Taphanel","France","Tb",2.68,45.27,12065,173,345.25,0
"72","TAPH","La Taphanel","France","Tb",2.68,45.27,12204,335,652,0
"73","TAPH","La Taphanel","France","Tb",2.68,45.27,12339,235,443,0
"74","TAPH","La Taphanel","France","Tb",2.68,45.27,12475,258,504,0
"75","TAPH","La Taphanel","France","Tb",2.68,45.27,12691,349,663.5,0
