"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,7.469,359,674.5,62
"2","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,7.542,339,657,77
"3","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,7.615,356,691,98
"4","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,7.63,572,1055.5,54
"5","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,7.688,525,1021.5,70
"6","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,7.761,356,671.5,62
"7","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,7.834,324,625.5,62
"8","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,7.907,344,649,64
"9","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,7.98,378,731.25,56
"10","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.017,594,1096.5,87
"11","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.053,0,0,0
"12","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.126,407,780.25,87
"13","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.177,322,614.75,59
"14","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.199,372,703.5,86
"15","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.214,381,735.75,31
"16","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.236,255,489.75,25
"17","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.251,359,691.75,66
"18","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.258,373,714,53
"19","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.272,447,854.25,79
"20","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.311,463,881,116
"21","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.369,333,627.25,37
"22","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.465,436,818,46
"23","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.504,595,1117.25,40
"24","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.562,357,671.5,31
"25","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.6,374,719.75,40
"26","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.658,426,799.5,57
"27","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.696,416,780.25,63
"28","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.754,396,741.75,19
"29","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.793,420,798.75,74
"30","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.851,406,774.75,41
"31","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.883,732,1401.75,57
"32","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.924,313,600.5,38
"33","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.951,339,635.75,36
"34","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,8.991,374,717.25,73
"35","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.018,313,606.5,65
"36","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.059,403,774.5,49
"37","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.086,372,709,46
"38","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.126,924,1681.5,48
"39","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.14,356,685.75,120
"40","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.194,333,628.5,41
"41","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.221,384,740.75,86
"42","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.261,337,635.75,94
"43","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.288,324,617.25,65
"44","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.329,378,707.25,62
"45","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.356,336,656.25,40
"46","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.369,360,678,37
"47","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.396,390,756,78
"48","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.423,490,935.75,54
"49","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.464,395,757,80
"50","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.491,368,708.5,70
"51","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.531,327,642,75
"52","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.626,509,937,95
"53","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.667,354,663.75,64
"54","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.694,363,687,43
"55","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.734,362,694.75,24
"56","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.761,305,599.5,52
"57","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.802,419,774.25,47
"58","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.829,571,1050.5,50
"59","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.869,315,592.25,24
"60","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.896,409,791.75,51
"61","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,9.937,402,769.5,45
"62","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.004,330,638.25,46
"63","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.018,397,768,59
"64","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.031,397,769.25,51
"65","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.072,415,813.75,89
"66","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.099,428,818.5,31
"67","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.139,335,644.5,45
"68","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.166,522,998.75,32
"69","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.207,394,762.5,113
"70","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.234,501,968.25,59
"71","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.301,506,978.25,36
"72","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.342,332,640,71
"73","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.369,374,721.25,51
"74","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.415,334,649.5,49
"75","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.445,417,809.25,61
"76","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.491,318,618.75,104
"77","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.522,409,833,54
"78","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.568,416,817,79
"79","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.598,337,650,54
"80","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.644,299,583.75,48
"81","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.721,410,818.25,36
"82","TRIFO2","Trifoglietti","Italy","Mb",16.022222,39.548889,10.752,330,658.75,50
