"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/-50/--",408,732.5,0
"2","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/1055/--",399,794.75,0
"3","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/1272/--",363,677.75,0
"4","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/1434/--",421,820.75,0
"5","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/1637/--",359,649.75,0
"6","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/1986/--",359,676.75,0
"7","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/2542/--",360,638.25,0
"8","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/2929/--",358,624,0
"9","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/3352/--",374,683.25,0
"10","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/5858/--",354,606,0
"11","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/7184/--",352,575.75,0
"12","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/8632/--",344,501.25,0
"13","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/10239/--",347,488.5,0
"14","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/11584/--",463,817.25,0
"15","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/12809/--",409,710,0
"16","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/13733/--",331,458,0
"17","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/14469/--",347,662.5,0
"18","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/-59/--",386,693,0
"19","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/935/--",406,817.75,0
"20","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/1196/--",403,753.25,0
"21","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/1500/--",355,629.75,0
"22","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/1706/--",354,603.25,0
"23","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/1841/--",386,723.75,0
"24","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/2412/--",369,673.75,0
"25","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/2755/--",368,669,0
"26","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/3616/--",391,744,0
"27","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/5574/--",387,654,0
"28","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/7027/--",346,568.25,0
"29","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/8470/--",368,514,0
"30","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/10399/--",351,514.5,0
"31","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/11700/--",434,700,0
"32","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/12692/--",411,676.75,0
"33","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/13498/--",378,657.75,0
"34","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/14432/--",322,632.75,0
"35","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/-13/--",427,813.75,0
"36","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/3748/--",353,622.75,0
"37","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/6013/--",358,614.75,0
"38","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/7501/--",393,615,0
"39","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/8957/--",366,516,0
"40","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/10900/--",348,509.25,0
"41","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/12051/--",531,957.75,0
"42","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/13156/--",348,529.5,0
"43","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/14321/--",368,740.75,0
"44","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/291/--",557,1143.5,0
"45","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/3881/--",369,648.5,0
"46","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/6168/--",363,595.5,0
"47","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/7342/--",349,567.5,0
"48","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/9118/--",342,516,0
"49","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/10710/--",356,523.75,0
"50","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/11945/--",474,828.75,0
"51","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/13042/--",367,579.5,0
"52","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/14164/--",335,571,0
"53","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/408/--",678,1369.25,0
"54","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/4146/--",371,645.5,0
"55","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/6399/--",359,593.5,0
"56","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/7822/--",342,558.75,0
"57","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/9440/--",315,444,0
"58","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/11128/--",362,610.75,0
"59","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/12401/--",414,731.25,0
"60","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/13981/--",333,514.5,0
"61","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/-34/--",414,800,0
"62","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/4426/--",360,624.75,0
"63","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/6476/--",367,639.5,0
"64","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/7985/--",340,521.75,0
"65","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/9603/--",352,486.5,0
"66","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/11235/--",383,649,0
"67","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/12283/--",514,906.5,0
"68","UDDEL","Uddelermeer","Netherlands","Ta",5.76,52.25,"--/14073/--",349,559.25,0
