"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/-52/--",315,636.75,1
"2","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/570/--",442,906.5,0
"3","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/881/--",151,303.25,0
"4","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/1503/--",338,702.5,0
"5","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/2280/--",355,731,0
"6","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/2513/--",303,610.25,0
"7","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/2622/--",406,832.5,0
"8","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/2715/--",339,689.25,0
"9","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/2824/--",225,449.25,2
"10","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/2917/--",329,661.5,3
"11","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/3026/--",346,727.5,0
"12","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/3234/--",264,544.5,0
"13","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/3394/--",215,430,0
"14","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/3553/--",427,873.5,0
"15","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/3792/--",295,613.5,0
"16","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/3872/--",482,1020.25,2
"17","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/4150/--",509,1068.5,0
"18","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/4389/--",357,748.25,0
"19","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/4810/--",162,335,0
"20","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/4930/--",288,597,0
"21","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5049/--",224,463,1
"22","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5135/--",381,798.75,1
"23","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5220/--",228,469.25,1
"24","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5237/--",241,524.5,0
"25","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5254/--",311,691.75,0
"26","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5306/--",211,436.5,0
"27","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5357/--",246,505,0
"28","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5476/--",262,523.75,0
"29","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5493/--",339,689.75,1
"30","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5577/--",185,366.25,0
"31","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5811/--",179,360.25,0
"32","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/5894/--",335,691.5,0
"33","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/6162/--",401,835.75,0
"34","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/7809/--",245,497.75,1
"35","VARNA","Lake Varna","Bulgaria","Tg",27.82777,43.19554,"--/7899/--",307,618.25,1
