"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/-49/--",419,787,0
"2","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/1761/--",298,532.25,0
"3","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/1937.8/--",236,451.75,0
"4","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2118/--",282,506.25,0
"5","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2311.5/--",322,599,0
"6","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2414.8/--",268,512.75,0
"7","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2655.6/--",227,424.75,0
"8","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2773.6/--",274,504.5,0
"9","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3353.9/--",260,512.5,0
"10","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3661.3/--",219,414.75,0
"11","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/4204.9/--",240,477.75,0
"12","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/5186/--",287,567.25,0
"13","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/5693.6/--",298,578,0
"14","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/6424.9/--",248,432.25,0
"15","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/8306.8/--",256,435.5,0
"16","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/9616.6/--",170,290.5,0
"17","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/1252.8/--",303,553.5,0
"18","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/1777.9/--",296,551.5,0
"19","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/1884.3/--",252,474,0
"20","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2081.3/--",234,420.75,0
"21","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2248.5/--",227,428.5,0
"22","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2373.9/--",319,595.25,0
"23","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2495.1/--",206,394,0
"24","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2695.6/--",255,469.5,0
"25","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2811.5/--",323,595.75,0
"26","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3404.7/--",233,437.5,0
"27","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3718.3/--",138,266.25,0
"28","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/4261.5/--",229,450.5,0
"29","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/5156.4/--",410,778.75,0
"30","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/5635.5/--",258,483,0
"31","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/6303.5/--",281,502.75,0
"32","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/7964.8/--",276,469.5,0
"33","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/9299.3/--",240,408.75,0
"34","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/1195.8/--",291,531,0
"35","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/1830.6/--",251,462.25,0
"36","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2044.8/--",245,457,0
"37","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2154.7/--",246,456.75,0
"38","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2332.2/--",326,598,0
"39","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2576.2/--",189,360,0
"40","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2715.7/--",282,513,0
"41","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2846.7/--",290,541.75,0
"42","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3438.3/--",251,475,0
"43","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3948.3/--",160,314,0
"44","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/4318.6/--",268,518.75,0
"45","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/5387.5/--",283,563.75,0
"46","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/5737.2/--",210,378,0
"47","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/6545.3/--",279,495,0
"48","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/8149.8/--",288,485.25,0
"49","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/9485.1/--",186,318.75,0
"50","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/1378/--",299,540.25,0
"51","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2675.6/--",175,332,0
"52","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2792.6/--",216,400.5,0
"53","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3387.5/--",208,391.25,0
"54","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3776.4/--",179,346,0
"55","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/4518.7/--",280,539.75,0
"56","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/5331.6/--",318,626.25,0
"57","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/5983.6/--",292,530.75,0
"58","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/6791.4/--",237,414.75,0
"59","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/8621.6/--",234,403.5,0
"60","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/1439.6/--",356,638.5,0
"61","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/2830/--",338,621.25,0
"62","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3422/--",350,642.25,0
"63","VILLA","Ojos de Villaverde","Spain","Ma",-2.37,38.8,"--/3832.7/--",136,264.5,0
