"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","ZAZA","Zazari","Greece","Tg",21.55,40.63,-66,208,391.25,0
"2","ZAZA","Zazari","Greece","Tg",21.55,40.63,2,276,564.25,2
"3","ZAZA","Zazari","Greece","Tg",21.55,40.63,247,299,611,1
"4","ZAZA","Zazari","Greece","Tg",21.55,40.63,614,250,486.5,1
"5","ZAZA","Zazari","Greece","Tg",21.55,40.63,697,389,764,1
"6","ZAZA","Zazari","Greece","Tg",21.55,40.63,911,250,489.5,0
"7","ZAZA","Zazari","Greece","Tg",21.55,40.63,1125,421,800.5,1
"8","ZAZA","Zazari","Greece","Tg",21.55,40.63,1339,339,599.75,3
"9","ZAZA","Zazari","Greece","Tg",21.55,40.63,1554,257,478,1
"10","ZAZA","Zazari","Greece","Tg",21.55,40.63,1768,495,878.75,3
"11","ZAZA","Zazari","Greece","Tg",21.55,40.63,1982,496,904.25,2
"12","ZAZA","Zazari","Greece","Tg",21.55,40.63,2196,491,884.5,5
"13","ZAZA","Zazari","Greece","Tg",21.55,40.63,2410,494,867.5,9
"14","ZAZA","Zazari","Greece","Tg",21.55,40.63,2624,491,865,11
"15","ZAZA","Zazari","Greece","Tg",21.55,40.63,2838,495,855.75,10
"16","ZAZA","Zazari","Greece","Tg",21.55,40.63,3170,498,865.75,8
"17","ZAZA","Zazari","Greece","Tg",21.55,40.63,3514,483,852.75,11
"18","ZAZA","Zazari","Greece","Tg",21.55,40.63,3858,495,863.75,14
"19","ZAZA","Zazari","Greece","Tg",21.55,40.63,4202,500,870.75,8
"20","ZAZA","Zazari","Greece","Tg",21.55,40.63,4546,501,877,5
"21","ZAZA","Zazari","Greece","Tg",21.55,40.63,4891,499,872.75,15
"22","ZAZA","Zazari","Greece","Tg",21.55,40.63,5233,500,865.75,8
"23","ZAZA","Zazari","Greece","Tg",21.55,40.63,5568,501,830.5,16
"24","ZAZA","Zazari","Greece","Tg",21.55,40.63,5902,500,820,25
"25","ZAZA","Zazari","Greece","Tg",21.55,40.63,6237,500,875.25,14
"26","ZAZA","Zazari","Greece","Tg",21.55,40.63,6385,499,872,12
"27","ZAZA","Zazari","Greece","Tg",21.55,40.63,6533,497,844.25,10
"28","ZAZA","Zazari","Greece","Tg",21.55,40.63,6681,500,822.5,13
"29","ZAZA","Zazari","Greece","Tg",21.55,40.63,6828,500,874.5,31
"30","ZAZA","Zazari","Greece","Tg",21.55,40.63,6976,501,861.25,7
"31","ZAZA","Zazari","Greece","Tg",21.55,40.63,7124,500,860,24
"32","ZAZA","Zazari","Greece","Tg",21.55,40.63,7290,499,828.75,17
"33","ZAZA","Zazari","Greece","Tg",21.55,40.63,7501,535,965.75,15
"34","ZAZA","Zazari","Greece","Tg",21.55,40.63,7711,503,913.75,27
"35","ZAZA","Zazari","Greece","Tg",21.55,40.63,8021,508,967.75,8
"36","ZAZA","Zazari","Greece","Tg",21.55,40.63,8303,500,973.25,13
"37","ZAZA","Zazari","Greece","Tg",21.55,40.63,8630,494,950.75,8
"38","ZAZA","Zazari","Greece","Tg",21.55,40.63,8956,497,968.5,3
"39","ZAZA","Zazari","Greece","Tg",21.55,40.63,9283,493,929,13
"40","ZAZA","Zazari","Greece","Tg",21.55,40.63,9764,495,944.25,6
"41","ZAZA","Zazari","Greece","Tg",21.55,40.63,10246,496,957,1
"42","ZAZA","Zazari","Greece","Tg",21.55,40.63,10728,577,1142.5,2
"43","ZAZA","Zazari","Greece","Tg",21.55,40.63,11473,478,905.25,0
"44","ZAZA","Zazari","Greece","Tg",21.55,40.63,11795,486,905.25,1
"45","ZAZA","Zazari","Greece","Tg",21.55,40.63,12394,498,905.25,3
"46","ZAZA","Zazari","Greece","Tg",21.55,40.63,12854,490,836.75,1
"47","ZAZA","Zazari","Greece","Tg",21.55,40.63,13315,475,818,6
"48","ZAZA","Zazari","Greece","Tg",21.55,40.63,13775,196,339,1
"49","ZAZA","Zazari","Greece","Tg",21.55,40.63,14236,196,357.25,0
"50","ZAZA","Zazari","Greece","Tg",21.55,40.63,14696,200,371.5,1
"51","ZAZA","Zazari","Greece","Tg",21.55,40.63,15157,201,403.75,0
"52","ZAZA","Zazari","Greece","Tg",21.55,40.63,16078,199,380.75,0
"53","ZAZA","Zazari","Greece","Tg",21.55,40.63,16538,202,384.5,0
"54","ZAZA","Zazari","Greece","Tg",21.55,40.63,16999,200,382.75,0
"55","ZAZA","Zazari","Greece","Tg",21.55,40.63,17459,225,431.25,1
"56","ZAZA","Zazari","Greece","Tg",21.55,40.63,17920,437,899.5,0
"57","ZAZA","Zazari","Greece","Tg",21.55,40.63,18841,243,486.25,0
"58","ZAZA","Zazari","Greece","Tg",21.55,40.63,19538,196,371.75,0
"59","ZAZA","Zazari","Greece","Tg",21.55,40.63,20460,206,380.5,0
"60","ZAZA","Zazari","Greece","Tg",21.55,40.63,21382,485,955,0
"61","ZAZA","Zazari","Greece","Tg",21.55,40.63,22304,341,661.75,0
