"name","group","element","units","context","S388160","S388161","S388162","S388163","S388164","S388165","S388166","S388167","S388168","S388169","S388170","S388171","S388172","S388173","S388174","S388175","S388176","S388177","S388178","S388179","S388180","S388181","S388182","S388183","S388184","S388185","S388186","S388187","S388188","S388189","S388190","S388191","S388192","S388193","S388194","S388195","S388196","S388197","S388198","S388199","S388200","S388201","S388202","S388203","S388204","S388205","S388206","S388207","S388208","S388209","S388210","S388211","S388212","S388213","S388214","S388215","S388216","S388217","S388218","S388219","S388220","S388221","S388222","S388223","S388224","S388225","S388226","S388227","S388228","S388229","S388230","S388231","S388232","S388233","S388234","S388235","S388236","S388237","S388238","S388239","S388240","S388241","S388242","S388243","S388244","S388245","S388246"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,55,60,65,75,85,95,105,115,125,135,145,155,160,165,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,487,490,495,500,505,510,515,520,525,530,535
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,388160,388161,388162,388163,388164,388165,388166,388167,388168,388169,388170,388171,388172,388173,388174,388175,388176,388177,388178,388179,388180,388181,388182,388183,388184,388185,388186,388187,388188,388189,388190,388191,388192,388193,388194,388195,388196,388197,388198,388199,388200,388201,388202,388203,388204,388205,388206,388207,388208,388209,388210,388211,388212,388213,388214,388215,388216,388217,388218,388219,388220,388221,388222,388223,388224,388225,388226,388227,388228,388229,388230,388231,388232,388233,388234,388235,388236,388237,388238,388239,388240,388241,388242,388243,388244,388245,388246
C14 BP,Radiocarbon years BP,,,,--/188/--,--/205/--,--/222/--,--/256/--,--/290/--,--/407/--,--/523/--,--/640/--,--/756/--,--/873/--,--/990/--,--/1106/--,--/1164/--,--/1223/--,--/1339/--,--/1398/--,--/1456/--,--/1514/--,--/1573/--,--/1631/--,--/1666/--,--/1678/--,--/1690/--,--/1701/--,--/1713/--,--/1725/--,--/1737/--,--/1749/--,--/1761/--,--/1772/--,--/1784/--,--/1796/--,--/1820/--,--/1832/--,--/1843/--,--/1855/--,--/1867/--,--/1879/--,--/1891/--,--/1903/--,--/1914/--,--/1926/--,--/1938/--,--/1950/--,--/1962/--,--/1974/--,--/1985/--,--/1997/--,--/2009/--,--/2021/--,--/2033/--,--/2045/--,--/2056/--,--/2068/--,--/2080/--,--/2179/--,--/2279/--,--/2378/--,--/2477/--,--/2577/--,--/2676/--,--/2775/--,--/2875/--,--/2974/--,--/3073/--,--/3173/--,--/3272/--,--/3371/--,--/3471/--,--/3570/--,--/3744/--,--/3917/--,--/4091/--,--/4265/--,--/4438/--,--/4612/--,--/4682/--,--/4786/--,--/4959/--,--/5133/--,--/5329/--,--/5546/--,--/5763/--,--/5980/--,--/6197/--,--/6414/--,--/6631/--
CAL BP,Calibrated radiocarbon years BP,,,,--/184/--,--/205/--,--/226/--,--/267/--,--/308/--,--/415/--,--/522/--,--/629/--,--/736/--,--/843/--,--/950/--,--/1057/--,--/1111/--,--/1164/--,--/1271/--,--/1325/--,--/1378/--,--/1432/--,--/1485/--,--/1539/--,--/1573/--,--/1587/--,--/1601/--,--/1616/--,--/1630/--,--/1644/--,--/1659/--,--/1673/--,--/1687/--,--/1701/--,--/1716/--,--/1730/--,--/1759/--,--/1773/--,--/1787/--,--/1802/--,--/1816/--,--/1830/--,--/1845/--,--/1859/--,--/1873/--,--/1888/--,--/1902/--,--/1916/--,--/1931/--,--/1945/--,--/1959/--,--/1974/--,--/1988/--,--/2002/--,--/2016/--,--/2031/--,--/2045/--,--/2059/--,--/2074/--,--/2198/--,--/2322/--,--/2447/--,--/2571/--,--/2695/--,--/2819/--,--/2944/--,--/3068/--,--/3192/--,--/3317/--,--/3441/--,--/3565/--,--/3689/--,--/3814/--,--/3938/--,--/4154/--,--/4370/--,--/4586/--,--/4802/--,--/5018/--,--/5234/--,--/5321/--,--/5450/--,--/5666/--,--/5882/--,--/6112/--,--/6354/--,--/6596/--,--/6839/--,--/7081/--,--/7324/--,--/7566/--
Abies,TRSH,pollen,NISP,,11,3,1,1,6,10,22,42,24,44,80,29,61,37,69,116,54,65,98,151,97,108,133,75,21,98,77,84,78,66,70,94,66,70,50,38,70,75,47,42,50,55,110,74,87,142,186,136,88,113,57,102,98,109,141,95,101,50,36,45,31,35,70,70,54,33,18,4,17,5,4,6,5,3,,,,,,,,,,,1,,
Acer,TRSH,pollen,NISP,,3,,3,2,1,,2,,,,,2,,2,,,,,1,1,1,,,1,1,1,1,1,1,,3,,2,4,3,2,1,3,,1,2,3,2,1,,,,3,2,,1,,1,3,,2,,1,1,,1,2,,,1,1,1,,,1,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,9,9,47,18,17,16,22,11,17,7,16,27,32,16,13,10,19,11,8,15,14,27,18,51,9,26,28,14,24,19,23,27,27,13,22,17,21,14,17,16,15,15,12,13,19,8,17,6,12,21,18,10,17,9,23,27,18,26,30,33,33,20,19,14,19,18,23,16,10,12,29,15,10,30,24,21,30,20,15,29,25,6,20,24,25,18,28
Amaranthaceae,UPHE,pollen,NISP,,5,4,3,9,2,4,1,2,5,5,2,3,5,7,3,4,3,4,2,3,3,2,2,3,3,,,,2,5,3,1,2,1,2,2,2,,,,2,,3,1,2,,2,3,2,3,5,3,3,2,,4,,4,,5,4,4,1,,5,4,2,3,1,1,1,5,4,3,2,2,3,2,4,1,3,,3,2,2,1,2
