"name","group","element","units","context","S260913","S260914","S260915","S260916","S260917","S260918","S260919","S260920","S260921","S260922","S260923","S260924","S260925","S260926","S260927","S260928","S260929","S260930","S260931","S260932","S260933","S260934","S260935","S260936","S260937","S260938","S260939","S260940","S260941","S260942","S260943","S260944","S260945","S260946","S260947","S260948","S260949","S260950","S260951","S260952","S260953","S260954","S260955","S260956","S260957","S260958","S260959","S260960","S260961","S260962","S260963","S260964","S260965","S260966","S260967","S260968","S260969","S260970","S260971","S260972","S260973","S260974","S260975","S260976","S260977","S260978","S260979","S260980","S260981","S260982","S260983","S260984","S260985","S260986","S260987","S260988","S260989","S260990","S260991","S260992","S260993","S260994","S260995","S260996","S260997","S260998","S260999","S261000","S261001","S261002","S261003","S261004","S261005","S261006","S261007","S261008","S261009","S261010","S261011","S261012","S261013","S261014","S261015"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,4,8,12,16,20,24,28,32,36,40,44,48,53,56,60,64,68,72,76,80,84,88,92,96,98,102,106,110,114,118,122,126,130,134,138,142,146,148,152,156,160,164,168,172,176,180,184,188,192,196,198,202,206,210,214,218,222,226,230,234,238,242,246,248,252,256,260,264,268,272,276,280,284,288,292,296,298,302,306,310,314,318,322,326,330,334,338,342,346,348,352,353.5,356,357.5,360,364,368,372,376,380,384,388
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,260913,260914,260915,260916,260917,260918,260919,260920,260921,260922,260923,260924,260925,260926,260927,260928,260929,260930,260931,260932,260933,260934,260935,260936,260937,260938,260939,260940,260941,260942,260943,260944,260945,260946,260947,260948,260949,260950,260951,260952,260953,260954,260955,260956,260957,260958,260959,260960,260961,260962,260963,260964,260965,260966,260967,260968,260969,260970,260971,260972,260973,260974,260975,260976,260977,260978,260979,260980,260981,260982,260983,260984,260985,260986,260987,260988,260989,260990,260991,260992,260993,260994,260995,260996,260997,260998,260999,261000,261001,261002,261003,261004,261005,261006,261007,261008,261009,261010,261011,261012,261013,261014,261015
C14 BP,Radiocarbon years BP,,,,--/--/--,--/149/--,--/299/--,--/448/--,--/597/--,--/746/--,--/896/--,--/1045/--,--/1194/--,--/1343/--,--/1493/--,--/1642/--,--/1791/--,--/1978/--,--/2090/--,--/2239/--,--/2332/--,--/2391/--,--/2450/--,--/2509/--,--/2568/--,--/2628/--,--/2687/--,--/2746/--,--/2805/--,--/2830/--,--/2879/--,--/2928/--,--/2977/--,--/3026/--,--/3076/--,--/3125/--,--/3174/--,--/3223/--,--/3272/--,--/3322/--,--/3371/--,--/3420/--,--/3445/--,--/3494/--,--/3543/--,--/3592/--,--/3642/--,--/3695/--,--/3751/--,--/3808/--,--/3864/--,--/3920/--,--/3977/--,--/4033/--,--/4089/--,--/4117/--,--/4163/--,--/4209/--,--/4255/--,--/4301/--,--/4346/--,--/4392/--,--/4434/--,--/4472/--,--/4511/--,--/4549/--,--/4587/--,--/4625/--,--/4644/--,--/4683/--,--/4721/--,--/4759/--,--/4797/--,--/4836/--,--/4928/--,--/5053/--,--/5178/--,--/5303/--,--/5429/--,--/5554/--,--/5679/--,--/6473/--,--/8089/--,--/8268/--,--/8447/--,--/8625/--,--/8804/--,--/8982/--,--/9161/--,--/9340/--,--/9518/--,--/9697/--,--/9876/--,--/10054/--,--/10143/--,--/10322/--,--/10389/--,--/10501/--,--/10568/--,--/10696/--,--/10908/--,--/11119/--,--/11331/--,--/11542/--,--/11754/--,--/11966/--,--/12178/--
CAL BP,Calibrated radiocarbon years BP,,,,--/-53/--,--/99/--,--/251/--,--/403/--,--/555/--,--/707/--,--/859/--,--/1011/--,--/1163/--,--/1315/--,--/1467/--,--/1620/--,--/1772/--,--/1962/--,--/2076/--,--/2228/--,--/2330/--,--/2402/--,--/2474/--,--/2547/--,--/2619/--,--/2691/--,--/2764/--,--/2836/--,--/2908/--,--/2939/--,--/3002/--,--/3064/--,--/3126/--,--/3189/--,--/3251/--,--/3314/--,--/3376/--,--/3438/--,--/3501/--,--/3563/--,--/3625/--,--/3688/--,--/3719/--,--/3781/--,--/3844/--,--/3906/--,--/3968/--,--/4043/--,--/4125/--,--/4207/--,--/4289/--,--/4371/--,--/4452/--,--/4534/--,--/4616/--,--/4657/--,--/4712/--,--/4766/--,--/4820/--,--/4874/--,--/4928/--,--/4981/--,--/5033/--,--/5084/--,--/5134/--,--/5184/--,--/5234/--,--/5285/--,--/5310/--,--/5360/--,--/5410/--,--/5461/--,--/5511/--,--/5561/--,--/5664/--,--/5798/--,--/5932/--,--/6066/--,--/6201/--,--/6335/--,--/6469/--,--/6536/--,--/9931/--,--/10117/--,--/10302/--,--/10488/--,--/10674/--,--/10860/--,--/11045/--,--/11231/--,--/11417/--,--/11603/--,--/11789/--,--/11974/--,--/12067/--,--/12253/--,--/12323/--,--/12439/--,--/12508/--,--/12624/--,--/12810/--,--/12996/--,--/13182/--,--/13368/--,--/13553/--,--/13739/--,--/13925/--
Abies,TRSH,pollen,NISP,,2,,1,,2,1,,2,2,,,1,1,1,5,,6,6,2,6,2,8,3,2,1,1,3,4,8,1,8,1,1,,3,1,3,3,3,1,1,,1,1,4,1,,,1,1,1,,,1,1,1,2,5,1,1,1,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Acer,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,1,,,1,1,,1,,,1,,,,,,,,,,,1,1,1,1,,1,,,,,3,,,,1,,,,,1,,1,,1,,1,,1,,2,,,2,1,1,,,2,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,
Alchemilla,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algae? (type 225, HdV),ALGA,palynomorph,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,8,1
Allium ursinum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,
Alnus,TRSH,pollen,NISP,,24,84,97,75,105,73,74,273,48,44,26,54,99,191,99,71,79,66,71,134,56,56,100,82,68,85,193,134,82,110,108,105,164,73,132,85,64,56,211,54,61,53,115,71,283,116,142,102,219,115,159,157,144,258,208,102,153,431,299,462,158,167,501,502,477,1189,1260,865,669,862,454,910,1295,1247,1311,1613,2063,2190,317,1,6,6,2,22,83,33,11,7,59,17,37,62,39,7,6,10,44,22,1,5,,,14
Amaranthaceae,UPHE,pollen,NISP,,,3,1,1,2,,,,,,1,,1,2,,1,,1,,,,,,,,,2,1,1,,,,1,1,1,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,1,1,,,1,2,2,,2,,2,6
Ambrosia-type,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphitrema undiff.,TEAM,test,NISP,,,,,,,,,,,,3,,,,,,,,,20,40,48,3,1,18,3,6,,9,53,30,3,240,5,,,3,1,4,5,18,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Androsace alpina-type,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,
Anthostomella cf. A. fuegiana (type 4, HdV),FUNG,spore,NISP,,165,17,,,2,,,,11,,9,,42,10,,,,1,1,,,,34,4,5,,5,,3,,2,7,28,,5,,,1,,2,7,85,16,7,,2,3,3,44,5,,9,3,3,4,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,3,4,1,3,2,,,3,,3,,2,2,2,2,1,2,,1,,,1,,1,,,1,1,1,,,1,,,,,,2,,1,,1,,3,1,,1,,,1,,,,,,1,1,,5,1,,1,1,,,2,,,,1,,,,3,2,1,3,1,,4,2,5,7,10,1,5,3,4,1,7,2,,4,7,5,10,1,2,5,1,,1,1
Araneidae (type 71A, HdV),ARTH,unspecified,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
