name,group,element,units,context,S128586,S128587,S128588,S128589,S128590,S128591,S128592,S128593,S128594,S128595,S128596,S128597,S128598,S128599,S128600,S128601,S128602,S128603,S128604,S128605,S128606,S128607,S128608,S128609,S128610,S128611,S128612,S128613,S128614,S128615,S128616,S128617,S128618,S128619,S128620,S128621,S128622,S128623,S128624,S128625,S128626,S128627,S128628,S128629,S128630,S128631,S128632,S128633,S128634,S128635,S128636,S128637,S128638,S128639,S128640,S128641,S128642,S128643,S128644,S128645,S128646,S128647,S128648,S128649,S128650,S128651,S128652,S128653,S128654,S128655,S128656,S128657,S128658,S128659,S128660,S128661,S128662,S128663,S128664,S128665
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,16,32,48,64,80,96,112,128,144,160,176,192,208,224,240,256,272,288,304,320,336,352,368,384,392,400,408,416,420,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,540,544,548,552,556,560,564,568,576,584,592,608,624,640,656,672,688,704,720,736,752,769,784,800,816,832,848,856,863,872,880,896,912,928,944
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,128586,128587,128588,128589,128590,128591,128592,128593,128594,128595,128596,128597,128598,128599,128600,128601,128602,128603,128604,128605,128606,128607,128608,128609,128610,128611,128612,128613,128614,128615,128616,128617,128618,128619,128620,128621,128622,128623,128624,128625,128626,128627,128628,128629,128630,128631,128632,128633,128634,128635,128636,128637,128638,128639,128640,128641,128642,128643,128644,128645,128646,128647,128648,128649,128650,128651,128652,128653,128654,128655,128656,128657,128658,128659,128660,128661,128662,128663,128664,128665
Connolly 1999,Calibrated radiocarbon years BP,,,,--/182/--,--/322/--,--/461/--,--/600/--,--/739/--,--/878/--,--/1017/--,--/1157/--,--/1296/--,--/1435/--,--/1511/--,--/1587/--,--/1664/--,--/1740/--,--/1816/--,--/1862/--,--/1908/--,--/1954/--,--/2005/--,--/2234/--,--/2463/--,--/2692/--,--/2921/--,--/3150/--,--/3379/--,--/3493/--,--/3608/--,--/3722/--,--/3837/--,--/3894/--,--/3951/--,--/4066/--,--/4180/--,--/4399/--,--/4618/--,--/4837/--,--/5056/--,--/5275/--,--/5493/--,--/5712/--,--/5761/--,--/5798/--,--/5836/--,--/5873/--,--/5910/--,--/5929/--,--/5948/--,--/5966/--,--/5985/--,--/6050/--,--/6115/--,--/6180/--,--/6244/--,--/6374/--,--/6504/--,--/6634/--,--/6893/--,--/7153/--,--/7378/--,--/7579/--,--/7781/--,--/7982/--,--/8183/--,--/8384/--,--/8585/--,--/8786/--,--/9000/--,--/9189/--,--/9425/--,--/9696/--,--/9966/--,--/10237/--,--/10372/--,--/10458/--,--/10569/--,--/10667/--,--/10864/--,--/11061/--,--/11257/--,--/11454/--
EPD 1,Calibrated radiocarbon years BP,,,,-0.017735849,310/148/21,505/348/184,681/520/347,855/663/457,1014/806/588,1152/948/728,1290/1091/873,1418/1233/1025,1535/1375/1184,1686/1495/1295,1827/1614/1408,1957/1730/1517,2098/1850/1631,2245/1970/1747,2387/2113/1853,2541/2260/1970,2693/2404/2089,2851/2551/2228,3079/2743/2370,3310/2942/2547,3515/3135/2734,3724/3328/2929,3936/3522/3138,4138/3720/3340,4234/3816/3445,4332/3912/3542,4433/4009/3650,4529/4105/3757,4581/4154/3811,4622/4202/3870,4719/4299/3987,4803/4397/4102,4930/4530/4221,5079/4680/4338,5220/4833/4470,5352/4982/4608,5491/5134/4734,5602/5286/4884,5715/5433/5029,5811/5542/5148,5906/5633/5257,5996/5726/5371,6069/5815/5492,6151/5905/5613,6192/5952/5669,6224/5996/5728,6259/6041/5789,6292/6089/5854,6339/6139/5915,6435/6196/5955,6501/6254/6002,6569/6311/6052,6698/6425/6145,6818/6540/6255,6932/6656/6363,7141/6885/6586,7335/7113/6845,7559/7330/7066,7827/7542/7245,8068/7753/7429,8300/7964/7621,8511/8176/7831,8719/8388/8029,8919/8599/8249,9103/8808/8469,9295/9033/8722,9439/9228/8952,9655/9443/9199,9944/9689/9420,10178/9934/9662,10391/10179/9917,10497/10303/10052,10584/10396/10151,10720/10501/10258,10843/10592/10340,11049/10778/10507,11247/10961/10682,11444/11145/10872,11631/11333/11070
Alnus,TRSH,pollen,NISP,,1,1,2,4,13,9,11,13,1,19,6,6,8,5,5,5,12,6,13,12,8,1,1,19,11,9,12,11,9,9,13,12,12,13,11,15,16,16,16,18,15,11,14,19,12,11,14,9,12,1,9,13,13,11,9,6,4,2,1,,,,,,,,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Aster-type,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
