"name","group","element","units","context","S463898","S463908","S463863","S463869","S463876","S463883","S463890","S463917","S463927","S463865","S463874","S463881","S463886","S463897","S463907","S463918","S463867","S463873","S463879","S463889","S463902","S463911","S463921","S463893","S463903","S463913","S463923","S463894","S463905","S463916","S463926","S463895","S463904","S463914","S463925","S463862","S463870","S463880","S463888","S463899","S463910","S463919","S463866","S463872","S463877","S463884","S463892","S463901","S463909","S463920","S463864","S463868","S463875","S463882","S463887","S463896","S463906","S463915","S463924","S463861","S463871","S463878","S463885","S463891","S463900","S463912","S463922"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,160,192,22,56,80,104,132,228,284,5,61,96,120,148,188,232,18,68,92,116,156,208,248,38,172,212,251,30,179,224,280,34,176,216,268,10,46,88,124,152,200,236,14,64,76,108,136,168,196,240,26,50,72,100,128,144,184,220,260,,42,84,112,140,164,204,256
Thickness,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,463898,463908,463863,463869,463876,463883,463890,463917,463927,463865,463874,463881,463886,463897,463907,463918,463867,463873,463879,463889,463902,463911,463921,463893,463903,463913,463923,463894,463905,463916,463926,463895,463904,463914,463925,463862,463870,463880,463888,463899,463910,463919,463866,463872,463877,463884,463892,463901,463909,463920,463864,463868,463875,463882,463887,463896,463906,463915,463924,463861,463871,463878,463885,463891,463900,463912,463922
Franco-Múgica et al. (2005),Radiocarbon years BP,,,,--/8573.333/--,--/8626.667/--,--/882.75/--,--/2301.727/--,--/3346.818/--,--/4720/--,--/6960/--,--/8686.667/--,--/8780/--,--/200.625/--,--/2519.455/--,--/4080/--,--/6000/--,--/8240/--,--/8620/--,--/8693.333/--,--/722.25/--,--/2824.273/--,--/3869.364/--,--/5680/--,--/8566.667/--,--/8653.333/--,--/8720/--,--/1524.75/--,--/8593.333/--,--/8660/--,--/8725/--,--/1203.75/--,--/8605/--,--/8680/--,--/8773.333/--,--/1364.25/--,--/8600/--,--/8666.667/--,--/8753.333/--,--/401.25/--,--/1866.273/--,--/3695.182/--,--/6320/--,--/8560/--,--/8640/--,--/8700/--,--/561.75/--,--/2650.091/--,--/3172.636/--,--/5040/--,--/7280/--,--/8586.667/--,--/8633.333/--,--/8706.667/--,--/1043.25/--,--/2040.455/--,--/2998.455/--,--/4400/--,--/6640/--,--/7920/--,--/8613.333/--,--/8673.333/--,--/8740/--,--/--/--,--/1692.091/--,--/3521/--,--/5360/--,--/7600/--,--/8580/--,--/8646.667/--,--/8733.333/--
Calibrated age,Calendar years BP,,,,--/9538/--,--/9599/--,--/809/--,--/2377/--,--/3670/--,--/5282/--,--/7782/--,--/9671/--,--/9784/--,--/149/--,--/2646/--,--/4568/--,--/6711/--,--/9210/--,--/9591/--,--/9679/--,--/653/--,--/3024/--,--/4317/--,--/6353/--,--/9531/--,--/9631/--,--/9711/--,--/1430/--,--/9560/--,--/9639/--,--/9718/--,--/1119/--,--/9573/--,--/9663/--,--/9776/--,--/1274/--,--/9568/--,--/9647/--,--/9752/--,--/343/--,--/1838/--,--/4101/--,--/7068/--,--/9523/--,--/9615/--,--/9687/--,--/498/--,--/2808/--,--/3455/--,--/5639/--,--/8139/--,--/9553/--,--/9607/--,--/9695/--,--/964/--,--/2054/--,--/3239/--,--/4925/--,--/7425/--,--/8853/--,--/9583/--,--/9655/--,--/9736/--,--/-45/--,--/1623/--,--/3886/--,--/5996/--,--/8496/--,--/9546/--,--/9623/--,--/9728/--
Alchemilla,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma-type,AQVP,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,
Alnus glutinosa-type,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,4,,,,3,,1,,,,1,,,,,,,1,,,,1,,2,1,,1,1,,
Amaranthaceae,UPHE,pollen,NISP,,42,8,12,1,3,1,50,16,5,8,3,3,13,83,17,6,3,1,4,5,24,9,13,3,24,10,18,6,9,12,6,2,12,14,16,8,2,3,45,25,9,12,20,4,,8,3,6,14,23,,8,1,5,10,72,20,14,27,6,3,4,3,53,15,14,9
Amphitrema,TEAM,test,NISP,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anagallis,UPHE,pollen,NISP,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthemis-type,UPHE,pollen,NISP,,,2,2,,4,,,,1,2,2,1,2,1,1,5,3,1,,,,,,1,2,,1,1,1,,,5,,,,1,2,2,2,4,,,1,,1,,,,,2,2,1,1,1,,,5,,1,,3,,2,,1,2,
Apiaceae,UPHE,pollen,NISP,,,1,1,,,,,,,2,2,,,2,,,2,,1,,,1,,1,1,1,1,1,1,1,,3,1,,,1,,,,2,,,,2,1,,,,,1,,1,,1,,,,,,,1,,,1,1,3,
Artemisia,UPHE,pollen,NISP,,3,4,6,,2,6,,13,10,4,3,,,,17,14,1,1,1,2,2,8,1,8,17,8,15,2,17,2,5,6,13,5,7,,6,,,1,7,14,2,1,1,2,,15,18,6,1,,,1,,,13,15,12,1,1,3,,,3,16,3
Asphodelus,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aster-type,UPHE,pollen,NISP,,3,2,7,,3,,1,1,2,2,2,7,,3,3,,,1,4,2,1,2,,4,2,,1,40,4,1,5,5,2,,2,,6,,1,,,,4,1,2,3,,,,2,2,2,,3,2,5,,2,,4,,,3,1,4,2,
Astragalus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Betula,TRSH,pollen,NISP,,4,6,,1,1,1,,4,2,,3,1,,4,9,3,,1,,1,2,1,7,2,15,15,5,2,12,4,9,,47,4,4,,1,2,1,8,11,6,,,5,,3,5,9,4,,,,1,1,1,3,8,8,,2,,1,1,6,20,4
Brassicaceae,UPHE,pollen,NISP,,21,14,11,4,6,5,7,13,11,6,15,6,4,7,24,14,6,5,5,5,21,8,10,15,40,10,19,7,32,13,11,43,46,10,13,7,20,3,11,6,21,13,9,5,1,5,1,20,14,11,4,15,3,1,1,5,19,11,14,20,2,2,6,8,11,16,11
Bryophyta,UPBR,spore,NISP,,,,19,4,,,,,3,,,,,,,,,5,,,,,,,,1,,6,,,,5,,,4,,,,,,,,20,2,,,,,,,23,7,,,7,17,,,1,,,,4,,,3,
Callitriche,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Calluna vulgaris,TRSH,pollen,NISP,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,3,,,,,,1,2,,,,,,1,5,1,,,,,,,1,,,1,,,,,
Campanula,UPHE,pollen,NISP,,,4,,,,,,,,,,,,1,,,2,,,1,,,,,,,,,1,,,,,,,1,,,1,,,,1,,,,,,1,,,,3,1,,,,,2,3,,,,,,,
Caryophyllaceae undiff.,UPHE,pollen,NISP,,,1,6,2,,,,,2,2,1,,1,,1,,1,,1,,4,1,,8,5,1,1,,1,,1,,2,,3,1,,1,2,1,,,3,,,1,,1,1,3,,1,,1,,,,,,1,,,,,3,,
Castanea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,,,,
Celtis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,
Centranthus,UPHE,pollen,NISP,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charcoal,CHAR,>10 µm,mm^2/ml,,0,0,2.484327,20.7856,4.08488,6.941239,0.4089861,0.09891444,0.05336345,10.0884,3.208374,4.251492,6.475083,0,0.5437138,0,11.26767,1.45775,0.9824569,3.127283,0,0,0,2.530818,0,0.07653373,0.06235605,7.947193,0.639275,0,0.01980622,7.911177,0,0,0.009914479,14.21011,1.182459,5.059321,1.105378,0,0,0.06420706,2.81149,3.009099,0.4965272,1.210657,0,0,0.3522339,0,6.765209,11.55128,2.499,0.2684017,2.934549,0,0,0.09790124,0.01848617,14.56026,13.01406,2.215259,22.2875,0,0.764506,0.3177877,0
Charcoal,CHAR,>10 µm,NISP,,0,0,92,384,55,130,7,9,20,121,38,91,79,0,7,0,702,29,16,40,0,0,0,37,0,3,4,244,9,0,4,135,0,0,4,642,22,68,27,0,0,4,48,110,4,20,0,0,3,0,220,205,41,4,76,0,0,7,9,532,165,10,337,0,5,13,0
Charcoal,CHAR,>10 µm,particles/cm^2/yr,,0,0,188.4362646,1312.908439,230.854179,245.5512898,11.92146867,116.2090666,60.10330458,842.1565856,178.3491624,145.4419178,227.9744346,0,717.7224986,0,947.7358186,76.77919408,50.36818451,104.7600848,0,0,0,192.2061773,0,88.35185773,70.98354382,652.6791449,927.0566457,0,20.84607085,649.5195143,0,0,9.952752863,1214.340618,61.39473301,290.1373934,34.4871058,0,0,73.23698965,215.0631281,166.5399649,24.29524194,38.0074698,0,0,451.3627515,0,549.5225107,700.9016405,136.5627712,7.60149396,97.87708752,0,0,114.9377667,19.36516701,1246.335339,796.1232903,120.0636956,853.9011549,0,1122.307382,404.3669294,0
Charcoal,CHAR,>10 µm,particles/ml,,0,0,7313.211429,70752.63576,12440.73171,21920.36364,1064.229508,233.5802239,120.8076422,32684.09709,9611.236364,12983.6,20351.27778,0,1442.622222,0,36781.62712,4137.630769,2714.341463,9351.932773,0,0,0,7459.521739,0,177.587234,142.6769231,25330.47761,1715.054795,0,41.90060241,25207.85235,0,0,20.00503326,47128.55937,3308.562162,15635.50413,3078.663934,0,0,147.2063492,8346.6,8974.83871,1309.270588,3392.926829,0,0,907.2391304,0,21326.96864,37771.5894,7359.367742,678.5853659,8737.487603,0,0,231.024911,38.9239857,48370.27451,42903.08411,6470.232558,76227.7561,0,2076.268657,812.7775281,0
