"name","group","element","units","context","S172617","S172595","S172596","S172597","S172598","S172599","S172600","S172601","S172602","S172603","S172604","S172605","S172606","S172607","S172608","S172609","S172610","S172611","S172612","S172613","S172614","S172615","S172616","S172618","S172619","S172620","S172621","S172622","S172623","S172624","S172625","S172626","S172627","S172628","S172629","S172630","S172631","S172632","S172633","S172634","S172635","S172636","S172637","S172638","S172639","S172640","S172641","S172642","S172643","S172644","S172645","S172646","S172647","S172648","S172649","S172650","S172651","S172652","S172653","S172654","S172655","S172656","S172657","S172658","S172659","S172660","S172661","S172662","S172663","S172664","S172665","S172666","S172667","S172668","S172669","S172670","S172671","S172672","S172673","S172674","S172675","S172676","S172677","S172678","S172679","S172680","S172681","S172682","S172683","S172684","S172685","S172686","S172687","S172688","S172689","S172690","S172691","S172692","S172693","S172694","S172695","S172696","S172697","S172698","S172699","S172700"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,385,,5,15,25,40,50,65,75,90,101,125,150,180,205,230,235,245,255,260,270,303,345,425,435,445,465,475,485,495,505,515,535,565,585,605,635,675,705,730,760,795,816,855,876,910,930,960,995,1035,1074,1100,1130,1150,1177,1200,1230,1270,1310,1350,1390,1420,1460,1500,1530,1550,1570,1600,1640,1660,1690,1720,1760,1785,1815,1865,1905,1935,1965,2000,2030,2060,2110,2150,2175,2210,2250,2260,2290,2310,2350,2370,2390,2410,2420,2440,2451,2460,2477,2484,2491.199951,2509,2519,2529,2536,2550
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,172617,172595,172596,172597,172598,172599,172600,172601,172602,172603,172604,172605,172606,172607,172608,172609,172610,172611,172612,172613,172614,172615,172616,172618,172619,172620,172621,172622,172623,172624,172625,172626,172627,172628,172629,172630,172631,172632,172633,172634,172635,172636,172637,172638,172639,172640,172641,172642,172643,172644,172645,172646,172647,172648,172649,172650,172651,172652,172653,172654,172655,172656,172657,172658,172659,172660,172661,172662,172663,172664,172665,172666,172667,172668,172669,172670,172671,172672,172673,172674,172675,172676,172677,172678,172679,172680,172681,172682,172683,172684,172685,172686,172687,172688,172689,172690,172691,172692,172693,172694,172695,172696,172697,172698,172699,172700
Giesecke et al. 2014,Calibrated radiocarbon years BP,,,,603/548/505,-11/-33/-53,-3/-26/-45,11/-12/-31,26/3/-16,48/25/5,63/39/20,86/61/41,101/75/55,126/97/77,144/113/93,182/148/127,221/185/162,270/229/205,312/267/242,353/304/279,360/312/285,376/327/300,393/343/315,401/350/322,418/366/337,471/417/385,538/483/446,668/615/563,684/631/577,701/648/592,733/680/621,748/697/634,764/713/649,781/729/664,797/745/678,813/761/693,846/793/723,897/841/767,930/872/797,963/904/827,1012/951/872,1080/1015/933,1130/1064/981,1172/1105/1023,1225/1155/1072,1288/1215/1130,1327/1251/1166,1402/1321/1236,1443/1360/1274,1510/1425/1337,1551/1464/1375,1613/1524/1434,1689/1598/1506,1778/1686/1591,1871/1777/1680,1935/1840/1742,2012/1916/1818,2065/1969/1870,2139/2042/1942,2204/2107/2007,2292/2194/2094,2415/2317/2217,2545/2448/2347,2682/2586/2484,2829/2733/2630,2945/2849/2744,3109/3011/2902,3286/3183/3070,3426/3318/3201,3523/3412/3293,3623/3508/3387,3779/3658/3533,3999/3869/3740,4114/3978/3847,4290/4149/4013,4473/4328/4186,4728/4578/4429,4896/4742/4590,5103/4946/4791,5468/5306/5151,5774/5612/5458,6014/5853/5703,6262/6104/5959,6561/6409/6272,6828/6683/6552,7106/6967/6846,7592/7464/7365,8002/7886/7797,8279/8160/8066,8682/8555/8441,9167/9023/8880,9291/9142/8992,9669/9503/9325,9928/9747/9549,10457/10240/10005,10723/10488/10232,10991/10737/10459,11258/10985/10685,11393/11109/10798,11661/11358/11022,11809/11494/11145,11930/11606/11246,12159/11817/11435,12253/11904/11513,12351/11993/11594,12592/12214/11792,12727/12338/11903,12863/12462/12015,12958/12549/12092,13147/12723/12247
Abies,TRSH,pollen,NISP,,,,,,,,,,,,,,,2,1,1,1,2,1,,3,,,1,,1,,2,,1,4,6,2,5,2,4,3,1,3,5,2,1,12,1,4,4,6,5,,5,4,5,4,2,5,3,3,,1,6,7,2,2,7,5,7,4,2,2,5,2,,,2,1,3,,,,1,,,3,,,1,,3,,,,,,,,,,,,,,,,,,
Acer campestre-type,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer negundo,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea-type,UPHE,pollen,NISP,,,1,,,,1,,1,,,,,,1,1,,,,,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
