"name","group","element","units","context","S384276","S384277","S384278","S384279","S384280","S384281","S384282","S384283","S384284","S384285","S384286","S384287","S384288","S384289","S384290","S384291","S384292","S384293","S384294","S384295","S384296","S384297","S384298","S384299","S384300","S384301","S384302","S384303","S384304","S384305","S384306","S384307","S384308","S384309","S384310","S384311","S384312","S384313","S384314","S384315","S384316","S384317","S384318","S384319","S384320","S384321","S384322","S384323","S384324","S384325","S384326","S384327","S384328","S384329","S384330","S384331","S384332","S384333","S384334","S384335","S384336","S384337","S384338","S384339","S384340","S384341","S384342","S384343","S384344","S384345","S384346","S384347","S384348","S384349","S384350","S384351","S384352","S384353","S384354","S384355","S384356","S384357","S384358","S384359","S384360","S384361","S384362","S384363","S384364","S384365","S384366","S384367","S384368","S384369","S384370","S384371","S384372","S384373","S384374","S384375","S384376","S384377","S384378","S384379","S384380","S384381","S384382","S384383","S384384","S384385","S384386","S384387","S384388","S384389","S384390","S384391","S384392","S384393","S384394","S384395","S384396","S384397","S384398","S384399","S384400","S384401","S384402","S384403","S384404","S384405","S384406","S384407","S384408","S384409","S384410","S384411","S384412","S384413","S384414","S384415","S384416","S384417","S384418","S384419","S384420","S384421","S384422","S384423","S384424","S384425","S384426","S384427","S384428","S384429","S384430","S384431","S384432","S384433","S384434","S384435","S384436","S384437","S384438"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,132,164,196,228,260,268,276,284,292,300,308,316,324,332,340,344,348,356,364,372,380,388,396,404,412,416,420,424,428,432,436,438,444,448,452,456,460,464,468,472,476,480,484,488,492,496,500,504,508,512,516,520,524,528,532,536,540,548,556,564,572,580,588,596,604,612,620,628,636,644,652,660,668,676,684,692,700,708,716,724,732,740,748,756,764,772,780,788,796,804,812,820,828,836,844,852,860,868,876,884,892,900,908,916,924,932,940,948,956,964,972,980,988,996,1004,1012,1020,1028,1036,1044,1052,1060,1068,1080,1084,1088,1090,1092,1093,1094,1095,1096,1097,1098,1099,1100,1102,1104,1106,1107,1108,1110,1111,1112,1114,1116,1120,1124,1128,1132,1136,1140,1144,1148,1152,1156,1160,1164,1168,1172,1176,1180,1184
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,384276,384277,384278,384279,384280,384281,384282,384283,384284,384285,384286,384287,384288,384289,384290,384291,384292,384293,384294,384295,384296,384297,384298,384299,384300,384301,384302,384303,384304,384305,384306,384307,384308,384309,384310,384311,384312,384313,384314,384315,384316,384317,384318,384319,384320,384321,384322,384323,384324,384325,384326,384327,384328,384329,384330,384331,384332,384333,384334,384335,384336,384337,384338,384339,384340,384341,384342,384343,384344,384345,384346,384347,384348,384349,384350,384351,384352,384353,384354,384355,384356,384357,384358,384359,384360,384361,384362,384363,384364,384365,384366,384367,384368,384369,384370,384371,384372,384373,384374,384375,384376,384377,384378,384379,384380,384381,384382,384383,384384,384385,384386,384387,384388,384389,384390,384391,384392,384393,384394,384395,384396,384397,384398,384399,384400,384401,384402,384403,384404,384405,384406,384407,384408,384409,384410,384411,384412,384413,384414,384415,384416,384417,384418,384419,384420,384421,384422,384423,384424,384425,384426,384427,384428,384429,384430,384431,384432,384433,384434,384435,384436,384437,384438
EPD default,Radiocarbon years BP,,,,--/1625/--,--/1714/--,--/1802/--,--/1891/--,--/1980/--,--/2150/--,--/2320/--,--/2490/--,--/2660/--,--/2943/--,--/3226/--,--/3509/--,--/3792/--,--/4075/--,--/4358/--,--/4500/--,--/4569/--,--/4706/--,--/4843/--,--/4980/--,--/5118/--,--/5255/--,--/5392/--,--/5530/--,--/5667/--,--/5735/--,--/5804/--,--/5873/--,--/5941/--,--/6010/--,--/6069/--,--/6099/--,--/6188/--,--/6248/--,--/6307/--,--/6367/--,--/6426/--,--/6486/--,--/6545/--,--/6604/--,--/6664/--,--/6723/--,--/6783/--,--/6842/--,--/6902/--,--/6961/--,--/7021/--,--/7080/--,--/7109/--,--/7137/--,--/7166/--,--/7194/--,--/7223/--,--/7251/--,--/7280/--,--/7291/--,--/7302/--,--/7325/--,--/7348/--,--/7370/--,--/7392/--,--/7415/--,--/7438/--,--/7460/--,--/7482/--,--/7505/--,--/7596/--,--/7686/--,--/7777/--,--/7868/--,--/7958/--,--/8049/--,--/8139/--,--/8230/--,--/8232/--,--/8233/--,--/8235/--,--/8237/--,--/8238/--,--/8240/--,--/8242/--,--/8243/--,--/8245/--,--/8247/--,--/8248/--,--/8250/--,--/8292/--,--/8333/--,--/8375/--,--/8417/--,--/8458/--,--/8500/--,--/8512/--,--/8523/--,--/8535/--,--/8547/--,--/8558/--,--/8570/--,--/8582/--,--/8593/--,--/8605/--,--/8617/--,--/8628/--,--/8640/--,--/8652/--,--/8663/--,--/8675/--,--/8732/--,--/8789/--,--/8846/--,--/8903/--,--/8960/--,--/8973/--,--/8987/--,--/9000/--,--/9013/--,--/9027/--,--/9040/--,--/9054/--,--/9069/--,--/9083/--,--/9097/--,--/9111/--,--/9125/--,--/9129/--,--/9182/--,--/9211/--,--/9241/--,--/9255/--,--/9270/--,--/9285/--,--/9300/--,--/9315/--,--/9330/--,--/9345/--,--/9360/--,--/9390/--,--/9425/--,--/9460/--,--/9472/--,--/9485/--,--/9510/--,--/9522/--,--/9535/--,--/9560/--,--/9700/--,--/9980/--,--/10260/--,--/10540/--,--/10820/--,--/10877/--,--/10934/--,--/10991/--,--/11049/--,--/11106/--,--/11172/--,--/11413/--,--/11655/--,--/11896/--,--/12137/--,--/12379/--,--/12620/--,--/12861/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,1631/1510/1390,1717/1616/1521,1813/1723/1640,1929/1829/1737,2059/1936/1817,2245/2148/2058,2442/2361/2293,2643/2573/2513,2864/2786/2721,3236/3148/3072,3623/3511/3404,4020/3874/3732,4427/4237/4056,4836/4599/4378,5248/4962/4694,5455/5144/4854,5517/5222/4946,5646/5379/5124,5777/5536/5296,5914/5693/5468,6061/5849/5639,6211/6006/5803,6370/6163/5963,6537/6320/6117,6716/6477/6268,6808/6555/6343,6900/6634/6417,6991/6712/6488,7083/6791/6559,7176/6869/6627,7216/6926/6696,7237/6955/6732,7299/7041/6837,7341/7098/6906,7382/7156/6974,7423/7213/7041,7465/7270/7108,7506/7328/7174,7550/7385/7240,7595/7442/7305,7640/7499/7366,7686/7557/7427,7733/7614/7487,7786/7671/7548,7840/7729/7608,7897/7786/7667,7956/7843/7724,8015/7901/7775,8030/7929/7819,8059/7958/7857,8094/7986/7884,8137/8015/7912,8183/8043/7934,8244/8072/7946,8305/8100/7953,8304/8110/7968,8303/8120/7985,8296/8140/8017,8302/8160/8039,8310/8179/8056,8327/8199/8073,8350/8219/8087,8382/8239/8099,8408/8258/8061,8441/8278/8056,8479/8298/8056,8574/8408/8233,8679/8518/8340,8811/8628/8438,8948/8737/8513,9092/8847/8575,9236/8957/8630,9384/9067/8686,9536/9177/8741,9512/9182/8782,9488/9188/8821,9467/9193/8858,9446/9198/8892,9431/9204/8926,9420/9209/8959,9415/9214/8989,9410/9220/9010,9411/9225/9024,9420/9230/9035,9431/9235/9034,9452/9241/9027,9459/9281/9101,9473/9322/9169,9494/9362/9226,9521/9402/9261,9561/9443/9280,9611/9483/9300,9615/9495/9323,9621/9506/9347,9626/9517/9367,9636/9529/9387,9647/9540/9408,9663/9552/9423,9679/9563/9441,9697/9574/9466,9717/9586/9482,9736/9597/9493,9754/9608/9501,9774/9620/9508,9799/9631/9515,9822/9643/9519,9847/9654/9522,9905/9733/9602,9978/9813/9647,10071/9892/9687,10186/9972/9708,10312/10051/9720,10305/10069/9790,10320/10088/9851,10342/10106/9867,10381/10124/9857,10442/10143/9830,10513/10161/9794,10473/10188/9891,10455/10216/9967,10472/10243/9998,10522/10271/9975,10584/10303/9954,10684/10396/10115,10784/10427/10137,10923/10458/10161,10983/10474/10158,11039/10489/10153,11067/10497/10149,11097/10505/10146,11034/10525/10205,10981/10545/10227,10926/10565/10245,10904/10585/10268,10928/10606/10285,10978/10626/10292,11118/10666/10255,11039/10716/10439,11134/10766/10439,11112/10785/10495,11096/10803/10542,11084/10840/10607,11094/10859/10625,11112/10878/10634,11200/10915/10618,11287/11016/10732,11466/11218/10956,11654/11420/11173,11852/11622/11383,12052/11824/11584,12258/12026/11777,12473/12228/11964,12693/12430/12142,12920/12632/12317,13149/12834/12485,13382/13041/12659,13646/13340/13015,13923/13639/13325,14232/13938/13598,14560/14236/13825,14885/14535/14035,15235/14834/14235,15613/15133/14432
Abies,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Acer campestre,TRSH,pollen,NISP,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea-type,UPHE,pollen,NISP,,,3,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,1,,2,1,3,2,,,,3,2,1,3,,,,1,,,1,,1
