"name","group","element","units","context","S342595","S342596","S342597","S342598","S342599","S342600","S342601","S342602","S342603","S342604","S342605","S342606","S342607","S342608","S342609","S342610","S342611","S342612","S342613","S342614","S342615","S342616","S342617","S342618","S342619","S342620","S342621","S342622","S342623","S342624","S342625","S342626","S342627","S342628","S342629","S342630","S342631","S342632","S342633","S342634","S342635","S342636","S342637","S342638","S342639","S342640","S342641","S342642","S342643","S342644","S342645","S342646","S342647","S342648","S342649","S342650","S342651","S342652","S342653","S342654","S342655","S342656","S342657","S342658","S342659","S342660","S342661","S342662","S342663","S342664","S342665","S342666","S342667","S342668","S342669","S342670","S342671","S342672","S342673","S342674","S342675","S342676","S342677","S342678","S342679"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,342595,342596,342597,342598,342599,342600,342601,342602,342603,342604,342605,342606,342607,342608,342609,342610,342611,342612,342613,342614,342615,342616,342617,342618,342619,342620,342621,342622,342623,342624,342625,342626,342627,342628,342629,342630,342631,342632,342633,342634,342635,342636,342637,342638,342639,342640,342641,342642,342643,342644,342645,342646,342647,342648,342649,342650,342651,342652,342653,342654,342655,342656,342657,342658,342659,342660,342661,342662,342663,342664,342665,342666,342667,342668,342669,342670,342671,342672,342673,342674,342675,342676,342677,342678,342679
Author preferred,Varve years BP,,,,--/14/--,--/46/--,--/75/--,--/101/--,--/129/--,--/143/--,--/171/--,--/199/--,--/232/--,--/274/--,--/310/--,--/350/--,--/394/--,--/441/--,--/475/--,--/517/--,--/572/--,--/623/--,--/673/--,--/718/--,--/780/--,--/825/--,--/882/--,--/943/--,--/1008/--,--/1128/--,--/1237/--,--/1339/--,--/1434/--,--/1516/--,--/1602/--,--/1686/--,--/1774/--,--/1852/--,--/1921/--,--/1978/--,--/2073/--,--/2163/--,--/2254/--,--/2356/--,--/2450/--,--/2530/--,--/2588/--,--/2616/--,--/2696/--,--/3045/--,--/3353/--,--/3562/--,--/3937/--,--/4390/--,--/4750/--,--/4983/--,--/5134/--,--/5271/--,--/5507/--,--/5693/--,--/5894/--,--/6034/--,--/6117/--,--/6233/--,--/6336/--,--/6446/--,--/6588/--,--/6756/--,--/7013/--,--/7188/--,--/7366/--,--/7581/--,--/7784/--,--/7977/--,--/8132/--,--/8330/--,--/8597/--,--/8823/--,--/9089/--,--/9335/--,--/9529/--,--/9810/--,--/10014/--,--/10134/--,--/10254/--,--/10405/--,--/10591/--,--/10755/--,--/10934/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,16/14/12,48/46/44,77/75/73,102/101/99,131/129/127,145/143/141,174/171/167,203/199/196,236/232/229,280/274/269,315/310/304,357/350/343,402/394/386,448/441/433,485/475/466,526/517/507,583/572/560,635/623/612,687/673/659,732/718/704,796/780/765,840/825/810,898/881/864,961/943/926,1026/1008/987,1151/1128/1106,1261/1237/1215,1366/1339/1314,1462/1434/1405,1546/1515/1484,1631/1602/1568,1719/1686/1653,1810/1773/1736,1891/1853/1819,1956/1920/1881,2021/1979/1937,2115/2072/2028,2209/2163/2119,2301/2254/2207,2405/2355/2308,2497/2449/2402,2577/2530/2478,2639/2587/2533,2669/2617/2563,2747/2697/2641,3109/3045/2986,3425/3353/3287,3633/3561/3490,4014/3938/3858,4476/4391/4302,4849/4750/4653,5083/4982/4879,5236/5134/5032,5376/5271/5167,5624/5506/5390,5811/5693/5569,6005/5894/5776,6156/6032/5914,6242/6114/5990,6352/6229/6099,6463/6334/6198,6572/6451/6312,6717/6588/6462,6887/6754/6614,7156/7007/6866,7331/7187/7042,7519/7364/7215,7740/7580/7425,7947/7786/7627,8128/7974/7817,8294/8132/7970,8501/8332/8168,8755/8592/8408,8994/8824/8645,9274/9089/8909,9526/9339/9160,9728/9531/9348,10012/9813/9616,10225/10017/9818,10347/10136/9943,10465/10251/10035,10624/10405/10196,10799/10591/10382,10985/10757/10525,11156/10933/10703
Acer,TRSH,pollen,NISP,,,,1,,,,,1,1,,1,1,2,,1,1,,,,,3,2,2,1,1,2,1,,1,1,1,1,1,3,,3,1,2,3,,4,1,1,2,,5,3,,,6,1,1,,,4,6,2,4,,,2,1,2,1,2,,2,,1,,3,,,,,,,,,,,,,,
Alisma,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,31,26,44,27,38,19,35,26,41,38,26,52,50,41,44,58,53,114,164,147,118,129,316,239,119,379,344,312,249,255,215,400,256,298,279,240,213,256,233,203,310,254,250,268,354,251,345,361,190,271,396,279,280,238,142,91,60,61,42,46,44,52,37,26,27,27,38,14,25,14,25,19,12,9,,2,,,,1,,1,,,
Amaranthaceae,UPHE,pollen,NISP,,2,10,11,4,8,2,1,3,1,1,4,4,2,,1,2,1,1,,2,5,3,2,3,,,,,,,2,1,1,,3,4,1,3,2,1,5,7,5,5,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Apiaceae,UPHE,pollen,NISP,,1,1,3,1,3,2,3,4,4,,4,6,3,1,3,1,,,2,,1,4,2,6,4,,,,,1,,1,3,2,1,1,3,3,3,3,2,1,4,1,,1,,5,1,,1,,,,1,1,6,,,,,,,,,,,,,1,,,,1,,1,,,2,,2,,1,,1
