"name","group","element","units","context","S347790","S347791","S347792","S347793","S347794","S347795","S347796","S347797","S347798","S347799","S347800","S347801","S347802","S347803","S347804","S347805","S347806","S347807","S347808","S347809","S347810","S347811","S347812","S347813","S347814","S347815","S347816","S347817","S347818","S347819","S347820","S347821","S347822","S347823","S347824","S347825"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,15,20,25,32.5,40,45,47.5,62.5,65,67.5,70,72.5,75,80,82.5,85,95,100,105,110,115,117.5,120,122.5,125,127.5,130,135,140,142,145,146,147.5,150,155,160
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,347790,347791,347792,347793,347794,347795,347796,347797,347798,347799,347800,347801,347802,347803,347804,347805,347806,347807,347808,347809,347810,347811,347812,347813,347814,347815,347816,347817,347818,347819,347820,347821,347822,347823,347824,347825
EPD,Radiocarbon years BP,,,,--/3852/--,--/4156/--,--/4460/--,--/4916/--,--/5372/--,--/5676/--,--/5828/--,--/6740/--,--/6892/--,--/7044/--,--/7196/--,--/7348/--,--/7500/--,--/7804/--,--/7956/--,--/8108/--,--/8716/--,--/9020/--,--/9232/--,--/9443/--,--/9655/--,--/9761/--,--/9867/--,--/9973/--,--/10079/--,--/10184/--,--/10290/--,--/10502/--,--/10714/--,--/10798/--,--/10925/--,--/10968/--,--/11031/--,--/11137/--,--/11349/--,--/11560/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,5025/3847/2671,5308/4218/3129,5591/4588/3587,6016/5145/4274,6443/5701/4960,6730/6072/5417,6873/6257/5645,7752/7370/7002,7900/7556/7221,8049/7741/7436,8202/7927/7648,8360/8112/7855,8529/8297/8061,8895/8668/8466,9069/8853/8648,9244/9038/8824,10022/9772/9519,10415/10134/9869,10790/10492/10215,11141/10841/10544,11464/11175/10856,11621/11336/11016,11776/11491/11175,11929/11641/11333,12073/11787/11485,12205/11927/11631,12335/12064/11777,12589/12328/12053,12837/12582/12303,12944/12682/12405,13116/12831/12554,13174/12880/12599,13264/12954/12665,13419/13077/12765,13749/13324/12945,14087/13571/13110
Abies,TRSH,pollen,NISP,,1,2,5,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,1,1,9,7,8,6,3,6,3,8,4,1,2,7,1,2,2,,,,,1,1,,,,2,,,,,,,3,,
Amaranthaceae,UPHE,pollen,NISP,,1,2,,,4,1,1,,,,,,,,,,,,,2,,3,5,1,2,4,1,,1,2,,,,,,2
Amphitrema undiff.,TEAM,test,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Amphitrema wrightianum,TEAM,test,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemone-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,,2,2,,,2,1,2,2,,,,,,,,,,,2,,1,4,4,3,7,1,3,,,1,,,1,6,2
Asteroideae,UPHE,pollen,NISP,,6,6,2,2,7,1,,1,1,,,1,,11,,,,,,,,,,,1,,1,1,1,2,,1,2,,,
Betula,TRSH,pollen,NISP,,,3,2,,11,7,6,2,2,3,2,6,2,8,6,5,6,112,30,25,4,1,13,12,7,8,2,18,2,7,9,7,3,11,7,15
Bistorta vivipara,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,16,,,,,
Boraginaceae,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botrychium,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,1,,
Brassicaceae,UPHE,pollen,NISP,,5,1,1,1,5,6,3,3,3,,1,,,2,2,,,,,11,1,1,1,1,2,2,2,4,,,,,,,2,
Campanula,UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carduus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Centaurea cyanus,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea undiff.,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,31,37,67,5,3,,3,1,3,3,2,1,,14,2,,,,,,,1,1,,,,,,1,,2,,,,,4
Cirsium-type,UPHE,pollen,NISP,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corylus,TRSH,pollen,NISP,,2,,2,,,3,6,,1,2,2,1,,2,2,1,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,13,21,116,9,193,139,26,550,201,64,395,98,114,136,220,223,152,38,60,158,167,597,314,162,107,191,148,75,272,43,91,24,6,91,253,255
Daucus-type,UPHE,pollen,NISP,,1,,2,,4,,2,3,2,,,1,,,1,1,,,,2,5,,,,1,,,1,,,,,,,2,
Dryopteris-type,VACR,spore,NISP,,6,5,3,2,1,7,3,340,36,200,34,25,11,232,376,125,13,7,26,25,3,,,,3,,5,,2,11,2,8,7,10,2,
Ephedra distachya,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Ephedra fragilis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Equisetum,VACR,spore,NISP,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericaceae,TRSH,pollen,NISP,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filipendula,UPHE,pollen,NISP,,,,1,,,2,1,1,1,,,,,,2,1,2,1,,,1,1,,1,1,,,1,,,,,,,3,
Gentiana-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Geranium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Gypsophila-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
Humulus/Cannabis,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,,,3,,,,,,,1
Lamiaceae,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,11
Larix,TRSH,pollen,NISP,,,,3,1,3,1,2,2,,1,8,1,3,5,5,2,1,2,3,3,8,4,61,28,44,16,18,6,16,37,65,95,88,101,77,70
Liliaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1
Lycopodium clavatum,VACR,spore,NISP,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microthyrium,FUNG,ascospore,NISP,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mougeotia,ALGA,palynomorph,NISP,,,,,,,,,,2,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,24,24,29,45,152,105,74,155,116,240,387,79,382,135,102,225,48,97,44,28,6,3,1,7,2,8,5,3,,5,,2,1,7,2,
Pinus,TRSH,pollen,NISP,,62,65,156,89,241,143,99,182,165,100,159,72,115,258,220,149,253,281,545,667,469,431,650,297,405,470,309,216,499,431,522,421,563,495,517,401
