"name","group","element","units","context","S416791","S416792","S416793","S416794","S416795","S416796","S416797","S416798","S416799","S416800","S416801","S416802","S416803","S416804","S416805","S416806","S416807"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,15,50,80,115,150,185,220,255,290,325,360,385,420,455,490,525,550
Thickness,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Sample Name,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,416791,416792,416793,416794,416795,416796,416797,416798,416799,416800,416801,416802,416803,416804,416805,416806,416807
Author's preferred,Radiocarbon years BP,,,,--/1907/--,--/2789/--,--/3544/--,--/4425/--,--/5307/--,--/6188/--,--/6658/--,--/6962/--,--/7266/--,--/7541/--,--/7809/--,--/8002/--,--/8306/--,--/8616/--,--/8926/--,--/9689/--,--/10287/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,3496/2215/1605,4275/3244/2797,4940/4125/3792,5665/5146/4766,6383/6099/5662,7119/6905/6458,7714/7495/7098,8124/7896/7603,8397/8187/7999,8622/8443/8295,8867/8711/8557,9098/8926/8765,9469/9284/9105,9950/9718/9509,10577/10236/9933,11259/10835/10364,11762/11285/10655
Alismataceae,AQVP,pollen,NISP,,,,,,,,,,,,,,,,2,,1
Alnus,TRSH,pollen,NISP,,13,22,28,23,16,21,18,20,14,16,5,8,2,3,,,
Amaranthaceae,UPHE,pollen,NISP,,,,2,,2,1,1,,,2,,,,1,2,1,2
Artemisia,UPHE,pollen,NISP,,3,3,9,4,1,2,4,6,6,3,2,2,4,,5,2,3
Asteraceae,UPHE,pollen,NISP,,2,,1,,,1,,,,1,,,,,,1,
Betula nana,TRSH,pollen,NISP,,136,136,126,108,130,90,130,130,131,120,100,96,77,86,126,139,150
Betula pubescens,TRSH,pollen,NISP,,36,46,41,56,59,48,67,64,81,73,99,95,126,137,93,102,91
Brassicaceae,UPHE,pollen,NISP,,,,,,,,,,1,,,,3,4,2,1,2
Corylus,TRSH,pollen,NISP,,,,,,1,,1,,1,1,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,16,7,6,3,4,9,3,9,11,12,14,8,9,14,16,8,21
Diphasiastrum alpinum,VACR,spore,NISP,,,,1,1,,,1,2,,1,,4,4,2,3,3,8
Ericales,TRSH,pollen,NISP,,2,,3,2,,,6,,1,2,,,2,2,,2,2
Fabaceae,UPHE,pollen,NISP,,2,2,2,1,1,3,2,1,,,2,3,10,4,3,8,10
Lycopodium annotinum subsp. alpestre,VACR,spore,NISP,,1,,,,1,2,,1,,1,1,,1,1,,2,
Lycopodium clavatum,VACR,spore,NISP,,,2,,,,,,,,,,,,,2,3,1
Myriophyllum,AQVP,pollen,NISP,,,,1,,,,,,,1,,,,,,,
Picea,TRSH,pollen,NISP,,19,9,17,18,6,18,21,4,7,10,2,6,6,4,4,3,4
Pinus sylvestris,TRSH,pollen,NISP,,76,117,109,115,104,142,79,98,92,95,96,100,47,58,43,16,13
Poaceae,UPHE,pollen,NISP,,4,2,2,3,9,8,3,10,4,7,16,16,24,22,17,30,18
Polygonaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1
Polypodiaceae,VACR,spore,NISP,,4,3,3,4,10,5,1,11,7,6,13,10,28,16,29,26,13
Quercus,TRSH,pollen,NISP,,,,,1,,,,1,,,,,,,,,
Ranunculaceae,UPHE,pollen,NISP,,,,2,,,2,,,,,,1,,,,1,
Salix,TRSH,pollen,NISP,,,,1,1,,,,,,,,1,4,2,4,5,8
Saxifragaceae,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,1,1,1
Sphagnum,AQBR,spore,NISP,,38,5,14,14,12,8,28,1,1,6,4,6,7,1,6,3,4
Tilia,TRSH,pollen,NISP,,,,1,,,,,,1,,,,,,,,
Typha,AQVP,pollen,NISP,,2,,1,,,,,,,,,,,,,,2
Ulmus,TRSH,pollen,NISP,,,,2,1,,1,,,,,2,1,,,,,
Varia,UNID,pollen/spore,NISP,,5,6,3,5,4,4,4,3,2,3,4,3,6,4,2,3,5
