"name","group","element","units","context","S414291","S414292","S414293","S414294","S414295","S414296","S414297","S414298","S414299","S414300","S414301","S414302","S414303","S414304","S414305","S414306","S414307","S414308","S414309","S414310","S414311","S414312","S414313","S414314","S414315","S414316","S414317","S414318","S414319","S414320","S414321","S414322","S414323","S414324","S414325","S414326","S414327","S414328","S414329","S414330","S414331","S414332","S414333","S414334","S414335","S414336","S414337","S414338","S414339","S414340","S414341","S414342","S414343","S414344","S414345","S414346","S414347"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,8,11,15,21,26,30,35,40,45,50,56,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,414291,414292,414293,414294,414295,414296,414297,414298,414299,414300,414301,414302,414303,414304,414305,414306,414307,414308,414309,414310,414311,414312,414313,414314,414315,414316,414317,414318,414319,414320,414321,414322,414323,414324,414325,414326,414327,414328,414329,414330,414331,414332,414333,414334,414335,414336,414337,414338,414339,414340,414341,414342,414343,414344,414345,414346,414347
C14 BP,Radiocarbon years BP,,,,--/30/--,--/240/--,--/330/--,--/450/--,--/630/--,--/780/--,--/900/--,--/1050/--,--/1275/--,--/1500/--,--/1725/--,--/1995/--,--/2175/--,--/2400/--,--/2577/--,--/2754/--,--/2931/--,--/3109/--,--/3286/--,--/3463/--,--/3640/--,--/3817/--,--/3994/--,--/4171/--,--/4349/--,--/4526/--,--/4703/--,--/4880/--,--/5168/--,--/5457/--,--/5745/--,--/6033/--,--/6322/--,--/6610/--,--/6641/--,--/6672/--,--/6702/--,--/6733/--,--/6764/--,--/6795/--,--/6826/--,--/6857/--,--/6888/--,--/6918/--,--/6949/--,--/6980/--,--/7270/--,--/7560/--,--/7850/--,--/8140/--,--/8187/--,--/8233/--,--/8280/--,--/8327/--,--/8373/--,--/8420/--,--/8467/--
CAL BP,Calibrated radiocarbon years BP,,,,--/-31/--,--/176/--,--/264/--,--/382/--,--/559/--,--/706/--,--/824/--,--/972/--,--/1227/--,--/1481/--,--/1736/--,--/2042/--,--/2245/--,--/2500/--,--/2723/--,--/2947/--,--/3170/--,--/3394/--,--/3617/--,--/3840/--,--/4064/--,--/4287/--,--/4510/--,--/4734/--,--/4957/--,--/5180/--,--/5404/--,--/5627/--,--/5940/--,--/6252/--,--/6565/--,--/6878/--,--/7190/--,--/7503/--,--/7529/--,--/7555/--,--/7580/--,--/7606/--,--/7632/--,--/7658/--,--/7683/--,--/7709/--,--/7735/--,--/7761/--,--/7786/--,--/7812/--,--/8124/--,--/8436/--,--/8748/--,--/9060/--,--/9122/--,--/9185/--,--/9248/--,--/9311/--,--/9368/--,--/9431/--,--/9494/--
Acer,TRSH,pollen,NISP,,,,,,,,,1,1,,1,,,,,,2,,,,1,,1,,,2,,1,1,1,1,,,,2,,,,,,1,,,,,,,,1,1,1,,,,3,2,
Alnus,TRSH,pollen,NISP,,11,7,3,24,28,40,14,38,21,38,16,16,17,33,34,55,33,41,13,23,18,12,21,22,24,22,16,19,15,20,31,14,16,9,10,7,8,2,2,2,15,15,6,15,20,3,3,,5,9,5,3,7,15,14,5,3
Amaranthaceae,UPHE,pollen,NISP,,7,4,1,3,4,2,1,2,2,6,1,3,,,3,2,1,1,1,1,1,5,4,4,2,1,2,1,3,,2,2,,3,3,2,1,2,3,1,,1,2,2,4,1,2,,,1,6,,1,1,2,2,4
