name,group,element,units,context,S243476,S243477,S243478,S243479,S243480,S243481,S243482,S243483,S243484,S243485,S243486,S243487,S243488,S243489,S243490,S243491,S243492,S243493,S243494,S243495,S243496,S243497,S243498,S243499,S243500,S243501,S243502,S243503,S243504,S243505,S243506,S243507,S243508,S243509,S243510,S243511,S243512,S243513,S243514,S243515,S243516,S243517,S243518,S243519,S243520,S243521,S243522,S243523,S243524,S243525,S243526,S243527,S243528,S243529,S243530,S243531,S243532,S243533,S243534,
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,2,10,19,26,32,58,68,82,92,97,108,118,130,138,147,158,169,179,184,191,198,206,214,218,233,240,247,258,268,276,284,297,309,319,327,335,344,354,364,371,382,391,402,407,417,425,434,441,452,458,470,480,491,502,508,518,523,534,547,
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,243476,243477,243478,243479,243480,243481,243482,243483,243484,243485,243486,243487,243488,243489,243490,243491,243492,243493,243494,243495,243496,243497,243498,243499,243500,243501,243502,243503,243504,243505,243506,243507,243508,243509,243510,243511,243512,243513,243514,243515,243516,243517,243518,243519,243520,243521,243522,243523,243524,243525,243526,243527,243528,243529,243530,243531,243532,243533,243534,
Fossilva,Radiocarbon years BP,,,,--/38/--,--/190/--,--/361/--,--/494/--,--/608/--,--/951/--,--/1109/--,--/1364/--,--/1547/--,--/1638/--,--/1838/--,--/1997/--,--/2102/--,--/2172/--,--/2251/--,--/2347/--,--/2444/--,--/2531/--,--/2575/--,--/2637/--,--/2698/--,--/2768/--,--/2838/--,--/2873/--,--/3005/--,--/3066/--,--/3127/--,--/3274/--,--/3462/--,--/3612/--,--/3762/--,--/4007/--,--/4209/--,--/4304/--,--/4381/--,--/4457/--,--/4543/--,--/4639/--,--/4737/--,--/4817/--,--/4943/--,--/5046/--,--/5171/--,--/5229/--,--/5343/--,--/5434/--,--/5537/--,--/5617/--,--/5743/--,--/5811/--,--/5946/--,--/6055/--,--/6175/--,--/6295/--,--/6361/--,--/6470/--,--/6525/--,--/6645/--,--/6788/--,
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,94/-2/-97,235/150/66,424/321/227,585/454/341,783/568/436,1128/886/663,1299/1044/810,1529/1309/1096,1721/1498/1257,1836/1593/1334,2114/1801/1499,2327/1969/1635,2422/2097/1789,2487/2182/1887,2567/2277/1996,2668/2394/2122,2775/2511/2241,2885/2617/2343,2941/2670/2389,3025/2745/2451,3112/2819/2511,3214/2904/2577,3317/2989/2640,3370/3032/2672,3570/3191/2786,3665/3265/2837,3763/3340/2890,3932/3525/3098,4109/3768/3400,4273/3963/3636,4480/4158/3836,4894/4474/4094,5258/4737/4304,5290/4863/4514,5313/4965/4644,5363/5066/4764,5462/5180/4884,5585/5306/4954,5738/5433/5034,5811/5521/5134,5982/5661/5295,6125/5774/5402,6319/5914/5516,6414/5977/5560,6604/6103/5636,6758/6204/5689,6935/6318/5743,7075/6407/5781,7300/6546/5839,7423/6622/5868,7561/6766/6016,7584/6881/6211,7612/7008/6423,7647/7134/6635,7671/7203/6750,7717/7317/6932,7746/7375/7020,7813/7501/7191,7929/7650/7358,
Abies,TRSH,pollen,NISP,,1,8,6,2,6,7,8,8,3,6,4,14,27,8,3,1,12,7,7,6,,4,8,5,15,2,,5,7,2,1,2,1,10,9,4,3,6,4,3,1,3,9,5,4,1,1,,1,4,4,2,3,4,12,3,6,2,5,
Acer,TRSH,pollen,NISP,,,,,3,,,,,,,1,2,,2,,,,,,,,,2,1,,2,,1,,,1,,1,2,2,,1,3,,1,,1,1,,,,,1,1,,,,,1,,,,,,
Aconitum-type,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
