"name","group","element","units","context","S492388","S492389","S492390","S492391","S492392","S492393","S492394","S492386","S492387","S492395","S492404","S492414","S492424","S492434","S492443","S492453","S492463","S492468","S492478","S492488","S492498","S492504","S492514","S492524","S492534","S492541","S492396","S492397","S492398","S492399","S492400","S492401","S492403","S492402","S492405","S492406","S492407","S492408","S492409","S492411","S492412","S492413","S492415","S492416","S492417","S492418","S492419","S492420","S492422","S492423","S492425","S492426","S492427","S492428","S492429","S492431","S492432","S492433","S492435","S492436","S492437","S492438","S492439","S492441","S492442","S492444","S492445","S492446","S492447","S492449","S492448","S492451","S492452","S492454","S492455","S492456","S492457","S492459","S492458","S492460","S492462","S492464","S492465","S492466","S492467","S492469","S492470","S492471","S492472","S492474","S492475","S492476","S492477","S492479","S492480","S492481","S492482","S492483","S492485","S492486","S492487","S492489","S492490","S492491","S492492","S492493","S492495","S492496","S492497","S492499","S492500","S492501","S492502","S492503","S492505","S492506","S492507","S492509","S492510","S492511","S492512","S492513","S492515","S492516","S492517","S492519","S492520","S492521","S492522","S492523","S492525","S492526","S492527","S492529","S492530","S492531","S492533","S492532","S492535","S492536","S492537","S492538","S492540","S492543","S492542","S492544","S492410","S492421","S492430","S492440","S492450","S492461","S492473","S492484","S492494","S492508","S492518","S492528","S492539","S492548","S492545","S492547","S492549","S492550","S492546"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,84,88,92,96,106,110,72,40,44,114,122,168,230,272,330,374,430,460,514,560,610,638,680,733,784,816,118,60,48,52,80,68,56,64,130,146,138,154,150,142,160,164,176,182,190,206,212,194,220,225,234,238,242,246,250,254,264,268,280,276,284,290,294,310,318,334,338,342,347,350,354,366,370,383,390,378,394,410,406,418,423,434,442,450,454,464,468,472,476,490,494,506,510,518,523,530,534,542,546,550,554,564,568,572,576,580,590,594,606,614,618,623,630,634,642,646,650,654,664,668,672,676,684,690,694,710,714,720,724,728,740,744,748,760,764,780,772,768,798,792,804,788,808,820,812,824,134,216,260,306,360,414,480,538,584,660,706,752,800,844,828,836,840,848,832
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,492388,492389,492390,492391,492392,492393,492394,492386,492387,492395,492404,492414,492424,492434,492443,492453,492463,492468,492478,492488,492498,492504,492514,492524,492534,492541,492396,492397,492398,492399,492400,492401,492403,492402,492405,492406,492407,492408,492409,492411,492412,492413,492415,492416,492417,492418,492419,492420,492422,492423,492425,492426,492427,492428,492429,492431,492432,492433,492435,492436,492437,492438,492439,492441,492442,492444,492445,492446,492447,492449,492448,492451,492452,492454,492455,492456,492457,492459,492458,492460,492462,492464,492465,492466,492467,492469,492470,492471,492472,492474,492475,492476,492477,492479,492480,492481,492482,492483,492485,492486,492487,492489,492490,492491,492492,492493,492495,492496,492497,492499,492500,492501,492502,492503,492505,492506,492507,492509,492510,492511,492512,492513,492515,492516,492517,492519,492520,492521,492522,492523,492525,492526,492527,492529,492530,492531,492533,492532,492535,492536,492537,492538,492540,492543,492542,492544,492410,492421,492430,492440,492450,492461,492473,492484,492494,492508,492518,492528,492539,492548,492545,492547,492549,492550,492546
C14 BP,Radiocarbon years BP,,,,--/120.6897/--,--/155/--,--/275/--,--/395/--,--/695/--,--/815/--,--/103.4483/--,--/57.47126/--,--/63.21839/--,--/935/--,--/1175/--,--/2555/--,--/3285.65/--,--/3727.845/--,--/4393.684/--,--/4932.143/--,--/5718.81/--,--/6140.238/--,--/6949.459/--,--/7732.703/--,--/8152.631/--,--/8319.649/--,--/8570.176/--,--/9064.211/--,--/9485.777/--,--/9689.459/--,--/1055/--,--/86.20689/--,--/68.96552/--,--/74.71265/--,--/114.9425/--,--/97.70115/--,--/80.45977/--,--/91.95403/--,--/1415/--,--/1895/--,--/1655/--,--/2135/--,--/2015/--,--/1775/--,--/2315/--,--/2435/--,--/2717.114/--,--/2780.285/--,--/2864.512/--,--/3032.968/--,--/3096.138/--,--/2906.626/--,--/3180.366/--,--/3233.008/--,--/3327.764/--,--/3369.878/--,--/3411.992/--,--/3454.106/--,--/3496.219/--,--/3538.333/--,--/3643.618/--,--/3685.732/--,--/3812.073/--,--/3769.959/--,--/3854.187/--,--/3917.358/--,--/3959.471/--,--/4151.579/--,--/4248.421/--,--/4442.105/--,--/4490.526/--,--/4538.947/--,--/4599.474/--,--/4635.79/--,--/4684.21/--,--/4829.474/--,--/4877.895/--,--/5058.571/--,--/5156.905/--,--/4988.333/--,--/5213.095/--,--/5437.857/--,--/5381.667/--,--/5550.238/--,--/5620.476/--,--/5775/--,--/5887.381/--,--/5999.762/--,--/6055.952/--,--/6196.429/--,--/6252.619/--,--/6308.81/--,--/6365/--,--/6561.667/--,--/6617.857/--,--/6813.243/--,--/6881.352/--,--/7017.567/--,--/7102.703/--,--/7221.892/--,--/7290/--,--/7426.216/--,--/7494.324/--,--/7562.433/--,--/7630.541/--,--/7800.811/--,--/7868.919/--,--/7925.965/--,--/7949.825/--,--/7973.684/--,--/8033.333/--,--/8057.193/--,--/8128.772/--,--/8176.491/--,--/8200.351/--,--/8230.176/--,--/8271.93/--,--/8295.789/--,--/8343.509/--,--/8367.368/--,--/8391.229/--,--/8415.088/--,--/8474.737/--,--/8498.597/--,--/8522.456/--,--/8546.315/--,--/8594.035/--,--/8648.355/--,--/8687.039/--,--/8841.776/--,--/8880.461/--,--/8938.487/--,--/8977.171/--,--/9015.855/--,--/9131.908/--,--/9170.592/--,--/9209.276/--,--/9325.329/--,--/9354.667/--,--/9459.556/--,--/9407.111/--,--/9380.889/--,--/9577.556/--,--/9538.223/--,--/9616.889/--,--/9512/--,--/9641.892/--,--/9713.243/--,--/9665.676/--,--/9737.027/--,--/1535/--,--/3138.252/--,--/3601.504/--,--/4103.158/--,--/4756.842/--,--/5494.048/--,--/6421.19/--,--/7358.108/--,--/7997.544/--,--/8450.877/--,--/8803.092/--,--/9247.961/--,--/9590.667/--,--/9855.946/--,--/9760.811/--,--/9808.378/--,--/9832.162/--,--/9879.729/--,--/9784.595/--
cal BP,Calibrated radiocarbon years BP,,,,--/127/--,--/168/--,--/309/--,--/450/--,--/800/--,--/939/--,--/97/--,--/14/--,--/25/--,--/1076/--,--/1345/--,--/2694/--,--/3748/--,--/4204/--,--/4970/--,--/5665/--,--/6491/--,--/6939/--,--/7847/--,--/8627/--,--/9123/--,--/9279/--,--/9539/--,--/10136/--,--/10799/--,--/11146/--,--/1211/--,--/64/--,--/33/--,--/43/--,--/117/--,--/87/--,--/53/--,--/76/--,--/1607/--,--/2102/--,--/1860/--,--/2330/--,--/2218/--,--/1982/--,--/2492/--,--/2595/--,--/2879/--,--/3006/--,--/3160/--,--/3428/--,--/3516/--,--/3232/--,--/3624/--,--/3688/--,--/3795/--,--/3841/--,--/3885/--,--/3929/--,--/3971/--,--/4014/--,--/4119/--,--/4161/--,--/4292/--,--/4247/--,--/4337/--,--/4408/--,--/4457/--,--/4671/--,--/4788/--,--/5032/--,--/5095/--,--/5159/--,--/5238/--,--/5286/--,--/5350/--,--/5540/--,--/5603/--,--/5802/--,--/5907/--,--/5726/--,--/5966/--,--/6201/--,--/6142/--,--/6317/--,--/6389/--,--/6550/--,--/6668/--,--/6787/--,--/6847/--,--/7000/--,--/7063/--,--/7126/--,--/7190/--,--/7422/--,--/7490/--,--/7702/--,--/7774/--,--/7919/--,--/8010/--,--/8136/--,--/8206/--,--/8344/--,--/8411/--,--/8475/--,--/8538/--,--/8684/--,--/8737/--,--/8787/--,--/8833/--,--/8877/--,--/8973/--,--/9007/--,--/9097/--,--/9148/--,--/9172/--,--/9200/--,--/9238/--,--/9259/--,--/9300/--,--/9321/--,--/9343/--,--/9365/--,--/9425/--,--/9451/--,--/9478/--,--/9508/--,--/9573/--,--/9628/--,--/9667/--,--/9844/--,--/9892/--,--/9967/--,--/10018/--,--/10070/--,--/10229/--,--/10283/--,--/10337/--,--/10496/--,--/10549/--,--/10750/--,--/10651/--,--/10600/--,--/10959/--,--/10892/--,--/11024/--,--/10846/--,--/11066/--,--/11184/--,--/11106/--,--/11222/--,--/1735/--,--/3571/--,--/4077/--,--/4615/--,--/5446/--,--/6259/--,--/7255/--,--/8276/--,--/8917/--,--/9400/--,--/9797/--,--/10390/--,--/10981/--,--/11403/--,--/11259/--,--/11331/--,--/11367/--,--/11439/--,--/11295/--
Abies,TRSH,pollen,NISP,,,,1,1,3,2,1,3,,1,1,42,12,69,42,101,71,63,44,75,61,117,65,92,14,32,5,,,,,,,,1,66,6,24,22,39,56,32,38,110,25,120,36,32,29,51,10,11,28,38,85,81,53,52,16,48,110,77,61,62,28,20,28,63,6,14,28,15,21,19,56,21,60,87,39,32,56,60,42,86,49,52,98,78,76,49,10,28,104,52,62,113,68,99,84,25,69,40,86,64,72,98,58,82,106,92,70,62,62,58,102,133,80,50,44,103,58,57,111,90,49,56,33,102,77,126,49,48,77,59,28,64,39,42,45,33,30,70,23,17,26,5,5,24,56,66,14,49,90,117,49,57,64,70,43,4,14,17,3,1,18
Abies,TRSH,stomate,NISP,,,,,,,,,,,,,,,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,2,,,1,,,,,1,1,9,,1,22,1,,,4,1,,7,,,,,8,,1,,1,,1,,,1,,12,,,,1,1,,,4,,1,2,,1,2,1,,1,,,,1,1,,,,,,1,,,,,,1,,,,5,,,,,,,,,,,1,,9,,,1,,,,,,,
Acer,TRSH,pollen,NISP,,,,,1,2,1,,,,2,,,,,,,,,,,3,1,3,2,4,,,,1,,,,,1,,2,,,,,1,,,,,,1,,,1,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,6,,1,,,,1,,2,1,,1,,,,,,2,1,,1,,1,2,,,,,,4,,,,1,,,,,,,1,2,2,1,,,,,2,1,2,1,1,2,1,3,1,3,,,2,,,,,,,,,,,,,2,,,2,,2,2,,,,1,,
