"name","group","element","units","context","S229999","S230000","S230001","S230002","S230003","S230004","S230005","S230006","S230007","S230008","S230009","S230010","S230011","S230012","S230013","S230014","S230015","S230016","S230017","S230018","S230019","S230020","S230021","S230022","S230023","S230024","S230025","S230026","S230027","S230028","S230029","S230030","S230031","S230032","S230033"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,80,120,200,300,330,344,356,370,382,396,422,430,438,450,454,468,480,502,516,530,540,550,552,554,560,566,580,582,592,620,630,660,850,870
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,229999,230000,230001,230002,230003,230004,230005,230006,230007,230008,230009,230010,230011,230012,230013,230014,230015,230016,230017,230018,230019,230020,230021,230022,230023,230024,230025,230026,230027,230028,230029,230030,230031,230032,230033
C14 BP,Radiocarbon years BP,,,,--/--/--,--/575/--,--/863/--,--/1438/--,--/2157/--,--/2372/--,--/2473/--,--/2559/--,--/2660/--,--/2746/--,--/2847/--,--/3038/--,--/3162/--,--/3287/--,--/3474/--,--/3536/--,--/3754/--,--/3941/--,--/4269/--,--/4354/--,--/4438/--,--/4499/--,--/4559/--,--/4572/--,--/4584/--,--/4620/--,--/4656/--,--/4741/--,--/4754/--,--/4832/--,--/5051/--,--/5129/--,--/5380/--,--/6980/--,--/7078/--
CAL BP,Calibrated radiocarbon years BP,,,,--/-52/--,--/570/--,--/881/--,--/1503/--,--/2280/--,--/2513/--,--/2622/--,--/2715/--,--/2824/--,--/2917/--,--/3026/--,--/3234/--,--/3394/--,--/3553/--,--/3792/--,--/3872/--,--/4150/--,--/4389/--,--/4810/--,--/4930/--,--/5049/--,--/5135/--,--/5220/--,--/5237/--,--/5254/--,--/5306/--,--/5357/--,--/5476/--,--/5493/--,--/5577/--,--/5811/--,--/5894/--,--/6162/--,--/7809/--,--/7899/--
Abies,TRSH,pollen,NISP,,1,,,,,,,,2,3,,,,,,2,,,,,1,1,1,,,,,,1,,,,,1,1
Acer,TRSH,pollen,NISP,,,1,,,,2,1,1,,,,1,1,1,,,,,,,1,,,,,2,,,1,,,,,,
Achillea-type,UPHE,pollen,NISP,,5,4,2,2,5,1,1,3,1,2,5,2,,5,1,,12,3,3,1,3,3,1,3,1,1,,3,3,3,2,3,1,,
