"name","group","element","units","context","S387814","S387815","S387816","S387817","S387818","S387819","S387820","S387821","S387822","S387823","S387824","S387825","S387826","S387827","S387828","S387829","S387830","S387831","S387832","S387833","S387834","S387835","S387836","S387837","S387838","S387839","S387840","S387841","S387842","S387843","S387844","S387845","S387846","S387847","S387848","S387849","S387850","S387851","S387852","S387853","S387854","S387855","S387856","S387857","S387858","S387859","S387860","S387861","S387862","S387863","S387864","S387865","S387866","S387867","S387868","S387869","S387870","S387871","S387872","S387873","S387874","S387875","S387876","S387877","S387878","S387879","S387880","S387881","S387882","S387883","S387884","S387885","S387886","S387887","S387888","S387889","S387890","S387891","S387892","S387893","S387894","S387895","S387896","S387897"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,40,45,55,65,70,75,80,85,90,95,97,100,105,110,115,120,130,135,140,145,150,155,165,175,180,190,195,200,205,210,215,220,230,235,240,245,250,255,260,265,270,280,290,295,300,302,305,310,320,325,330,335,340,345,350,355,360,365,370,375,380,390,395,400,405,410,415,417,420,430,435,440,445,450,455,460,465,472,475,480,485,490,495,500
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,387814,387815,387816,387817,387818,387819,387820,387821,387822,387823,387824,387825,387826,387827,387828,387829,387830,387831,387832,387833,387834,387835,387836,387837,387838,387839,387840,387841,387842,387843,387844,387845,387846,387847,387848,387849,387850,387851,387852,387853,387854,387855,387856,387857,387858,387859,387860,387861,387862,387863,387864,387865,387866,387867,387868,387869,387870,387871,387872,387873,387874,387875,387876,387877,387878,387879,387880,387881,387882,387883,387884,387885,387886,387887,387888,387889,387890,387891,387892,387893,387894,387895,387896,387897
C14 BP,Radiocarbon years BP,,,,--/977/--,--/1099/--,--/1344/--,--/1588/--,--/1710/--,--/1905/--,--/2099/--,--/2294/--,--/2488/--,--/2683/--,--/2761/--,--/2801/--,--/2843/--,--/2885/--,--/2926/--,--/2968/--,--/3052/--,--/3094/--,--/3135/--,--/3177/--,--/3219/--,--/3278/--,--/3432/--,--/3586/--,--/3664/--,--/3818/--,--/3894/--,--/3972/--,--/4037/--,--/4091/--,--/4144/--,--/4198/--,--/4305/--,--/4359/--,--/4413/--,--/4466/--,--/4520/--,--/4847/--,--/5174/--,--/5501/--,--/5828/--,--/6481/--,--/7135/--,--/7462/--,--/7789/--,--/7920/--,--/8116/--,--/8443/--,--/9097/--,--/9286/--,--/9339/--,--/9392/--,--/9444/--,--/9497/--,--/9549/--,--/9602/--,--/9655/--,--/9707/--,--/9760/--,--/10040/--,--/10320/--,--/10880/--,--/11160/--,--/11440/--,--/11720/--,--/12000/--,--/12280/--,--/12392/--,--/12560/--,--/13120/--,--/13400/--,--/13680/--,--/13960/--,--/14240/--,--/14520/--,--/14800/--,--/15080/--,--/15472/--,--/15640/--,--/15920/--,--/16200/--,--/16480/--,--/16760/--,--/17040/--
CAL BP,Calibrated radiocarbon years BP,,,,--/934/--,--/1056/--,--/1301/--,--/1546/--,--/1668/--,--/1896/--,--/2123/--,--/2350/--,--/2578/--,--/2805/--,--/2896/--,--/2944/--,--/2995/--,--/3047/--,--/3098/--,--/3149/--,--/3251/--,--/3302/--,--/3353/--,--/3404/--,--/3455/--,--/3531/--,--/3736/--,--/3940/--,--/4043/--,--/4247/--,--/4349/--,--/4451/--,--/4537/--,--/4607/--,--/4677/--,--/4747/--,--/4886/--,--/4956/--,--/5026/--,--/5095/--,--/5165/--,--/5527/--,--/5890/--,--/6252/--,--/6614/--,--/7339/--,--/8064/--,--/8426/--,--/8788/--,--/8933/--,--/9150/--,--/9513/--,--/10237/--,--/10477/--,--/10594/--,--/10711/--,--/10828/--,--/10945/--,--/11062/--,--/11179/--,--/11296/--,--/11413/--,--/11530/--,--/11896/--,--/12261/--,--/12992/--,--/13358/--,--/13724/--,--/14089/--,--/14455/--,--/14820/--,--/14967/--,--/15186/--,--/15917/--,--/16283/--,--/16648/--,--/17014/--,--/17379/--,--/17745/--,--/18111/--,--/18476/--,--/18988/--,--/19207/--,--/19573/--,--/19939/--,--/20304/--,--/20670/--,--/21035/--
Abies,TRSH,pollen,NISP,,33,19,16,5,8,10,7,,9,18,6,2,6,5,4,4,2,7,1,1,2,2,4,,6,2,5,1,10,2,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,12,10,29,5,15,6,12,15,7,,11,7,7,9,12,1,19,16,7,17,9,9,18,5,5,12,10,7,6,11,5,4,,10,3,6,6,7,8,,27,5,8,7,22,3,15,15,35,27,32,14,,9,8,20,17,17,4,13,2,13,,3,1,3,3,3,1,,,2,,,2,,3,,,,,,2,3
