"name","group","element","units","context","S349158","S349159","S349160","S349161","S349162","S349163","S349164","S349165","S349166","S349167","S349168","S349169","S349170","S349171","S349172","S349173","S349174","S349175","S349176","S349177","S349178","S349179","S349180","S349181","S349182","S349183","S349184","S349185","S349186","S349187","S349188","S349189","S349190","S349191","S349192","S349193","S349194","S349195","S349196","S349197","S349198","S349199","S349200","S349201","S349202","S349203","S349204","S349205","S349206","S349207","S349208","S349209","S349210","S349211","S349212","S349213","S349214","S349215","S349216","S349217","S349218","S349219","S349220","S349221","S349222","S349223","S349224","S349225","S349226","S349227","S349228","S349229","S349230"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,8,16,24,32,40,48,56,64,72,80,88,96,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,300,312,316,320,324,328,332,336,340,344,348,352,356,360,364,368,372,376,380,384,388,392,396,400,404,408,412,420,424,428,432,436,440,448,456,464,472
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,349158,349159,349160,349161,349162,349163,349164,349165,349166,349167,349168,349169,349170,349171,349172,349173,349174,349175,349176,349177,349178,349179,349180,349181,349182,349183,349184,349185,349186,349187,349188,349189,349190,349191,349192,349193,349194,349195,349196,349197,349198,349199,349200,349201,349202,349203,349204,349205,349206,349207,349208,349209,349210,349211,349212,349213,349214,349215,349216,349217,349218,349219,349220,349221,349222,349223,349224,349225,349226,349227,349228,349229,349230
Colombaroli et al. (2007),Calendar years BP,,,,--/17.90476/--,--/89.80952/--,--/161.7143/--,--/233.619/--,--/305.5238/--,--/377.4286/--,--/449.3333/--,--/521.2381/--,--/593.1429/--,--/665.0476/--,--/736.9524/--,--/808.8571/--,--/952.6667/--,--/1024.571/--,--/1096.476/--,--/1168.381/--,--/1240.286/--,--/1312.19/--,--/1384.095/--,--/1456/--,--/1527.905/--,--/1599.81/--,--/1671.714/--,--/1743.619/--,--/1815.524/--,--/1887.429/--,--/1959.333/--,--/2031.238/--,--/2103.143/--,--/2175.048/--,--/2333.609/--,--/2578.826/--,--/2824.043/--,--/3069.261/--,--/3314.478/--,--/3559.696/--,--/3682.304/--,--/4050.13/--,--/4172.739/--,--/4295.348/--,--/4417.957/--,--/4540.565/--,--/4663.174/--,--/4785.783/--,--/4908.391/--,--/5031/--,--/5101.25/--,--/5171.5/--,--/5241.75/--,--/5312/--,--/5382.25/--,--/5452.5/--,--/5522.75/--,--/5593/--,--/5647.783/--,--/5702.565/--,--/5757.348/--,--/5812.13/--,--/5866.913/--,--/5917.579/--,--/5955.895/--,--/5994.21/--,--/6032.526/--,--/6121.8/--,--/6185.4/--,--/6249/--,--/6311.968/--,--/6374.936/--,--/6437.903/--,--/6563.839/--,--/6689.774/--,--/6815.709/--,--/6941.645/--
Abies,TRSH,pollen,NISP,,,,1,1,5,7,4,2,,1,,,2,1,2,,2,5,1,6,5,8,3,3,2,4,5,5,2,3,6,2,7,12,7,12,11,14,13,7,19,28,19,10,7,10,9,8,4,6,18,14,12,9,31,25,22,17,12,23,41,24,79,43,80,80,81,72,55,32,11,2,3
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,1,1,,2,,2,,,,3,,,,,,,,,1,,1,1,2,,,,
Achillea-type,UPHE,pollen,NISP,,,,,1,,2,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,1,,,
Alisma-type,AQVP,pollen,NISP,,1,,2,,2,1,,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,37,35,35,17,44,52,82,63,72,67,172,131,117,78,49,52,64,46,64,62,76,78,114,91,135,189,117,122,146,160,144,111,65,62,47,43,44,61,50,59,64,63,67,86,94,92,100,82,155,128,86,53,37,52,71,97,102,54,36,69,76,68,47,65,30,69,62,56,60,18,31,28,24
