name,group,element,units,context,S389419,S389420,S389421,S389422,S389423,S389424,S389425,S389426,S389427,S389428,S389429,S389430,S389431,S389432,S389433,S389434,S389435,S389436,S389437,S389438,S389439,S389440,S389441,S389442,S389443,S389444,S389445,S389446,S389447,S389448,S389449,S389450,S389451,S389452,S389453,S389454,S389455,S389456,S389457,S389458,S389459,S389460,S389461,S389462,S389463,S389464,S389465,S389466,S389467,S389468,S389469,S389470,S389471,S389472,S389473,S389474,S389475,S389476,S389477,S389478,S389479,S389480,S389481,S389482,S389483,S389484,S389485
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1160,1166,1174,1182,1190,1198,1206,1214,1222,1230,1238,1246,1254,1262,1270,1278,1286,1294,1302,1310,1318,1326,1334,1342,1350,1358,1366,1374,1382,1390,1398,1406,1414,1422,1430,1438,1446,1454,1462,1470,1478,1486,1494,1504,1510,1518,1526,1534,1542,1546,1550,1558,1562,1566,1574,1582,1590,1598,1606,1614,1622,1630,1634,1638,1642,1646,1656
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,389419,389420,389421,389422,389423,389424,389425,389426,389427,389428,389429,389430,389431,389432,389433,389434,389435,389436,389437,389438,389439,389440,389441,389442,389443,389444,389445,389446,389447,389448,389449,389450,389451,389452,389453,389454,389455,389456,389457,389458,389459,389460,389461,389462,389463,389464,389465,389466,389467,389468,389469,389470,389471,389472,389473,389474,389475,389476,389477,389478,389479,389480,389481,389482,389483,389484,389485
C14 BP,Radiocarbon years BP,,,,--/--/--,--/160/--,--/374/--,--/588/--,--/802/--,--/1016/--,--/1230/--,--/1444/--,--/1658/--,--/1872/--,--/2086/--,--/2299/--,--/2513/--,--/2683/--,--/2811/--,--/2940/--,--/3069/--,--/3197/--,--/3326/--,--/3455/--,--/3583/--,--/3712/--,--/3841/--,--/3970/--,--/4099/--,--/4253/--,--/4407/--,--/4560/--,--/4714/--,--/4868/--,--/5022/--,--/5192/--,--/5376/--,--/5560/--,--/5744/--,--/5928/--,--/6113/--,--/6293/--,--/6470/--,--/6646/--,--/6823/--,--/7000/--,--/7177/--,--/7398/--,--/7531/--,--/7707/--,--/7884/--,--/8061/--,--/8196/--,--/8246/--,--/8295/--,--/8393/--,--/8442/--,--/8491/--,--/8589/--,--/8682/--,--/8763/--,--/8843/--,--/8924/--,--/9004/--,--/9085/--,--/9271/--,--/9432/--,--/9593/--,--/9754/--,--/9915/--,--/10318/--
CAL BP,Calibrated radiocarbon years BP,,,,--/-49/--,--/120/--,--/345/--,--/570/--,--/795/--,--/1020/--,--/1245/--,--/1470/--,--/1695/--,--/1920/--,--/2145/--,--/2369/--,--/2594/--,--/2789/--,--/2957/--,--/3125/--,--/3293/--,--/3460/--,--/3628/--,--/3796/--,--/3964/--,--/4132/--,--/4299/--,--/4467/--,--/4635/--,--/4819/--,--/5002/--,--/5185/--,--/5369/--,--/5552/--,--/5736/--,--/5934/--,--/6146/--,--/6359/--,--/6571/--,--/6783/--,--/6995/--,--/7192/--,--/7376/--,--/7559/--,--/7743/--,--/7926/--,--/8110/--,--/8339/--,--/8477/--,--/8660/--,--/8844/--,--/9027/--,--/9170/--,--/9223/--,--/9276/--,--/9383/--,--/9436/--,--/9489/--,--/9595/--,--/9703/--,--/9815/--,--/9927/--,--/10039/--,--/10151/--,--/10263/--,--/10518/--,--/10738/--,--/10776/--,--/10996/--,--/11216/--,--/11765/--
Cal yr BP,Radiocarbon years BP,,,,--/-46/--,--/128/--,--/360/--,--/592/--,--/822/--,--/1050/--,--/1276/--,--/1498/--,--/1718/--,--/1933/--,--/2144/--,--/2350/--,--/2550/--,--/2745/--,--/2933/--,--/3117/--,--/3296/--,--/3472/--,--/3645/--,--/3816/--,--/3987/--,--/4156/--,--/4327/--,--/4498/--,--/4671/--,--/4848/--,--/5027/--,--/5209/--,--/5394/--,--/5583/--,--/5775/--,--/5972/--,--/6171/--,--/6372/--,--/6575/--,--/6778/--,--/6979/--,--/7179/--,--/7375/--,--/7569/--,--/7758/--,--/7944/--,--/8124/--,--/8343/--,--/8470/--,--/8634/--,--/8792/--,--/8942/--,--/9086/--,--/9155/--,--/9222/--,--/9354/--,--/9419/--,--/9483/--,--/9610/--,--/9737/--,--/9866/--,--/9997/--,--/10131/--,--/10269/--,--/10410/--,--/10556/--,--/10630/--,--/10704/--,--/10779/--,--/10854/--,--/11040/--
Abies,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea-type,UPHE,pollen,NISP,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Alnus,TRSH,pollen,NISP,,59,48,45,35,43,66,87,36,60,71,71,63,72,77,78,78,97,83,73,125,76,93,86,116,110,83,80,100,105,126,81,88,120,92,119,111,118,100,94,89,75,78,92,117,123,111,140,104,11,2,5,2,4,8,,,,,4,,,,,,1,,
Amaranthaceae,UPHE,pollen,NISP,,2,1,,,1,,,,1,,1,,,,1,,,,2,1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,1,1,,2,3,,5
Angelica-type,UPHE,pollen,NISP,,,,,,1,1,,1,,1,,,,,,,,,,,1,1,,,,2,,,,,,,,,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,1
Apiaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Arctostaphylos,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
