name,group,element,units,context,S414515,S414516,S414517,S414518,S414519,S414520,S414521,S414522,S414523,S414524,S414525,S414526,S414527,S414528,S414529,S414530,S414531,S414532,S414533,S414534,S414535,S414536,S414537,S414538,S414539,S414540,S414541,S414542,S414543,S414544,S414545,S414546,S414547,S414548,S414549,S414550,S414551,S414552,S414553,S414554,S414555,S414556,S414557,S414558,S414559,S414560,S414561,S414562,S414563,S414564,S414565,S414566,S414567,S414568,S414569,S414570,S414571,S414572,S414573,S414574,S414575,S414576,S414577,S414578,S414579,S414580,S414581,S414582,S414583,S414584,S414585,S414586,S414587,S414588,S414589,S414590,S414591,S414592,S414593,S414594
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0.5,12.5,24.5,36.5,48.5,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,251.5,262.5,272.5,282.5,292.5,302.5,312.5,322.5,332.5,342.5,352.5,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710.5,720,730,740,750,760,770,785,795,805
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,414515,414516,414517,414518,414519,414520,414521,414522,414523,414524,414525,414526,414527,414528,414529,414530,414531,414532,414533,414534,414535,414536,414537,414538,414539,414540,414541,414542,414543,414544,414545,414546,414547,414548,414549,414550,414551,414552,414553,414554,414555,414556,414557,414558,414559,414560,414561,414562,414563,414564,414565,414566,414567,414568,414569,414570,414571,414572,414573,414574,414575,414576,414577,414578,414579,414580,414581,414582,414583,414584,414585,414586,414587,414588,414589,414590,414591,414592,414593,414594
C14 BP,Radiocarbon years BP,,,,--/17/--,--/422/--,--/828/--,--/1233/--,--/1566/--,--/1718/--,--/1850/--,--/1982/--,--/2114/--,--/2213/--,--/2279/--,--/2345/--,--/2411/--,--/2477/--,--/2620/--,--/2840/--,--/3060/--,--/3280/--,--/3500/--,--/3719/--,--/3937/--,--/4155/--,--/4373/--,--/4591/--,--/4902/--,--/5242/--,--/5552/--,--/5862/--,--/6172/--,--/6458/--,--/6736/--,--/7014/--,--/7292/--,--/7570/--,--/7718/--,--/7796/--,--/7900/--,--/8004/--,--/8108/--,--/8212/--,--/8316/--,--/8419/--,--/8523/--,--/8627/--,--/8731/--,--/8835/--,--/8939/--,--/9043/--,--/9147/--,--/9251/--,--/9355/--,--/9459/--,--/9563/--,--/9667/--,--/9771/--,--/9874/--,--/9978/--,--/10082/--,--/10186/--,--/10290/--,--/10394/--,--/10498/--,--/10602/--,--/10706/--,--/10810/--,--/10914/--,--/11018/--,--/11122/--,--/11226/--,--/11330/--,--/11439/--,--/11537/--,--/11641/--,--/11745/--,--/11849/--,--/11953/--,--/12057/--,--/12213/--,--/12317/--,--/12421/--
CAL BP,Calibrated radiocarbon years BP,,,,--/-76/--,--/335/--,--/746/--,--/1157/--,--/1501/--,--/1674/--,--/1825/--,--/1976/--,--/2127/--,--/2241/--,--/2317/--,--/2393/--,--/2469/--,--/2545/--,--/2718/--,--/2988/--,--/3258/--,--/3527/--,--/3797/--,--/4080/--,--/4378/--,--/4675/--,--/4972/--,--/5270/--,--/5647/--,--/6033/--,--/6384/--,--/6735/--,--/7086/--,--/7366/--,--/7621/--,--/7877/--,--/8132/--,--/8388/--,--/8551/--,--/8650/--,--/8782/--,--/8915/--,--/9047/--,--/9179/--,--/9312/--,--/9444/--,--/9576/--,--/9709/--,--/9841/--,--/9973/--,--/10106/--,--/10238/--,--/10370/--,--/10503/--,--/10635/--,--/10767/--,--/10900/--,--/11032/--,--/11164/--,--/11297/--,--/11429/--,--/11561/--,--/11694/--,--/11826/--,--/11958/--,--/12091/--,--/12223/--,--/12355/--,--/12488/--,--/12620/--,--/12752/--,--/12885/--,--/13017/--,--/13149/--,--/13288/--,--/13414/--,--/13546/--,--/13679/--,--/13811/--,--/13943/--,--/14075/--,--/14274/--,--/14406/--,--/14539/--
Abies,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
Alisma,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Alnus glutinosa,TRSH,pollen,NISP,,4,7,7,7,16,11,11,8,15,24,22,27,18,14,10,1,7,2,4,1,23,31,3,14,44,42,59,37,29,33,32,29,3,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
