"name","group","element","units","context","S474041","S474045","S474048","S474051","S474055","S474063","S474067","S474074","S474082","S474093","S474104","S474114","S474125","S474134","S474146","S474156","S474043","S474044","S474047","S474050","S474053","S474057","S474064","S474069","S474075","S474084","S474094","S474103","S474113","S474123","S474133","S474143","S474153","S474042","S474046","S474049","S474052","S474056","S474066","S474070","S474077","S474087","S474097","S474105","S474117","S474124","S474135","S474144","S474155","S474054","S474068","S474073","S474083","S474095","S474106","S474118","S474129","S474137","S474147","S474058","S474076","S474086","S474096","S474107","S474122","S474132","S474142","S474150","S474062","S474071","S474081","S474088","S474099","S474109","S474119","S474127","S474140","S474152","S474059","S474072","S474085","S474098","S474108","S474116","S474128","S474139","S474151","S474060","S474080","S474089","S474092","S474102","S474112","S474121","S474131","S474141","S474149","S474061","S474078","S474091","S474101","S474111","S474120","S474130","S474138","S474148","S474065","S474079","S474090","S474100","S474110","S474115","S474126","S474136","S474145","S474154"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,144,148,152,159,164,176,182,216,236,274,342,377,418,484,534,112,145,147,151,156,162,168,178,184,219,240,278,340,373,414,471,522,108,146,150,153,160,172,179,186,221,256,282,356,380,422,478,529,120,177,183,218,244,296,352,397,430,496,124,185,220,248,286,348,410,464,519,116,180,212,222,259,320,360,392,445,515,136,181,217,252,307,363,388,453,511,128,197,223,232,270,338,370,405,460,508,132,188,228,266,336,367,401,456,501,140,187,224,262,330,344,384,426,490,526
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,474041,474045,474048,474051,474055,474063,474067,474074,474082,474093,474104,474114,474125,474134,474146,474156,474043,474044,474047,474050,474053,474057,474064,474069,474075,474084,474094,474103,474113,474123,474133,474143,474153,474042,474046,474049,474052,474056,474066,474070,474077,474087,474097,474105,474117,474124,474135,474144,474155,474054,474068,474073,474083,474095,474106,474118,474129,474137,474147,474058,474076,474086,474096,474107,474122,474132,474142,474150,474062,474071,474081,474088,474099,474109,474119,474127,474140,474152,474059,474072,474085,474098,474108,474116,474128,474139,474151,474060,474080,474089,474092,474102,474112,474121,474131,474141,474149,474061,474078,474091,474101,474111,474120,474130,474138,474148,474065,474079,474090,474100,474110,474115,474126,474136,474145,474154
Sample age (C14 BP),Radiocarbon years BP,,,,--/--/--,--/1716.25/--,--/2006.25/--,--/2266.61/--,--/2359.153/--,--/2425.254/--,--/2583.898/--,--/2664.568/--,--/3159.876/--,--/3389.728/--,--/3782.12/--,--/4484.293/--,--/4845.707/--,--/5542.631/--,--/7445/--,--/8695/--,--/1286.25/--,--/1788.75/--,--/1933.75/--,--/2223.75/--,--/2319.491/--,--/2398.813/--,--/2478.135/--,--/2610.339/--,--/2693.704/--,--/3203.58/--,--/3431.033/--,--/3823.424/--,--/4463.641/--,--/4804.402/--,--/5413.79/--,--/7120/--,--/8395/--,--/1236.25/--,--/1861.25/--,--/2151.25/--,--/2279.831/--,--/2372.373/--,--/2531.017/--,--/2623.559/--,--/2722.84/--,--/3232.716/--,--/3596.25/--,--/3864.728/--,--/4628.859/--,--/4876.685/--,--/5671.474/--,--/7295/--,--/8570/--,--/1386.25/--,--/2597.119/--,--/2679.136/--,--/3189.012/--,--/3472.337/--,--/4009.293/--,--/4587.554/--,--/5052.228/--,--/5929.158/--,--/7745/--,--/1436.25/--,--/2708.271/--,--/3218.148/--,--/3513.641/--,--/3906.033/--,--/4546.25/--,--/5284.947/--,--/6945/--,--/8320/--,--/1336.25/--,--/2636.78/--,--/3101.605/--,--/3245.163/--,--/3627.228/--,--/4257.12/--,--/4670.163/--,--/5000.598/--,--/6412.316/--,--/8220/--,--/1586.25/--,--/2650/--,--/3174.444/--,--/3554.946/--,--/4122.88/--,--/4701.141/--,--/4959.293/--,--/6670/--,--/8120/--,--/1486.25/--,--/2883.086/--,--/3255.489/--,--/3348.424/--,--/3740.815/--,--/4442.989/--,--/4773.424/--,--/5134.837/--,--/6845/--,--/8045/--,--/1536.25/--,--/2751.975/--,--/3307.12/--,--/3699.511/--,--/4422.337/--,--/4742.446/--,--/5093.533/--,--/6745/--,--/7870/--,--/1636.25/--,--/2737.407/--,--/3265.815/--,--/3658.207/--,--/4360.38/--,--/4504.946/--,--/4917.989/--,--/5800.316/--,--/7595/--,--/8495/--
Sample age (cal BP),Calendar years BP,,,,--/-49/--,--/1761/--,--/1937.8/--,--/2118/--,--/2311.5/--,--/2414.8/--,--/2655.6/--,--/2773.6/--,--/3353.9/--,--/3661.3/--,--/4204.9/--,--/5186/--,--/5693.6/--,--/6424.9/--,--/8306.8/--,--/9616.6/--,--/1252.8/--,--/1777.9/--,--/1884.3/--,--/2081.3/--,--/2248.5/--,--/2373.9/--,--/2495.1/--,--/2695.6/--,--/2811.5/--,--/3404.7/--,--/3718.3/--,--/4261.5/--,--/5156.4/--,--/5635.5/--,--/6303.5/--,--/7964.8/--,--/9299.3/--,--/1195.8/--,--/1830.6/--,--/2044.8/--,--/2154.7/--,--/2332.2/--,--/2576.2/--,--/2715.7/--,--/2846.7/--,--/3438.3/--,--/3948.3/--,--/4318.6/--,--/5387.5/--,--/5737.2/--,--/6545.3/--,--/8149.8/--,--/9485.1/--,--/1378/--,--/2675.6/--,--/2792.6/--,--/3387.5/--,--/3776.4/--,--/4518.7/--,--/5331.6/--,--/5983.6/--,--/6791.4/--,--/8621.6/--,--/1439.6/--,--/2830/--,--/3422/--,--/3832.7/--,--/4375.3/--,--/5273.5/--,--/6180.4/--,--/7782.9/--,--/9221.1/--,--/1315.3/--,--/2736/--,--/3286.7/--,--/3454.8/--,--/3992.1/--,--/4867.2/--,--/5446.9/--,--/5911.9/--,--/7247.5/--,--/9117.4/--,--/1630.3/--,--/2754.8/--,--/3370.2/--,--/3890.1/--,--/4677.8/--,--/5490.4/--,--/5853.9/--,--/7486.9/--,--/9013.4/--,--/1502.4/--,--/3032.7/--,--/3471.3/--,--/3603.5/--,--/4148/--,--/5127.4/--,--/5592.4/--,--/6099.7/--,--/7680.9/--,--/8934.9/--,--/1565.4/--,--/2880.4/--,--/3546.3/--,--/4091.8/--,--/5098.7/--,--/5548.6/--,--/6041.3/--,--/7572.2/--,--/8751.6/--,--/1693.3/--,--/2863.4/--,--/3487.7/--,--/4034.9/--,--/5011.4/--,--/5215.5/--,--/5795.3/--,--/6666.7/--,--/8466/--,--/9404.1/--
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,2,1,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Alisma,AQVP,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,2,,
Alnus,TRSH,pollen,NISP,,,,,,,,,,,3,6,,1,3,,,,,1,,,,,,1,,,3,13,4,,,,,,,,,,,,2,2,6,5,3,1,,,,,,,1,7,12,2,,,,,1,2,4,1,,,,,,,2,4,4,1,3,,,,,1,1,4,1,1,,,1,,,1,10,2,4,1,,,,,,4,2,5,,,,1,1,,1,16,,9,,,
