name,group,element,units,context,S418478,S418479,S418480,S418481,S418482,S418483,S418484,S418485,S418486,S418487,S418488,S418489,S418490,S418491,S418492,S418493,S418494,S418495,S418496,S418497,S418498,S418499,S418500,S418501,S418502,S418503,S418504,S418505,S418506,S418507,S418508,S418509,S418510,S418511,S418512,S418513,S418514,S418515,S418516,S418517,S418518,S418519,S418520,S418521,S418522,S418523,S418524,S418525,S418526,S418527,S418528,S418529
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,2.5,12.5,22.5,32.5,42.5,52.5,62.5,77.5,82.5,92.5,102.5,107.5,122.5,132.5,142.5,152.5,162.5,172.5,182.5,192.5,202.5,212.5,222.5,232.5,242.5,252.5,262.5,272.5,282.5,292.5,302.5,312.5,322.5,332.5,342.5,352,362,372,382,392,402,412,422,432,442,452,462,472,482,492,502,512.5
Thickness,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,418478,418479,418480,418481,418482,418483,418484,418485,418486,418487,418488,418489,418490,418491,418492,418493,418494,418495,418496,418497,418498,418499,418500,418501,418502,418503,418504,418505,418506,418507,418508,418509,418510,418511,418512,418513,418514,418515,418516,418517,418518,418519,418520,418521,418522,418523,418524,418525,418526,418527,418528,418529
V.I. Khomutova preferred,Radiocarbon years BP,,,,--/117/--,--/585/--,--/1053/--,--/1644/--,--/2275/--,--/2906/--,--/3538/--,--/4485/--,--/4800/--,--/5410/--,--/5601/--,--/5696/--,--/5983/--,--/6175/--,--/6366/--,--/6557/--,--/6748/--,--/6940/--,--/7131/--,--/7322/--,--/7514/--,--/7705/--,--/7896/--,--/8087/--,--/8269/--,--/8394/--,--/8520/--,--/8645/--,--/8771/--,--/8896/--,--/9025/--,--/9171/--,--/9283/--,--/9333/--,--/9383/--,--/9431/--,--/9481/--,--/9531/--,--/9582/--,--/9632/--,--/9682/--,--/9732/--,--/9783/--,--/9833/--,--/9883/--,--/9933/--,--/9984/--,--/10034/--,--/10084/--,--/10134/--,--/10185/--,--/10237/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,565/63/-412,822/330/-133,1078/598/143,1337/865/417,1598/1132/689,1859/1399/958,2121/1666/1224,2513/2067/1619,2646/2201/1751,2912/2468/2014,3183/2735/2278,3320/2869/2411,3735/3269/2808,4014/3537/3071,4293/3804/3333,4572/4071/3593,4852/4338/3852,5130/4605/4108,5409/4872/4363,5692/5140/4619,5975/5407/4873,6258/5674/5125,6542/5941/5377,6826/6208/5626,7108/6476/5873,7390/6743/6118,7674/7010/6365,7957/7277/6609,8240/7544/6853,8525/7811/7099,8811/8079/7344,9098/8346/7589,9387/8613/7835,9676/8880/8081,9966/9147/8326,10243/9401/8560,10535/9668/8806,10827/9936/9052,11120/10203/9298,11413/10470/9543,11707/10737/9789,11999/11004/10033,12292/11271/10277,12585/11539/10521,12878/11806/10765,13170/12073/11007,13463/12340/11251,13755/12607/11493,14046/12875/11734,14339/13142/11977,14631/13409/12218,14937/13689/12471
Alnus,TRSH,pollen,NISP,,1,4,11,3,3,1,,5,13,7,6,4,8,4,3,,,7,4,7,11,26,6,17,23,15,26,25,13,42,29,41,28,39,8,41,27,38,33,37,,,1,,1,1,5,5,2,4,,
Amaranthaceae,UPHE,pollen,NISP,,1,,,,,1,,1,1,,,,,,,,,,1,1,1,,,1,1,,,,1,,2,,,1,,1,,,1,2,,,,,,1,2,10,1,,,1
Artemisia,UPHE,pollen,NISP,,,1,,,1,,,,1,1,,,,,1,,,,1,1,1,1,,,,,2,,,,1,2,1,2,1,1,1,,1,2,,1,3,,5,5,2,22,5,6,1,1
Aster,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Betula nana,TRSH,pollen,NISP,,,,,,,,1,2,1,1,1,,1,1,1,1,,,,,,,,,,,,,,2,2,2,1,1,,2,2,5,1,3,3,2,5,,7,29,12,,10,18,1,2
