"name","group","element","units","context","S650680","S650673","S650685","S650689","S650696","S650701","S650703","S650715","S650720","S650724","S650732","S650735","S650741","S650746","S650754","S650749","S650759","S650750","S650756","S650672","S650671","S650681","S650682","S650692","S650693","S650702","S650708","S650713","S650719","S650723","S650730","S650733","S650739","S650740","S650674","S650687","S650700","S650710","S650711","S650721","S650728","S650736","S650753","S650675","S650686","S650698","S650705","S650712","S650722","S650729","S650737","S650747","S650757","S650677","S650690","S650699","S650707","S650718","S650734","S650744","S650752","S650676","S650684","S650694","S650709","S650717","S650727","S650742","S650745","S650755","S650678","S650688","S650695","S650704","S650714","S650725","S650731","S650738","S650751","S650679","S650683","S650691","S650697","S650706","S650716","S650726","S650743","S650748","S650758"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,90,10,150,190,270,320,350,450,475,510,590,610,635,675,740,690,800,695,760,5,,100,120,210,230,330,390,430,470,486,560,600,625,640,50,200,310,405,410,480,540,615,720,20,160,290,370,420,482,550,620,680,780,60,170,300,380,465,605,665,710,30,140,250,400,460,530,660,670,750,70,180,260,340,440,500,570,630,700,80,130,220,280,360,455,520,650,685,790
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,650680,650673,650685,650689,650696,650701,650703,650715,650720,650724,650732,650735,650741,650746,650754,650749,650759,650750,650756,650672,650671,650681,650682,650692,650693,650702,650708,650713,650719,650723,650730,650733,650739,650740,650674,650687,650700,650710,650711,650721,650728,650736,650753,650675,650686,650698,650705,650712,650722,650729,650737,650747,650757,650677,650690,650699,650707,650718,650734,650744,650752,650676,650684,650694,650709,650717,650727,650742,650745,650755,650678,650688,650695,650704,650714,650725,650731,650738,650751,650679,650683,650691,650697,650706,650716,650726,650743,650748,650758
Cal yrs BP,Calibrated radiocarbon years BP,,,,--/6169/--,--/4982/--,--/7278/--,--/8296/--,--/9749/--,--/10710/--,--/11231/--,--/14107/--,--/15048/--,--/16878/--,--/21946/--,--/22742/--,--/23501/--,--/25015/--,--/29454/--,--/25874/--,--/34303/--,--/26192/--,--/31038/--,--/4911/--,--/4840/--,--/6334/--,--/6684/--,--/8715/--,--/9048/--,--/10887/--,--/12045/--,--/13432/--,--/14844/--,--/15540/--,--/20282/--,--/22373/--,--/23212/--,--/23648/--,--/5555/--,--/8521/--,--/10527/--,--/12540/--,--/12725/--,--/15264/--,--/18946/--,--/22908/--,--/27938/--,--/5124/--,--/7518/--,--/10143/--,--/11583/--,--/13088/--,--/15354/--,--/19628/--,--/23063/--,--/25284/--,--/32664/--,--/5703/--,--/7778/--,--/10338/--,--/11791/--,--/14649/--,--/22564/--,--/24535/--,--/27214/--,--/5267/--,--/7065/--,--/9377/--,--/12362/--,--/14462/--,--/18248/--,--/24327/--,--/24765/--,--/30239/--,--/5854/--,--/8043/--,--/9559/--,--/11060/--,--/13768/--,--/16270/--,--/20894/--,--/23357/--,--/26522/--,--/6009/--,--/6869/--,--/8887/--,--/9945/--,--/11402/--,--/14282/--,--/17548/--,--/23963/--,--/25571/--,--/33483/--
EPD,Radiocarbon years BP,,,,--/5395/--,--/4352/--,--/6280/--,--/7653/--,--/8658/--,--/9510/--,--/9930/--,--/12516/--,--/12827/--,--/13600/--,--/18445/--,--/19027/--,--/19400/--,--/20560/--,--/25500/--,--/21700/--,--/30060/--,--/22080/--,--/27020/--,--/4287/--,--/4222/--,--/5547/--,--/5893/--,--/7948/--,--/8092/--,--/9650/--,--/11213/--,--/12267/--,--/12764/--,--/12964/--,--/16891/--,--/18736/--,--/19267/--,--/19467/--,--/4874/--,--/7876/--,--/9370/--,--/11733/--,--/11907/--,--/12889/--,--/15764/--,--/19133/--,--/23980/--,--/4483/--,--/6528/--,--/9025/--,--/10520/--,--/12142/--,--/12914/--,--/16327/--,--/19200/--,--/20940/--,--/28540/--,--/5004/--,--/6903/--,--/9208/--,--/10867/--,--/12702/--,--/18882/--,--/19800/--,--/23220/--,--/4613/--,--/6160/--,--/8292/--,--/11560/--,--/12640/--,--/15200/--,--/19733/--,--/20180/--,--/26260/--,--/5134/--,--/7278/--,--/8475/--,--/9790/--,--/12391/--,--/13138/--,--/17455/--,--/19333/--,--/22460/--,--/5265/--,--/6040/--,--/8020/--,--/8842/--,--/10173/--,--/12578/--,--/14400/--,--/19600/--,--/21320/--,--/29300/--
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
Alisma,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,1,,8,1,,,1,,,,2,,,,1,,,,1,,,,1,,1,,,2,1,,,1,,,1,1,,,,,,1,1,,1,1,1,,1,1,,,,1,3,,,1,,1,,1,1,,1,,,1,,,2,1,,,,,1,1,,,,,,1,1,,1,1,
