"name","group","element","units","context","S258829","S258830","S258831","S258832","S258833","S258834","S258835","S258836","S258837","S258838","S258839","S258840","S258841","S258842","S258843","S258844","S258845","S258846","S258847","S258848","S258849","S258850","S258851","S258852","S258853","S258854","S258855","S258856","S258857","S258858","S258859","S258860","S258861","S258862","S258863","S258864","S258865","S258866","S258867","S258868","S258869","S258870","S258871","S258872","S258873","S258874","S258875","S258876","S258877","S258878","S258879","S258880","S258881","S258882","S258883","S258884","S258885","S258886","S258887","S258888","S258889","S258890","S258891","S258892","S258893","S258894","S258895","S258896","S258897","S258898","S258899","S258900","S258901","S258902","S258903","S258904","S258905","S258906","S258907","S258908","S258909","S258910","S258911","S258912","S258913","S258914","S258915","S258916","S258917","S258918","S258919","S258920","S258921","S258922","S258923","S258924","S258925","S258926","S258927","S258928","S258929","S258930","S258931","S258932","S258933","S258934","S258935","S258936","S258937","S258938","S258939","S258940","S258941","S258942","S258943","S258944","S258945","S258946","S258947","S258948","S258949","S258950","S258951","S258952","S258953","S258954","S258955","S258956","S258957","S258958","S258959","S258960","S258961","S258962","S258963","S258964","S258965","S258966","S258967","S258968","S258969","S258970","S258971","S258972","S258973","S258974","S258975","S258976","S258977","S258978","S258979","S258980","S258981","S258982","S258983","S258984","S258985","S258986","S258987"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,97,105,110,115,120,125,130,135,140,145,147,155,160,165,170,175,180,185,190,195,197,205,210,215,220,225,230,235,240,245,247,255,260,265,270,275,280,285,290,295,297,305,310,320,325,330,335,340,345,347,355,360,365,370,375,380,385,390,395,397,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,546,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,673,675,680,685,690,695,700,705,710,715,720,725,730,735,740,745,755,760,765,770,775,780,784,790,795
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,258829,258830,258831,258832,258833,258834,258835,258836,258837,258838,258839,258840,258841,258842,258843,258844,258845,258846,258847,258848,258849,258850,258851,258852,258853,258854,258855,258856,258857,258858,258859,258860,258861,258862,258863,258864,258865,258866,258867,258868,258869,258870,258871,258872,258873,258874,258875,258876,258877,258878,258879,258880,258881,258882,258883,258884,258885,258886,258887,258888,258889,258890,258891,258892,258893,258894,258895,258896,258897,258898,258899,258900,258901,258902,258903,258904,258905,258906,258907,258908,258909,258910,258911,258912,258913,258914,258915,258916,258917,258918,258919,258920,258921,258922,258923,258924,258925,258926,258927,258928,258929,258930,258931,258932,258933,258934,258935,258936,258937,258938,258939,258940,258941,258942,258943,258944,258945,258946,258947,258948,258949,258950,258951,258952,258953,258954,258955,258956,258957,258958,258959,258960,258961,258962,258963,258964,258965,258966,258967,258968,258969,258970,258971,258972,258973,258974,258975,258976,258977,258978,258979,258980,258981,258982,258983,258984,258985,258986,258987
cal. yr BP,Calibrated radiocarbon years BP,,,,--/300/--,--/582/--,--/864/--,--/1146/--,--/1428/--,--/1710/--,--/1993/--,--/2275/--,--/2557/--,--/2598/--,--/2613/--,--/2628/--,--/2643/--,--/2658/--,--/2673/--,--/2688/--,--/2702/--,--/2717/--,--/2732/--,--/2747/--,--/2753/--,--/2902/--,--/3014/--,--/3125/--,--/3237/--,--/3348/--,--/3460/--,--/3571/--,--/3683/--,--/3794/--,--/3839/--,--/4017/--,--/4129/--,--/4240/--,--/4352/--,--/4463/--,--/4574/--,--/4686/--,--/4775/--,--/4812/--,--/4826/--,--/4885/--,--/4921/--,--/4958/--,--/4994/--,--/5031/--,--/5067/--,--/5104/--,--/5140/--,--/5176/--,--/5190/--,--/5245/--,--/5279/--,--/5313/--,--/5347/--,--/5381/--,--/5415/--,--/5449/--,--/5484/--,--/5518/--,--/5536/--,--/5669/--,--/5752/--,--/5917/--,--/6000/--,--/6083/--,--/6165/--,--/6248/--,--/6331/--,--/6364/--,--/6496/--,--/6579/--,--/6662/--,--/6745/--,--/6828/--,--/6910/--,--/6993/--,--/7076/--,--/7159/--,--/7192/--,--/7324/--,--/7407/--,--/7490/--,--/7573/--,--/7655/--,--/7738/--,--/7821/--,--/7904/--,--/7986/--,--/8069/--,--/8152/--,--/8235/--,--/8318/--,--/8400/--,--/8483/--,--/8566/--,--/8649/--,--/8732/--,--/8814/--,--/8897/--,--/8980/--,--/9063/--,--/9145/--,--/9228/--,--/9311/--,--/9394/--,--/9476/--,--/9559/--,--/9659/--,--/9725/--,--/9808/--,--/9890/--,--/9973/--,--/10056/--,--/10139/--,--/10222/--,--/10304/--,--/10387/--,--/10470/--,--/10553/--,--/10635/--,--/10718/--,--/10801/--,--/10884/--,--/10966/--,--/11049/--,--/11132/--,--/11215/--,--/11298/--,--/11380/--,--/11463/--,--/11546/--,--/11629/--,--/11712/--,--/11761/--,--/11794/--,--/11877/--,--/11960/--,--/12043/--,--/12125/--,--/12208/--,--/12291/--,--/12374/--,--/12456/--,--/12539/--,--/12622/--,--/12705/--,--/12788/--,--/12870/--,--/12953/--,--/13119/--,--/13202/--,--/13284/--,--/13367/--,--/13450/--,--/13533/--,--/13599/--,--/13698/--,--/13781/--
Abies,TRSH,pollen,NISP,,3,11,6,7,1,25,12,186,124,143,97,106,86,150,175,129,149,149,127,123,27,57,160,182,82,146,61,152,176,107,80,92,84,56,72,97,36,31,17,21,17,,26,21,1,2,30,17,36,38,13,7,10,3,9,7,3,8,,9,20,3,13,5,2,3,2,2,1,1,,,1,3,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,,2,,1,,1,,,1,3,,2,2,,1,,,1,,,2,,1,,,,,1,1,1,2,,2,1,2,,,2,1,3,,,2,3,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,7,7,12,12,9,26,10,13,15,13,11,13,6,12,23,12,11,5,12,7,1,8,2,6,8,12,9,3,4,5,11,5,14,9,4,10,10,7,5,4,8,6,7,9,5,6,2,2,5,5,7,6,4,4,4,3,4,10,4,11,11,6,1,8,1,3,,1,2,,1,,,2,,1,3,,,,2,1,,1,,1,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Amaranthaceae,UPHE,pollen,NISP,,1,,,1,,,,1,,,,1,,1,,,,1,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,1,1,,1,3,,6,3,7,12,5,3,6,7,6,11,9,8,2,6,7,5,1,,6,,,2,,,,1,1,1,2,,1,1,1,3,10,11,12,10
Angiospermae undiff. (herbs),UPHE,pollen,NISP,,6,14,15,17,9,3,1,1,4,4,7,9,7,3,5,10,17,12,13,8,2,3,8,12,7,9,11,7,9,11,14,11,4,4,12,7,12,3,8,,3,10,1,,1,,6,,55,49,11,85,3,66,80,45,85,48,19,132,83,19,36,16,40,19,11,11,7,13,3,14,,16,16,8,3,2,2,10,4,3,11,21,21,16,9,10,1,4,8,8,7,6,7,12,8,5,7,12,18,13,6,5,3,4,9,7,6,25,21,8,13,16,19,29,72,38,23,38,14,10,12,19,16,10,9,56,59,41,21,10,13,18,12,10,17,16,10,27,19,27,20,16,34,13,26,27,16,22,28,14,22,15,13,21,16,13,10
Apiaceae,UPHE,pollen,NISP,,6,1,1,2,4,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,10,,,,,,,,2,,,,,,,,1,,,,,,,,,1,1,1,4,,2,1,1,,,,1,,1,2,,,,,2,,,,2,,,,,1,1,1,,1,1,4,5,9,8,3,6,4,2,8,1,,1,1,1,4,3,6,4,5,1,3,1,1,1,8,6,6,2,4,2,2,1,5,2,2,,3,6,2,3,1,1,,
