name,group,element,units,context,S275000,S275001,S275002,S275003,S275004,S275005,S275006,S275007,S275008,S275009,S275010,S275011,S275012,S275013,S275014,S275015,S275016,S275017,S275018,S275019,S275020,S275021,S275022,S275023,S275024,S275025,S275026,S275027,S275028,S275029,S275030,S275031,S275032,S275033,S275034,S275035,S275036,S275037,S275038,S275039,S275040,S275041,S275042,S275043,S275044,S275045,S275046,S275047,S275048,S275049,S275050,S275051,S275052,S275053,S275054,S275055,S275056,S275057,S275058,S275059,S275060,S275061,S275062,S275063,S275064,S275065,S275066,S275067,S275068,S275069,S275070,S275071,S275072,S275073,S275074,S275075,S275076,S275077,S275078,S275079,S275080,S275081,S275082,S275083,S275084,S275085,S275086,S275087,S275088,S275089,S275090,S275091,S275092,S275093,S275094,S275095,S275096,S275097,S275098,S275099,S275100,S275101,S275102,S275103,S275104,S275105,S275106,S275107,S275108,S275109,S275110,S275111,S275112,S275113,S275114,S275115,S275116,S275117,S275118,S275119,S275120,S275121,S275122,S275123,S275124,S275125,S275126,S275127,S275128,S275129,S275130,S275131,S275132,S275133,S275134,S275135,S275136,S275137,S275138,S275139,S275140,S275141
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,1,3,5,7,9,11,13,15,17,19,21,22,23,24,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,106,112,116,120,124,128,132,136,140,144,148,152,156,160,164,168,172,178,182,186,190,194,198,202,206,210,214,218,222,226,230,234,238,242,246,250,254,258,262,266,286,290,294,298,302,306,310,314,318,322,326,330,334,338,342,346,350,354,358,362,366,370,373,376,380,384,388,392,396,400,404,408,412,416,420,424,428,432,436,440,444,448,452,456,460,464,468,472
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,275000,275001,275002,275003,275004,275005,275006,275007,275008,275009,275010,275011,275012,275013,275014,275015,275016,275017,275018,275019,275020,275021,275022,275023,275024,275025,275026,275027,275028,275029,275030,275031,275032,275033,275034,275035,275036,275037,275038,275039,275040,275041,275042,275043,275044,275045,275046,275047,275048,275049,275050,275051,275052,275053,275054,275055,275056,275057,275058,275059,275060,275061,275062,275063,275064,275065,275066,275067,275068,275069,275070,275071,275072,275073,275074,275075,275076,275077,275078,275079,275080,275081,275082,275083,275084,275085,275086,275087,275088,275089,275090,275091,275092,275093,275094,275095,275096,275097,275098,275099,275100,275101,275102,275103,275104,275105,275106,275107,275108,275109,275110,275111,275112,275113,275114,275115,275116,275117,275118,275119,275120,275121,275122,275123,275124,275125,275126,275127,275128,275129,275130,275131,275132,275133,275134,275135,275136,275137,275138,275139,275140,275141
Cal yr BP,Calibrated radiocarbon years BP,,,,--/-45/--,--/-43/--,--/-40/--,--/-37/--,--/-34/--,--/-30/--,--/-27/--,--/-26/--,--/-22/--,--/-19/--,--/-18/--,--/-14/--,--/-14/--,--/-11/--,--/-11/--,--/-8/--,--/-4/--,--/--/--,--/6/--,--/11/--,--/16/--,--/21/--,--/26/--,--/31/--,--/35/--,--/42/--,--/48/--,--/52/--,--/66/--,--/88/--,--/111/--,--/134/--,--/159/--,--/185/--,--/212/--,--/240/--,--/269/--,--/299/--,--/330/--,--/362/--,--/394/--,--/427/--,--/462/--,--/496/--,--/532/--,--/569/--,--/606/--,--/644/--,--/682/--,--/721/--,--/761/--,--/802/--,--/843/--,--/884/--,--/990/--,--/1122/--,--/1211/--,--/1302/--,--/1395/--,--/1488/--,--/1582/--,--/1677/--,--/1772/--,--/1868/--,--/1963/--,--/2059/--,--/2154/--,--/2249/--,--/2343/--,--/2436/--,--/2529/--,--/2665/--,--/2753/--,--/4746/--,--/4814/--,--/4883/--,--/4953/--,--/5022/--,--/5093/--,--/5163/--,--/5235/--,--/5306/--,--/5378/--,--/5451/--,--/5524/--,--/5597/--,--/5671/--,--/5746/--,--/5821/--,--/5896/--,--/5972/--,--/6048/--,--/6125/--,--/6202/--,--/6594/--,--/6674/--,--/6755/--,--/6835/--,--/6917/--,--/6999/--,--/7081/--,--/7163/--,--/7246/--,--/7330/--,--/7414/--,--/7499/--,--/7584/--,--/7669/--,--/7755/--,--/7841/--,--/7928/--,--/8015/--,--/8103/--,--/8191/--,--/8280/--,--/8369/--,--/8619/--,--/8852/--,--/9164/--,--/9476/--,--/9787/--,--/10099/--,--/10411/--,--/10722/--,--/11034/--,--/13214/--,--/13357/--,--/13500/--,--/13643/--,--/13786/--,--/13929/--,--/14071/--,--/14214/--,--/14357/--,--/14500/--,--/14643/--,--/14786/--,--/14929/--,--/15071/--,--/15214/--,--/15357/--,--/15500/--
Uncalibrated,Calibrated radiocarbon years BP,,,,--/-44/--,--/-42/--,--/-39/--,--/-36/--,--/-33/--,--/-30/--,--/-27/--,--/-24/--,--/-21/--,--/-18/--,--/-15/--,--/-12/--,--/-11/--,--/-9/--,--/-7/--,--/-6/--,--/-3/--,--/--/--,--/21/--,--/43/--,--/64/--,--/86/--,--/107/--,--/129/--,--/150/--,--/171/--,--/193/--,--/214/--,--/236/--,--/257/--,--/297/--,--/338/--,--/378/--,--/418/--,--/459/--,--/499/--,--/539/--,--/580/--,--/620/--,--/660/--,--/700/--,--/741/--,--/781/--,--/821/--,--/862/--,--/902/--,--/942/--,--/983/--,--/1023/--,--/1063/--,--/1104/--,--/1144/--,--/1173/--,--/1202/--,--/1274/--,--/1360/--,--/1418/--,--/1476/--,--/1533/--,--/1591/--,--/1652/--,--/1716/--,--/1779/--,--/1843/--,--/1907/--,--/1971/--,--/2034/--,--/2098/--,--/2181/--,--/2283/--,--/2385/--,--/2538/--,--/2640/--,--/4188/--,--/4252/--,--/4316/--,--/4381/--,--/4445/--,--/4509/--,--/4574/--,--/4638/--,--/4695/--,--/4744/--,--/4793/--,--/4842/--,--/4891/--,--/4940/--,--/4989/--,--/5038/--,--/5087/--,--/5136/--,--/5185/--,--/5252/--,--/5336/--,--/5758/--,--/5831/--,--/5894/--,--/5957/--,--/6019/--,--/6082/--,--/6145/--,--/6207/--,--/6270/--,--/6402/--,--/6535/--,--/6668/--,--/6800/--,--/6932/--,--/7065/--,--/7198/--,--/7330/--,--/7542/--,--/7755/--,--/7967/--,--/8180/--,--/8392/--,--/8551/--,--/8710/--,--/8923/--,--/9135/--,--/9348/--,--/9560/--,--/9776/--,--/9992/--,--/10208/--,--/11133/--,--/11400/--,--/11667/--,--/11833/--,--/11900/--,--/11967/--,--/12071/--,--/12214/--,--/12357/--,--/12500/--,--/12643/--,--/12786/--,--/12929/--,--/13071/--,--/13214/--,--/13357/--,--/13500/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,-0.022714981,-0.023809524,-0.024983563,-0.026984127,-0.028466483,-0.031182796,-0.034482759,-0.036923077,-0.041501976,-0.045,-0.052287582,-0.066666667,-0.071005917,-0.075757576,-0.081818182,-0.097222222,-0.15,1/--/-1,06.05.03,12.10.09,16/15/13,21/20/18,26/25/23,31/30/28,37/35/34,43/41/39,50/47/45,58/54/51,65/60/55,70/65/59,73/69/64,78/74/72,89/84/81,111/101/96,138/125/115,172/155/141,212/190/172,257/231/208,307/276/248,362/325/291,421/378/338,484/433/388,549/491/440,614/550/493,681/610/549,748/671/605,814/732/660,879/791/716,941/850/764,1002/906/818,1058/960/877,1109/1011/926,1155/1058/972,1198/1102/1016,1291/1199/1114,1380/1292/1208,1430/1345/1261,1478/1391/1308,1521/1432/1348,1565/1472/1385,1612/1510/1413,1661/1550/1437,1713/1594/1465,1770/1644/1503,1836/1704/1546,1922/1775/1591,2059/1861/1632,2130/1964/1696,2366/2087/1811,2670/2241/1962,3008/2448/2166,3602/2902/2598,4004/3329/2904,4436/3816/3250,4810/4263/3599,5132/4621/3929,5386/4901/4222,5561/5116/4495,5674/5277/4753,5746/5396/4986,5792/5485/5186,5830/5557/5345,5858/5618/5433,5882/5670/5481,5927/5716/5530,5971/5756/5572,6008/5794/5610,6039/5830/5653,6070/5868/5702,6101/5907/5755,6136/5952/5813,6179/6002/5877,6229/6061/5944,6286/6128/6012,6649/6531/6402,6729/6615/6485,6813/6697/6569,6900/6778/6651,6986/6861/6733,7074/6945/6815,7166/7032/6905,7259/7124/6997,7354/7221/7093,7461/7324/7195,7570/7431/7297,7678/7539/7393,7781/7645/7481,7883/7746/7563,7973/7839/7656,8055/7921/7742,8122/7991/7823,8170/8047/7897,8209/8098/7962,8266/8158/8029,8360/8238/8083,8512/8350/8184,8679/8465/8284,8880/8617/8406,9232/8903/8639,9668/9297/8989,10138/9766/9427,10613/10262/9912,11073/10744/10412,11506/11203/10885,11928/11634/11332,12326/12037/11740,12703/12412/12112,13050/12757/12455,13368/13073/12763,13652/13359/13038,13901/13614/13279,14119/13838/13489,14323/14034/13678,14503/14206/13838,14670/14357/13984,14835/14493/14122,15012/14618/14247,15198/14736/14360,15385/14852/14451,15576/14968/14522,15772/15084/14584,15971/15200/14636
Abies,TRSH,pollen,NISP,,4,3,2,13,8,4,8,13,7,12,7,11,8,7,8,4,13,17,13,11,8,9,11,6,4,4,5,7,8,20,37,42,57,74,96,90,94,55,62,52,48,66,95,88,114,93,81,71,89,91,102,39,44,51,62,155,58,24,23,30,100,83,52,70,44,80,63,52,43,52,88,53,89,80,90,57,79,50,66,68,99,180,195,194,228,154,157,118,127,120,180,143,131,126,21,10,16,20,5,11,6,5,1,4,1,2,2,2,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer,TRSH,pollen,NISP,,,,1,3,1,,,,,,1,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,1,1,,4,3,,,,3,1,1,1,,1,,,4,,,3,2,1,2,2,,,2,1,,2,,,1,,1,4,3,1,3,1,5,2,6,2,4,10,4,2,3,6,5,2,6,2,2,9,6,5,6,4,3,3,2,,5,3,1,1,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
Achillea-type,UPHE,pollen,NISP,,,,1,,,,,1,1,,1,,1,1,1,1,,2,3,1,1,,,,1,,,1,1,1,2,,2,1,2,,1,,,1,2,2,1,,1,1,,2,,1,1,,,,,,,,,1,3,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,1,2,3,5,1,3,2,4,,3,1,2,1,5,1,3,2
Aconitum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrimonia-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,31,22,1,,,1,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,,1,,,,,
Alnus glutinosa-type,TRSH,pollen,NISP,,2,1,6,8,4,3,5,9,6,6,7,8,6,3,13,5,10,12,5,7,9,3,9,3,6,9,11,2,11,4,9,16,10,4,6,6,3,9,11,10,11,14,15,6,18,9,7,4,14,18,38,23,39,22,8,18,27,33,34,52,25,29,12,20,27,27,30,21,24,33,20,33,16,14,26,20,12,17,18,29,41,21,29,16,7,12,34,19,17,12,11,11,13,23,19,10,19,21,11,12,9,9,9,6,6,5,3,2,4,5,3,4,3,6,3,2,1,3,1,2,1,,,,,,,,,,,,,,,1,,,,1,,
Alnus viridis,TRSH,pollen,NISP,,,,1,,,,1,,,,1,,,,,2,3,,,1,2,3,2,1,2,,4,1,4,,,1,,,,1,1,1,2,3,2,1,,2,2,,,2,3,,1,2,1,,,1,,2,4,3,1,1,3,2,1,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
