"name","group","element","units","context","S516672","S516675","S516678","S516681","S516684","S516687","S516691","S516693","S516701","S516703","S516707","S516710","S516715","S516721","S516731","S516739","S516750","S516759","S516768","S516778","S516786","S516796","S516805","S516816","S516827","S516671","S516674","S516677","S516680","S516683","S516686","S516688","S516695","S516702","S516705","S516709","S516714","S516720","S516729","S516740","S516748","S516757","S516766","S516775","S516785","S516795","S516806","S516817","S516828","S516839","S516849","S516860","S516871","S516881","S516892","S516901","S516910","S516920","S516689","S516706","S516711","S516716","S516723","S516733","S516745","S516756","S516767","S516777","S516787","S516797","S516807","S516815","S516825","S516835","S516843","S516853","S516863","S516873","S516879","S516889","S516897","S516908","S516917","S516927","S516937","S516948","S516960","S516970","S516692","S516713","S516719","S516730","S516741","S516751","S516760","S516770","S516782","S516793","S516802","S516813","S516822","S516832","S516842","S516851","S516861","S516869","S516883","S516893","S516903","S516913","S516924","S516935","S516946","S516956","S516965","S516694","S516717","S516724","S516734","S516743","S516753","S516763","S516772","S516779","S516790","S516801","S516811","S516821","S516831","S516845","S516855","S516865","S516874","S516885","S516895","S516904","S516914","S516922","S516931","S516941","S516951","S516963","S516973","S516698","S516728","S516738","S516749","S516761","S516773","S516783","S516792","S516803","S516812","S516823","S516833","S516844","S516697","S516727","S516737","S516747","S516758","S516769","S516780","S516699","S516722","S516732","S516742","S516752","S516764","S516774","S516700","S516725","S516735","S516746","S516755","S516765","S516776","S516788","S516799","S516810","S516819","S516829","S516838","S516848","S516859","S516870","S516882","S516891","S516902","S516911","S516921","S516932","S516942","S516953","S516961","S516972","S516784","S516794","S516804","S516814","S516824","S516834","S516841","S516854","S516862","S516872","S516880","S516890","S516900","S516912","S516923","S516934","S516944","S516954","S516964","S516789","S516798","S516808","S516818","S516830","S516840","S516850","S516858","S516868","S516878","S516887","S516899","S516909","S516919","S516930","S516940","S516949","S516957","S516967","S516837","S516846","S516857","S516867","S516877","S516888","S516898","S516907","S516918","S516928","S516938","S516947","S516958","S516968","S516852","S516864","S516875","S516884","S516896","S516906","S516916","S516926","S516936","S516945","S516955","S516966","S516929","S516939","S516950","S516959","S516969","S516673","S516676","S516679","S516682","S516685","S516690","S516696","S516704","S516708","S516712","S516718","S516726","S516736","S516744","S516754","S516762","S516771","S516781","S516791","S516800","S516809","S516820","S516826","S516836","S516847","S516856","S516866","S516876","S516886","S516894","S516905","S516915","S516925","S516933","S516943","S516952","S516962","S516971"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,73,83,86,89,92,95,98,100,102,105,108,111,116,122,140,156,174,208,244,284,316,360,364,365.7,367.9,72,82,85,88,91,94,96,99,103,106,110,115,121,136,158,178,200,236,272,312,356,363.9,365.9,368,370.3,372.1,374.1,376.1,377.9,380.3,404,440,480,76,107,112,117,124,144,166,192,240,276,320,361.25,364.1,366.1,367.7,369.5,371.3,372.7,374.9,376.7,378.3,379.9,396,432,468,508,548,740,1000,1198,75,113,120,138,160,180,216,252,296,340,363.5,365.1,367.3,368.9,370.9,372.5,374.5,376.3,378.7,380.5,412,452,496,540,700,900,1100,81,118,126,146,164,184,224,260,292,328,363.1,364.9,366.9,368.7,371.5,373.3,375.3,377.1,379.1,380.9,416,456,492,528,620,820,1020,1230,78,130,154,176,212,264,304,344,363.3,365.3,367.1,369.1,370.7,77,134,151,172,204,248,300,80,123,142,162,182,228,268,79,128,149.5,170,196,232,280,325,362.25,364.5,366.7,368.1,370.1,372,373.9,376,378.5,380.1,408,448,484,524,640,840,1060,1246,308,352,363.7,365.5,367.5,369.3,371.1,372.9,374.7,376.5,378.1,380,400,444,488,532,680,880,1080,332,361.75,364.3,366.3,368.3,370.5,372.3,374.3,375.9,377.7,379.7,392,428,476,520,600,800,940,1140,369.9,371.9,373.5,375.7,377.5,379.5,388,436,472,512,560,760,960,1166,373.1,375.1,376.9,378.9,384,424,464,504,544,720,920,1120,516,580,780,980,1182,74,84,87,90,93,97,101,104,109,114,119,132,147.5,168,188,220,256,288,336,362.75,364.7,366.5,368.5,369.7,371.7,373.7,375.5,377.3,379.3,380.7,420,460,500,536,660,860,1040,1214
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.2,0.2,0.2,0.2,1,0.2,1,0.2,0.2,1,1,1,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,516672,516675,516678,516681,516684,516687,516691,516693,516701,516703,516707,516710,516715,516721,516731,516739,516750,516759,516768,516778,516786,516796,516805,516816,516827,516671,516674,516677,516680,516683,516686,516688,516695,516702,516705,516709,516714,516720,516729,516740,516748,516757,516766,516775,516785,516795,516806,516817,516828,516839,516849,516860,516871,516881,516892,516901,516910,516920,516689,516706,516711,516716,516723,516733,516745,516756,516767,516777,516787,516797,516807,516815,516825,516835,516843,516853,516863,516873,516879,516889,516897,516908,516917,516927,516937,516948,516960,516970,516692,516713,516719,516730,516741,516751,516760,516770,516782,516793,516802,516813,516822,516832,516842,516851,516861,516869,516883,516893,516903,516913,516924,516935,516946,516956,516965,516694,516717,516724,516734,516743,516753,516763,516772,516779,516790,516801,516811,516821,516831,516845,516855,516865,516874,516885,516895,516904,516914,516922,516931,516941,516951,516963,516973,516698,516728,516738,516749,516761,516773,516783,516792,516803,516812,516823,516833,516844,516697,516727,516737,516747,516758,516769,516780,516699,516722,516732,516742,516752,516764,516774,516700,516725,516735,516746,516755,516765,516776,516788,516799,516810,516819,516829,516838,516848,516859,516870,516882,516891,516902,516911,516921,516932,516942,516953,516961,516972,516784,516794,516804,516814,516824,516834,516841,516854,516862,516872,516880,516890,516900,516912,516923,516934,516944,516954,516964,516789,516798,516808,516818,516830,516840,516850,516858,516868,516878,516887,516899,516909,516919,516930,516940,516949,516957,516967,516837,516846,516857,516867,516877,516888,516898,516907,516918,516928,516938,516947,516958,516968,516852,516864,516875,516884,516896,516906,516916,516926,516936,516945,516955,516966,516929,516939,516950,516959,516969,516673,516676,516679,516682,516685,516690,516696,516704,516708,516712,516718,516726,516736,516744,516754,516762,516771,516781,516791,516800,516809,516820,516826,516836,516847,516856,516866,516876,516886,516894,516905,516915,516925,516933,516943,516952,516962,516971
Authors' Chronology,Calibrated radiocarbon years BP,,,,--/-34.3/--,--/11.39/--,--/36.58/--,--/54.09/--,--/73.93/--,--/95.43/--,--/118.24/--,--/134.52/--,--/150.8/--,--/217.31/--,--/314.09/--,--/419.66/--,--/609.2/--,--/836.65/--,--/1628.6/--,--/2294.25/--,--/3290.22/--,--/5170.77/--,--/7863.85/--,--/10575.91/--,--/11662/--,--/12897.27/--,--/13006.29/--,--/13052.08/--,--/13111.34/--,--/-37.24/--,--/3.82/--,--/28.28/--,--/48.96/--,--/66.9/--,--/87.84/--,--/102.81/--,--/126.29/--,--/159.79/--,--/251.86/--,--/383.37/--,--/570.38/--,--/797.32/--,--/1442.48/--,--/2411.17/--,--/3512.22/--,--/4728.75/--,--/7228.3/--,--/9961.29/--,--/11549.5/--,--/12786.59/--,--/13003.56/--,--/13057.47/--,--/13114.03/--,--/13175.29/--,--/13216.2/--,--/13256.68/--,--/13297.16/--,--/13333.59/--,--/13382.16/--,--/13861.83/--,--/14590.44/--,--/15400/--,--/-23.27/--,--/281.36/--,--/456.56/--,--/649.31/--,--/918.72/--,--/1819.82/--,--/2851.18/--,--/4285.46/--,--/7552.1/--,--/10228.05/--,--/11772.86/--,--/12931.34/--,--/13008.98/--,--/13062.85/--,--/13105.95/--,--/13153.99/--,--/13200.01/--,--/13228.35/--,--/13272.87/--,--/13309.3/--,--/13341.69/--,--/13374.07/--,--/13699.92/--,--/14428.52/--,--/15157.13/--,--/15420.68/--,--/15450.23/--,--/15592.06/--,--/15784.11/--,--/15930.37/--,--/-27.09/--,--/493.57/--,--/757.58/--,--/1535.16/--,--/2525.16/--,--/3622.78/--,--/5641.52/--,--/8454.41/--,--/10996.42/--,--/12339.58/--,--/12992.66/--,--/13035.92/--,--/13095.18/--,--/13138/--,--/13191.28/--,--/13224.3/--,--/13264.78/--,--/13301.21/--,--/13349.78/--,--/13386.21/--,--/14023.74/--,--/14833.31/--,--/15411.82/--,--/15444.32/--,--/15562.51/--,--/15710.24/--,--/15857.98/--,--/-2.65/--,--/685.32/--,--/1004.07/--,--/1915.94/--,--/2743.94/--,--/3845.12/--,--/6228.92/--,--/9059.61/--,--/10852.32/--,--/12002.1/--,--/12981.76/--,--/13030.53/--,--/13084.4/--,--/13132.68/--,--/13204.06/--,--/13240.49/--,--/13280.97/--,--/13317.4/--,--/13357.88/--,--/13394.31/--,--/14104.7/--,--/14914.26/--,--/15408.86/--,--/15435.46/--,--/15503.41/--,--/15651.15/--,--/15798.88/--,--/15954.01/--,--/-15.69/--,--/1175.1/--,--/2174.93/--,--/3401.52/--,--/5392.94/--,--/9353.76/--,--/11288.01/--,--/12451.22/--,--/12987.21/--,--/13041.31/--,--/13089.79/--,--/13143.33/--,--/13185.95/--,--/-19.42/--,--/1351.68/--,--/2156.24/--,--/3178.73/--,--/4952.72/--,--/8159.08/--,--/11142.56/--,--/-7.08/--,--/877.2/--,--/1723.92/--,--/2636.14/--,--/3733.36/--,--/6561.07/--,--/9652.93/--,--/-11.48/--,--/1087.99/--,--/2084.15/--,--/3068.27/--,--/4505.31/--,--/6894.86/--,--/10428.76/--,--/11915.85/--,--/12958.59/--,--/13019.76/--,--/13079.01/--,--/13116.69/--,--/13169.97/--,--/13214.18/--,--/13252.63/--,--/13295.14/--,--/13345.73/--,--/13378.12/--,--/13942.79/--,--/14752.35/--,--/15402.96/--,--/15432.5/--,--/15518.19/--,--/15665.92/--,--/15828.43/--,--/15965.82/--,--/11425.9/--,--/12674.77/--,--/12998.11/--,--/13046.69/--,--/13100.56/--,--/13148.66/--,--/13196.6/--,--/13232.39/--,--/13268.83/--,--/13305.25/--,--/13337.64/--,--/13376.09/--,--/13780.87/--,--/14671.39/--,--/15405.91/--,--/15438.41/--,--/15547.73/--,--/15695.47/--,--/15843.2/--,--/12115.41/--,--/12944.97/--,--/13014.37/--,--/13068.24/--,--/13122.02/--,--/13180.62/--,--/13220.25/--,--/13260.73/--,--/13293.11/--,--/13329.54/--,--/13370.02/--,--/13618.96/--,--/14347.57/--,--/15319.04/--,--/15429.55/--,--/15488.64/--,--/15636.38/--,--/15739.79/--,--/15887.53/--,--/13164.64/--,--/13212.16/--,--/13244.54/--,--/13289.06/--,--/13325.49/--,--/13365.97/--,--/13538/--,--/14509.48/--,--/15238.09/--,--/15423.64/--,--/15459.09/--,--/15606.83/--,--/15754.56/--,--/15906.73/--,--/13236.44/--,--/13276.92/--,--/13313.35/--,--/13353.83/--,--/13457.05/--,--/14266.61/--,--/15076.17/--,--/15417.73/--,--/15447.28/--,--/15577.28/--,--/15725.02/--,--/15872.75/--,--/15426.59/--,--/15473.87/--,--/15621.6/--,--/15769.34/--,--/15918.55/--,--/-30.71/--,--/19.81/--,--/43.88/--,--/60.14/--,--/80.87/--,--/110.68/--,--/141.91/--,--/182.61/--,--/348.34/--,--/531.17/--,--/719.69/--,--/1260.67/--,--/1988.03/--,--/2959.13/--,--/4068.81/--,--/5919.75/--,--/8758.15/--,--/10709.46/--,--/12227.59/--,--/12972.22/--,--/13025.14/--,--/13073.63/--,--/13127.35/--,--/13159.31/--,--/13208.11/--,--/13248.59/--,--/13285.02/--,--/13321.45/--,--/13361.92/--,--/13390.26/--,--/14185.66/--,--/14995.22/--,--/15414.77/--,--/15441.37/--,--/15532.96/--,--/15680.7/--,--/15813.66/--,--/15942.19/--
Abies alba,TRSH,pollen,NISP,,32,49,47,23,27,30,27,35,20,24,33,30,38,40,75,75,74,13,,,,,,,,43,68,37,52,31,22,25,36,23,24,38,37,50,104,80,55,35,1,,,,,,,,,,,,,,,,48,24,54,39,93,123,71,64,,,,,,,,,,,,,,,,,,1,,,,2,45,31,32,87,103,73,5,,,,,,,,,,,,,,,1,1,,1,,,46,50,84,85,82,70,2,,,,,,,,,,,,,,,,,1,,,1,,57,80,81,70,16,,,,,,,,,48,110,74,130,16,,,51,48,95,101,70,3,,45,70,134,57,68,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,47,37,44,22,33,28,32,28,14,42,39,54,105,78,58,4,,,,,,,,,,,,,,,,,,,,,,
Abies alba,TRSH,stomate,NISP,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer,TRSH,pollen,NISP,,2,1,3,3,4,4,2,6,1,4,1,1,3,1,2,,1,1,1,,,,,,,2,3,2,6,3,4,5,6,1,2,3,2,,,1,3,1,1,,,,,,,,,,,,,,,,2,,2,4,,3,4,3,2,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,2,2,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2,2,,1,,,,,,,2,3,,2,,2,,2,4,3,1,2,2,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,2,2,6,6,4,3,1,2,4,2,1,,,,,,,1,,,,,,1,,,,,,,,1,,,,,
Achillea-type,UPHE,pollen,NISP,,,,1,1,3,1,1,1,,,1,,2,1,,,,,,,5,1,1,4,1,1,,,2,,,,1,,,1,2,,,,,,,,1,3,2,1,2,2,2,4,5,4,5,1,5,4,1,,,,,,,,,,3,5,3,2,2,3,3,1,4,4,3,2,3,1,3,2,,,,,,,2,,,,,,,2,3,1,2,4,,,,2,5,1,2,3,,1,2,,,1,,1,,,,,,,3,1,2,6,6,4,2,,2,2,2,3,6,,3,,,1,2,1,,,,,,,7,5,3,2,1,5,1,,,,,,,2,,,,,,,,,,1,,,,,1,1,5,,3,3,2,1,4,1,4,5,,3,1,1,,3,1,5,3,1,3,2,4,3,3,3,6,1,1,2,3,,1,1,,8,3,3,3,3,2,1,3,1,3,3,1,4,3,1,1,1,4,2,2,3,2,,2,2,,,2,2,2,2,1,1,2,1,4,4,1,5,4,2,1,2,3,,2,2,3,,1,,1,,,,2,1,2,1,1,,,,,3,,,,3,3,1,1,4,2,8,2,1,3,2,2,1,4,,2,2,1,1,1
