name,group,element,units,context,S221034,S221035,S221036,S221037,S221038,S221039,S221040,S221041,S221042,S221043,S221044,S221045,S221046,S221047,S221048,S221049,S221050,S221051,S221052,S221053,S221054,S221055,S221056,S221057,S221058,S221059,S221060,S221061,S221062,S221063,S221064,S221065,S221066,S221067,S221068,S221069,S221070,S221071,S221072,S221073,S221074,S221075,S221076,S221077,S221078,S221079,S221080,S221081,S221082,S221083,S221084,S221085,S221086,S221087,S221088,S221089,S221090,S221091,S221092,S221093,S221094,S221095,S221096,S221097,S221098,S221099,S221100,S221101,S221102,S221103,S221104,S221105,S221106,S221107,S221108,S221109,S221110,S221111,S221112,S221113,S221114,S221115,S221116,S221117,S221118,S221119,S221120,S221121,S221122,S221123,S221124,S221125,S221126,S221127,S221128,S221129,S221130,S221131,S221132,S221133,S221134,S221135,S221136,S221137,S221138,S221139,S221140,S221141,S221142,S221143,S221144,S221145,S221146,S221147,S221148,S221149,S221150,S221151,S221152,S221153,S221154,S221155,S221156,S221157,S221158,S221159,S221160,S221161,S221162,S221163,S221164,S221165,S221166,S221167,S221168,S221169,S221170,S221171,S221172,S221173,S221174
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,5,10,15,17,20,25,30,35,40,45,55,57,60,65,70,75,80,82,85,88,90,95,103,105,107,110,111,115,120,125,130,133,135,137,140,145,155,160,165,170,175,180,185,190,203,205,210,215,220,224,229,233,238,240,252,255,260,265,270,275,280,285,288,290,293,298,303,305,308,313,315,320,325,330,335,340,351,353,355,360,365,370,375,380,385,390,402,409,420,424,430,435,440,445,450,456,460,465,470,475,480,484,490,506,510,515,520,525,530,535,540,554,560,565,569,574,577,580,584,585,588,590,602,605,610,615,620,625,630,635,640,652,658,659,663,670,675,680,685,690
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,221034,221035,221036,221037,221038,221039,221040,221041,221042,221043,221044,221045,221046,221047,221048,221049,221050,221051,221052,221053,221054,221055,221056,221057,221058,221059,221060,221061,221062,221063,221064,221065,221066,221067,221068,221069,221070,221071,221072,221073,221074,221075,221076,221077,221078,221079,221080,221081,221082,221083,221084,221085,221086,221087,221088,221089,221090,221091,221092,221093,221094,221095,221096,221097,221098,221099,221100,221101,221102,221103,221104,221105,221106,221107,221108,221109,221110,221111,221112,221113,221114,221115,221116,221117,221118,221119,221120,221121,221122,221123,221124,221125,221126,221127,221128,221129,221130,221131,221132,221133,221134,221135,221136,221137,221138,221139,221140,221141,221142,221143,221144,221145,221146,221147,221148,221149,221150,221151,221152,221153,221154,221155,221156,221157,221158,221159,221160,221161,221162,221163,221164,221165,221166,221167,221168,221169,221170,221171,221172,221173,221174
C14 BP,Radiocarbon years BP,,,,--/--/--,--/125/--,--/251/--,--/376/--,--/426/--,--/501/--,--/626/--,--/752/--,--/877/--,--/1002/--,--/1127/--,--/1391/--,--/1444/--,--/1523/--,--/1655/--,--/1787/--,--/1919/--,--/2051/--,--/2104/--,--/2183/--,--/2262/--,--/2315/--,--/2447/--,--/2551/--,--/2575/--,--/2599/--,--/2635/--,--/2648/--,--/2696/--,--/2756/--,--/2817/--,--/2877/--,--/2914/--,--/2938/--,--/2962/--,--/2998/--,--/3059/--,--/3288/--,--/3406/--,--/3523/--,--/3641/--,--/3758/--,--/3876/--,--/3993/--,--/4111/--,--/4407/--,--/4452/--,--/4563/--,--/4675/--,--/4786/--,--/4876/--,--/4987/--,--/5076/--,--/5188/--,--/5232/--,--/5456/--,--/5503/--,--/5581/--,--/5659/--,--/5737/--,--/5815/--,--/5893/--,--/5971/--,--/6018/--,--/6049/--,--/6096/--,--/6184/--,--/6283/--,--/6322/--,--/6381/--,--/6480/--,--/6519/--,--/6618/--,--/6716/--,--/6815/--,--/6913/--,--/7012/--,--/7194/--,--/7221/--,--/7248/--,--/7316/--,--/7383/--,--/7451/--,--/7518/--,--/7586/--,--/7653/--,--/7721/--,--/7849/--,--/7907/--,--/7998/--,--/8032/--,--/8081/--,--/8123/--,--/8164/--,--/8206/--,--/8282/--,--/8379/--,--/8443/--,--/8524/--,--/8604/--,--/8685/--,--/8765/--,--/8830/--,--/8926/--,--/9106/--,--/9141/--,--/9185/--,--/9228/--,--/9272/--,--/9315/--,--/9359/--,--/9402/--,--/9479/--,--/9499/--,--/9516/--,--/9530/--,--/9547/--,--/9557/--,--/9567/--,--/9581/--,--/9584/--,--/9594/--,--/9601/--,--/9728/--,--/9778/--,--/9861/--,--/9944/--,--/10027/--,--/10110/--,--/10193/--,--/10276/--,--/10359/--,--/10814/--,--/11150/--,--/11206/--,--/11430/--,--/11822/--,--/12102/--,--/12382/--,--/12662/--,--/12942/--
CAL BP,Calibrated radiocarbon years BP,,,,--/-49/--,--/74/--,--/195/--,--/316/--,--/365/--,--/437/--,--/558/--,--/680/--,--/801/--,--/922/--,--/1043/--,--/1338/--,--/1398/--,--/1487/--,--/1636/--,--/1785/--,--/1934/--,--/2083/--,--/2143/--,--/2232/--,--/2321/--,--/2381/--,--/2530/--,--/2654/--,--/2684/--,--/2713/--,--/2757/--,--/2771/--,--/2830/--,--/2903/--,--/2976/--,--/3049/--,--/3093/--,--/3123/--,--/3152/--,--/3196/--,--/3269/--,--/3557/--,--/3705/--,--/3853/--,--/4001/--,--/4149/--,--/4297/--,--/4445/--,--/4592/--,--/4961/--,--/5016/--,--/5154/--,--/5291/--,--/5429/--,--/5539/--,--/5677/--,--/5787/--,--/5924/--,--/5979/--,--/6246/--,--/6299/--,--/6387/--,--/6476/--,--/6564/--,--/6653/--,--/6742/--,--/6830/--,--/6883/--,--/6919/--,--/6972/--,--/7062/--,--/7155/--,--/7192/--,--/7248/--,--/7340/--,--/7377/--,--/7470/--,--/7563/--,--/7655/--,--/7748/--,--/7840/--,--/8015/--,--/8041/--,--/8067/--,--/8133/--,--/8199/--,--/8265/--,--/8331/--,--/8397/--,--/8463/--,--/8529/--,--/8677/--,--/8759/--,--/8888/--,--/8935/--,--/9006/--,--/9064/--,--/9123/--,--/9182/--,--/9271/--,--/9382/--,--/9457/--,--/9550/--,--/9643/--,--/9735/--,--/9828/--,--/9903/--,--/10014/--,--/10241/--,--/10289/--,--/10349/--,--/10408/--,--/10468/--,--/10528/--,--/10587/--,--/10647/--,--/10758/--,--/10791/--,--/10818/--,--/10839/--,--/10866/--,--/10882/--,--/10899/--,--/10920/--,--/10926/--,--/10942/--,--/10953/--,--/11152/--,--/11230/--,--/11360/--,--/11491/--,--/11621/--,--/11752/--,--/11882/--,--/12012/--,--/12143/--,--/12759/--,--/13196/--,--/13269/--,--/13560/--,--/14069/--,--/14433/--,--/14797/--,--/15161/--,--/15524/--
Abies,TRSH,pollen,NISP,,,,,,,,,,,1,2,1,3,2,3,2,1,1,,1,,1,3,1,1,2,2,2,2,4,5,1,1,1,2,2,2,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer campestre-type,TRSH,pollen,NISP,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,1,,,,,,1,,,,,1,1,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus,TRSH,pollen,NISP,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
