"name","group","element","units","context","S470796","S470805","S470815","S470827","S470835","S470846","S470857","S470870","S470879","S470889","S470899","S470799","S470807","S470816","S470825","S470834","S470844","S470854","S470864","S470874","S470882","S470895","S470793","S470803","S470812","S470821","S470831","S470841","S470850","S470859","S470867","S470878","S470887","S470898","S470794","S470804","S470813","S470823","S470833","S470843","S470853","S470863","S470873","S470880","S470890","S470901","S470801","S470808","S470814","S470822","S470832","S470842","S470852","S470862","S470871","S470884","S470894","S470797","S470806","S470819","S470830","S470839","S470847","S470856","S470868","S470881","S470891","S470900","S470798","S470809","S470818","S470828","S470838","S470851","S470861","S470872","S470883","S470892","S470902","S470795","S470810","S470817","S470824","S470836","S470845","S470860","S470869","S470876","S470886","S470896","S470800","S470811","S470826","S470837","S470848","S470855","S470866","S470877","S470888","S470897","S470802","S470820","S470829","S470840","S470849","S470858","S470865","S470875","S470885","S470893","S470903"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,30,61,86,116,151,184,213,255,285,319,365,44,69,93,125,145,178,207,238,269,295,340,25,55,80,108,136,169,193,225,250,279,314,360,27,58,82,110,142,175,205,234,266,288,325,371,40,72,90,120,139,172,202,231,262,301,347,37,64,102,133,166,190,210,241,293,330,368,49,66,99,127,159,199,229,259,299,335,374,34,74,96,123,148,180,215,253,275,307,350,47,77,113,155,188,218,248,282,310,355,52,105,131,163,196,222,245,272,304,343,378
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,470796,470805,470815,470827,470835,470846,470857,470870,470879,470889,470899,470799,470807,470816,470825,470834,470844,470854,470864,470874,470882,470895,470793,470803,470812,470821,470831,470841,470850,470859,470867,470878,470887,470898,470794,470804,470813,470823,470833,470843,470853,470863,470873,470880,470890,470901,470801,470808,470814,470822,470832,470842,470852,470862,470871,470884,470894,470797,470806,470819,470830,470839,470847,470856,470868,470881,470891,470900,470798,470809,470818,470828,470838,470851,470861,470872,470883,470892,470902,470795,470810,470817,470824,470836,470845,470860,470869,470876,470886,470896,470800,470811,470826,470837,470848,470855,470866,470877,470888,470897,470802,470820,470829,470840,470849,470858,470865,470875,470885,470893,470903
Sample age (cal BP),Calibrated radiocarbon years BP,,,,--/509.3/--,--/1686.8/--,--/2272.3/--,--/2670.9/--,--/3197.4/--,--/3744.8/--,--/4301.7/--,--/5241.9/--,--/5964.3/--,--/6824.8/--,--/8069.8/--,--/1076.3/--,--/1963.5/--,--/2367.5/--,--/2790.3/--,--/3098.3/--,--/3645.8/--,--/4181.5/--,--/4819.2/--,--/5577/--,--/6200.2/--,--/7400.3/--,--/334.8/--,--/1487/--,--/2191.2/--,--/2564.8/--,--/2948.9/--,--/3498.9/--,--/3903/--,--/4537.9/--,--/5114.7/--,--/5818.5/--,--/6688.4/--,--/7935/--,--/404.4/--,--/1586.7/--,--/2218/--,--/2591.2/--,--/3048.6/--,--/3596.6/--,--/4142.4/--,--/4726.3/--,--/5504.7/--,--/6034.7/--,--/6990.7/--,--/8230.5/--,--/918.3/--,--/2049.4/--,--/2326.4/--,--/2725.6/--,--/2999.3/--,--/3547.3/--,--/4083/--,--/4661.4/--,--/5408.9/--,--/6347.6/--,--/7585/--,--/797.6/--,--/1789.9/--,--/2485.2/--,--/2902.6/--,--/3450.3/--,--/3845.7/--,--/4241.1/--,--/4891/--,--/6152.8/--,--/7127.1/--,--/8149.5/--,--/1277.6/--,--/1858.5/--,--/2445.6/--,--/2817.7/--,--/3333.5/--,--/4023.6/--,--/4619.2/--,--/5337.3/--,--/6298.2/--,--/7260.5/--,--/8313.8/--,--/676.9/--,--/2100.2/--,--/2407.1/--,--/2764/--,--/3147.6/--,--/3678.9/--,--/4342.3/--,--/5191.1/--,--/5720.2/--,--/6502.2/--,--/7662.7/--,--/1197.2/--,--/2151.8/--,--/2630.8/--,--/3265.7/--,--/3812.1/--,--/4399.9/--,--/5064.2/--,--/5891.2/--,--/6578.2/--,--/7794.7/--,--/1386.1/--,--/2525/--,--/2873.7/--,--/3400.9/--,--/3962/--,--/4477.9/--,--/4988/--,--/5649/--,--/6423.5/--,--/7479.8/--,--/8416.5/--
Sample age (14C BP),Radiocarbon years BP,,,,--/387.2727/--,--/1944/--,--/2535.424/--,--/2571.017/--,--/2900/--,--/3438.421/--,--/3836.098/--,--/4585/--,--/5215/--,--/6046.25/--,--/7296.119/--,--/1112.727/--,--/2328/--,--/2543.729/--,--/2581.695/--,--/2802.105/--,--/3340.526/--,--/3757.073/--,--/4228/--,--/4879/--,--/5425/--,--/6616.842/--,--/128.1818/--,--/1656/--,--/2528.305/--,--/2561.525/--,--/2655.263/--,--/3193.684/--,--/3572.683/--,--/3994.146/--,--/4480/--,--/5089/--,--/5910.395/--,--/7160.263/--,--/231.8182/--,--/1800/--,--/2530.678/--,--/2563.898/--,--/2753.158/--,--/3291.579/--,--/3730.732/--,--/4144/--,--/4816/--,--/5278/--,--/6209.276/--,--/7459.145/--,--/905.4545/--,--/2472/--,--/2540.169/--,--/2575.763/--,--/2704.21/--,--/3242.632/--,--/3691.219/--,--/4081/--,--/4732/--,--/5557.171/--,--/6807.04/--,--/750/--,--/2088/--,--/2554.407/--,--/2606.316/--,--/3144.737/--,--/3533.171/--,--/3796.585/--,--/4291/--,--/5383/--,--/6345.131/--,--/7377.631/--,--/1368/--,--/2184/--,--/2550.847/--,--/2584.068/--,--/3030.526/--,--/3651.707/--,--/4046.829/--,--/4669/--,--/5509/--,--/6480.987/--,--/7540.658/--,--/594.5455/--,--/2521.187/--,--/2547.288/--,--/2579.322/--,--/2851.053/--,--/3373.158/--,--/3862.439/--,--/4543/--,--/5005/--,--/5720.197/--,--/6888.553/--,--/1268.182/--,--/2524.746/--,--/2567.458/--,--/2965.263/--,--/3503.684/--,--/3901.951/--,--/4438/--,--/5152/--,--/5801.71/--,--/7024.408/--,--/1512/--,--/2557.966/--,--/2588.813/--,--/3095.79/--,--/3612.195/--,--/3954.634/--,--/4375/--,--/4942/--,--/5638.684/--,--/6698.355/--,--/7649.342/--
Acer,TRSH,pollen,NISP,,,,,,,,3,3,1,,3,,,,,,,,1,4,2,,,,,,1,,2,,2,2,2,2,,,,,2,,3,,,,1,2,,2,,3,1,,,1,,,2,,,,,,,4,1,2,1,,,,,,,3,1,3,2,2,,,,,,,,2,,3,1,1,1,,,,,2,1,1,,,,,,,,1,,,2,,2
Alnus,TRSH,pollen,NISP,,,,2,1,1,,1,1,,,1,1,,1,,,,,,1,,1,1,1,,,,2,,1,,1,1,,,,1,,,,1,,2,1,1,1,,,,,,,2,,1,1,,,,,1,1,,,1,1,,,,2,,1,,,,1,,,,,,1,,,4,,,,,2,1,,,,,,,,,,,,1,,,,,,,2,
Amaranthaceae,UPHE,pollen,NISP,,6,8,6,7,10,8,19,2,5,3,2,13,6,8,13,8,4,14,13,,5,5,10,10,9,7,10,8,5,5,5,5,4,4,7,8,7,7,9,16,8,12,3,4,3,,8,5,8,7,11,7,12,13,2,4,,9,13,11,7,7,3,3,9,6,4,3,12,8,7,12,7,13,14,2,4,4,4,9,9,6,9,12,9,7,,4,,1,12,6,8,7,7,6,4,4,3,3,9,4,9,18,8,4,15,3,3,2,1
