"name","group","element","units","context","S465603","S465606","S465608","S465611","S465615","S465619","S465622","S465631","S465634","S465645","S465655","S465664","S465673","S465683","S465692","S465701","S465710","S465602","S465605","S465609","S465612","S465614","S465617","S465621","S465632","S465635","S465644","S465654","S465663","S465675","S465684","S465690","S465699","S465708","S465623","S465636","S465646","S465657","S465666","S465677","S465687","S465697","S465709","S465624","S465637","S465647","S465656","S465667","S465676","S465686","S465696","S465706","S465625","S465639","S465650","S465659","S465669","S465679","S465694","S465704","S465626","S465640","S465649","S465660","S465670","S465680","S465695","S465705","S465627","S465641","S465652","S465662","S465672","S465682","S465691","S465698","S465707","S465628","S465642","S465653","S465665","S465674","S465685","S465693","S465703","S465629","S465643","S465651","S465661","S465671","S465681","S465688","S465700","S465601","S465604","S465607","S465610","S465613","S465616","S465618","S465620","S465630","S465633","S465638","S465648","S465658","S465668","S465678","S465689","S465702"
AnalysisUnitName,,,,,UDD-GC2,UDD-E,UDD-E,UDD-E,UDD-E,UDD-E,E7 55-56,E8 35-36,E8 75-76,E10 95-96,E12 25-26,E13 15-16,E14 15-16,E15 15-16,E16 20-21,F14 50-51,F15 32-33,UDD-GC2,UDD-E,UDD-E,UDD-E,UDD-E,UDD-E,UDD-E,E7 95-96,E8 95-96,E10 75-76,E12 15-16,E13 5-6,E14 25-26,E15 25-26,E16 10-11,F14 30-31,F15 28-29,UDD-GC2,E9 15-16,E11 15-16,E12 45-46,E13 35-36,E14 55-56,E15 55-56,E16 50-51,F15 12-13,UDD-E,E9 35-36,E11 35-36,E12 35-36,E13 45-46,E14  45-46,E15 45-46,E16 40-41,F14 95-96,UDD-E,E9 75-76,E11 65-66,E12 65-66,E13 65-66,E14 75-76,E15 85-86,F14 75-76,UDD-GC2,E9 95-96,E11 75-76,E12 75-76,E13 75-76,E14 85-86,E15 75-76,F14 85-86,UDD-GC2,E10 15-16,E11 95-96,E12 95-96,E13 95-96,E15 5-6,E16 0-1,E16 60-61,F15 5-6,UDD-E,E10 35-36,E12 5-6,E13 25-26,E14 35-36,E15 35-36,E16 30-31,F14 65-66,UDD-E,E10 55-56,E11 85-86,E12 85-86,E13 85-86,E41 95-96,E15 95-96,F14 40-41,UDD-GC2,UDD-E,UDD-E,UDD-E,UDD-E,UDD-E,UDD-E,UDD-E,E7 75-76,E8 55-56,E9 55-56,E11 55-56,E12 55-56,E13 55-56,E14 65-66,E15 65-66,F14 55-56
Depth,,,,,15,195,255,295,355,435,555,635,675,895,1025,1115,1215,1315,1420,1500,1578,5,175,235,315,375,415,495,595,695,875,1015,1105,1225,1325,1410,1480,1574,35,715,915,1045,1135,1255,1355,1450,1562,95,735,935,1035,1145,1245,1345,1440,1545,115,775,965,1065,1165,1275,1385,1525,25,795,975,1075,1175,1285,1375,1535,45,815,995,1095,1195,1305,1400,1460,1555,75,835,1005,1125,1235,1335,1430,1515,135,855,985,1085,1185,1295,1395,1490,,155,215,275,335,395,455,475,575,655,755,955,1055,1155,1265,1365,1505
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,465603,465606,465608,465611,465615,465619,465622,465631,465634,465645,465655,465664,465673,465683,465692,465701,465710,465602,465605,465609,465612,465614,465617,465621,465632,465635,465644,465654,465663,465675,465684,465690,465699,465708,465623,465636,465646,465657,465666,465677,465687,465697,465709,465624,465637,465647,465656,465667,465676,465686,465696,465706,465625,465639,465650,465659,465669,465679,465694,465704,465626,465640,465649,465660,465670,465680,465695,465705,465627,465641,465652,465662,465672,465682,465691,465698,465707,465628,465642,465653,465665,465674,465685,465693,465703,465629,465643,465651,465661,465671,465681,465688,465700,465601,465604,465607,465610,465613,465616,465618,465620,465630,465633,465638,465648,465658,465668,465678,465689,465702
chron 1,Calibrated radiocarbon years BP,,,,--/-50/--,--/1055/--,--/1272/--,--/1434/--,--/1637/--,--/1986/--,--/2542/--,--/2929/--,--/3352/--,--/5858/--,--/7184/--,--/8632/--,--/10239/--,--/11584/--,--/12809/--,--/13733/--,--/14469/--,--/-59/--,--/935/--,--/1196/--,--/1500/--,--/1706/--,--/1841/--,--/2412/--,--/2755/--,--/3616/--,--/5574/--,--/7027/--,--/8470/--,--/10399/--,--/11700/--,--/12692/--,--/13498/--,--/14432/--,--/-13/--,--/3748/--,--/6013/--,--/7501/--,--/8957/--,--/10900/--,--/12051/--,--/13156/--,--/14321/--,--/291/--,--/3881/--,--/6168/--,--/7342/--,--/9118/--,--/10710/--,--/11945/--,--/13042/--,--/14164/--,--/408/--,--/4146/--,--/6399/--,--/7822/--,--/9440/--,--/11128/--,--/12401/--,--/13981/--,--/-34/--,--/4426/--,--/6476/--,--/7985/--,--/9603/--,--/11235/--,--/12283/--,--/14073/--,--/11/--,--/4710/--,--/6712/--,--/8308/--,--/9924/--,--/11469/--,--/12576/--,--/13270/--,--/12257/--,--/178/--,--/5007/--,--/6870/--,--/8794/--,--/10557/--,--/11817/--,--/12926/--,--/13888/--,--/522/--,--/5288/--,--/6552/--,--/8145/--,--/9765/--,--/11354/--,--/12517/--,--/13605/--,--/-62/--,--/700/--,--/1120/--,--/1348/--,--/1568/--,--/1775/--,--/2132/--,--/2278/--,--/2643/--,--/3082/--,--/4015/--,--/6323/--,--/7661/--,--/9279/--,--/11014/--,--/12167/--,--/13780/--
Algae? (type 128A, HdV),ALGA,filament/cell,NISP,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,2,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Algae? (type 341B, HdV),ALGA,palynomorph,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,39,35,66,82,75,76,91,99,89,87,88,55,,,,,8,31,36,59,94,116,63,70,78,76,87,86,50,14,1,,1,,46,87,87,93,33,,1,,,38,82,71,78,13,,1,,3,29,85,94,69,,,,,42,76,75,82,1,,,,35,73,90,48,,,,,1,23,95,70,51,,1,,,32,82,96,65,,,,,40,36,59,92,91,83,86,66,92,95,97,67,89,,,,
Alona,CLAD,mandible/claw,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
