"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies","Juglans","Fagus","Castanea","CalYrBP.2"
"1","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10095.24",751,1054.25,0,0,0,0,"10095.24"
"2","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10225.92",539,832,0,0,0,0,"10225.92"
"3","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10323.92",989,1354.75,0,0,0,0,"10323.92"
"4","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10421.93",823,1132.25,0,0,0,0,"10421.93"
"5","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10552.6",703,971,0,0,0,0,"10552.6"
"6","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10650.61",659,904,0,0,0,0,"10650.61"
"7","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10748.62",595,842.75,0,0,0,0,"10748.62"
"8","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1086.52",755,1483.5,129,6,186,3,"1086.52"
"9","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10879.29",728,1018,0,0,0,0,"10879.29"
"10","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10977.3",665,916.75,0,0,0,0,"10977.3"
"11","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11075.3",472,701,0,0,0,0,"11075.3"
"12","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11205.98",553,826.25,0,0,0,0,"11205.98"
"13","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11303.99",491,685.75,0,0,0,0,"11303.99"
"14","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11401.99",562,812.75,0,0,0,0,"11401.99"
"15","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11434.66",730,1117.25,0,0,0,0,"11434.66"
"16","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11467.33",464,714.25,0,0,0,0,"11467.33"
"17","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11535.9",884,1438.75,0,0,0,0,"11535.9"
"18","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11643.59",759,1214.25,0,0,0,0,"11643.59"
"19","ALTEN","Altenweiher","France","Tb",6.99,48.01,"12002.56",773,1226.5,0,0,0,0,"12002.56"
"20","ALTEN","Altenweiher","France","Tb",6.99,48.01,"12325.64",395,655.75,0,0,0,0,"12325.64"
"21","ALTEN","Altenweiher","France","Tb",6.99,48.01,"12720.51",610,992,0,0,0,0,"12720.51"
"22","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1292.98",1073,1885.25,98,1,161,1,"1292.98"
"23","ALTEN","Altenweiher","France","Tb",6.99,48.01,"12955",709,1146.5,0,0,0,0,"12955"
"24","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13065",859,1372.25,0,0,0,0,"13065"
"25","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13285",438,730.5,0,0,0,0,"13285"
"26","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13395",244,346.25,0,0,0,0,"13395"
"27","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13505",813,1402,0,0,0,0,"13505"
"28","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13615",276,529.5,0,0,0,0,"13615"
"29","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13725",558,1083.75,0,0,0,0,"13725"
"30","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13835",280,588.5,0,0,0,0,"13835"
"31","ALTEN","Altenweiher","France","Tb",6.99,48.01,"14300",63,122.5,0,0,0,0,"14300"
"32","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1465.03",1506,2406.5,136,0,140,0,"1465.03"
"33","ALTEN","Altenweiher","France","Tb",6.99,48.01,"14660",373,721.25,0,0,0,0,"14660"
"34","ALTEN","Altenweiher","France","Tb",6.99,48.01,"14720",135,272,0,0,0,0,"14720"
"35","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1602.67",730,1286,172,0,134,0,"1602.67"
"36","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1809.13",986,1649,151,2,138,0,"1809.13"
"37","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1946.77",1055,1889.75,132,1,116,0,"1946.77"
"38","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2106.25",2053,3777,466,0,312,1,"2106.25"
"39","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2181.25",660,1151.5,79,0,88,0,"2181.25"
"40","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2293.75",818,1402.25,125,0,119,0,"2293.75"
"41","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2331.25",711,1207,64,0,74,0,"2331.25"
"42","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2481.25",935,1706.25,296,0,248,0,"2481.25"
"43","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2556.25",525,910,80,0,67,0,"2556.25"
"44","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2631.25",825,1497.75,229,0,221,0,"2631.25"
"45","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2668.75",1052,1920.75,352,0,285,0,"2668.75"
"46","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2743.75",691,1353.5,151,0,107,0,"2743.75"
"47","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2781.25",573,1025.5,99,0,73,0,"2781.25"
"48","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2856.25",1027,1837.75,224,0,155,0,"2856.25"
"49","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2931.25",683,1215.5,140,0,91,0,"2931.25"
"50","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2968.37",607,1130,193,0,194,0,"2968.37"
"51","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3041.84",918,1698.75,312,0,313,0,"3041.84"
"52","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3115.3",871,1537.5,176,0,117,0,"3115.3"
"53","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3188.77",793,1447,244,0,216,0,"3188.77"
"54","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3225.51",1010,1873.75,268,0,295,0,"3225.51"
"55","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3298.98",854,1486.5,213,0,129,0,"3298.98"
"56","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3372.45",748,1301.5,164,0,120,0,"3372.45"
"57","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3409.18",803,1454.5,240,0,194,0,"3409.18"
"58","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3482.65",689,1135.75,136,0,81,0,"3482.65"
"59","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3516.97",1297,2045.75,205,0,134,0,"3516.97"
"60","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3566.42",569,1014,198,0,99,0,"3566.42"
"61","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3615.88",726,1239.75,163,0,109,0,"3615.88"
"62","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3665.33",494,902.75,85,0,85,0,"3665.33"
"63","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3690.06",649,1142,161,0,128,0,"3690.06"
"64","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3739.51",754,1323.5,154,0,124,0,"3739.51"
"65","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3788.97",661,1142.25,100,0,91,0,"3788.97"
"66","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3813.69",781,1445,213,0,199,0,"3813.69"
"67","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3863.15",713,1247.75,135,0,129,0,"3863.15"
"68","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3887.87",619,1078.5,125,0,88,0,"3887.87"
"69","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3937.33",897,1554,198,0,175,0,"3937.33"
"70","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4067.82",792,1357.5,111,0,93,0,"4067.82"
"71","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4193.85",556,951,78,0,95,0,"4193.85"
"72","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4445.9",674,1232.5,36,0,223,0,"4445.9"
"73","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4571.92",548,965.75,10,0,150,0,"4571.92"
"74","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4697.95",1019,1767.25,29,0,265,0,"4697.95"
"75","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4823.97",663,1178.25,23,0,183,0,"4823.97"
"76","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4950",770,1425.5,47,1,227,0,"4950"
"77","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5107.14",770,1458.75,23,0,257,0,"5107.14"
"78","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5264.29",500,939.25,14,0,189,0,"5264.29"
"79","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5421.43",633,1177.75,8,0,239,0,"5421.43"
"80","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5578.57",529,996.5,10,0,171,0,"5578.57"
"81","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5735.71",679,1273.25,8,0,219,0,"5735.71"
"82","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5892.86",606,1135.5,6,0,179,0,"5892.86"
"83","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6050",421,813.5,2,0,120,0,"6050"
"84","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6207.14",368,686.5,2,0,103,0,"6207.14"
"85","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6364.29",618,1242,3,0,153,0,"6364.29"
"86","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6521.43",625,1199,1,0,149,0,"6521.43"
"87","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6745.74",798,1615.75,0,0,189,0,"6745.74"
"88","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7037.21",522,1050.75,0,0,17,0,"7037.21"
"89","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7328.68",713,1515.25,0,0,25,0,"7328.68"
"90","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7616.95",1072,1976.75,0,0,4,0,"7616.95"
"91","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7896.76",543,1031.25,0,0,1,0,"7896.76"
"92","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7980.7",666,1227.75,0,0,0,0,"7980.7"
"93","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8092.62",738,1350.75,10,0,12,0,"8092.62"
"94","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8176.57",850,1476.5,0,0,0,0,"8176.57"
"95","ALTEN","Altenweiher","France","Tb",6.99,48.01,"825",967,1832,142,8,198,9,"825"
"96","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8288.49",449,809.5,0,0,0,0,"8288.49"
"97","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8386.42",461,853,0,0,0,0,"8386.42"
"98","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8456.38",665,1178.5,0,0,0,0,"8456.38"
"99","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8568.3",481,833.75,0,0,0,0,"8568.3"
"100","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8652.24",436,778.25,0,0,0,0,"8652.24"
"101","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8736.19",616,1057.25,0,0,0,0,"8736.19"
"102","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8834.12",367,533,0,0,0,0,"8834.12"
"103","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8946.04",542,895,0,0,0,0,"8946.04"
"104","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9017.17",583,877.25,0,0,0,0,"9017.17"
"105","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9180.51",658,1029.5,0,0,0,0,"9180.51"
"106","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9294.85",786,1166.25,0,0,0,0,"9294.85"
"107","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9343.86",409,614.75,0,0,0,0,"9343.86"
"108","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9458.2",447,666,0,0,0,0,"9458.2"
"109","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9572.54",583,859.25,0,0,0,0,"9572.54"
"110","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9670.54",705,999.75,0,0,0,0,"9670.54"
"111","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9801.22",851,1199.5,0,0,0,0,"9801.22"
