"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Cerealia.t","CalYrBP.2"
"1","ALTEN","Altenweiher","France","Tb",6.99,48.01,"825",967,1832,16,"825"
"2","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1086.52",755,1483.5,12,"1086.52"
"3","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1292.98",1073,1885.25,4,"1292.98"
"4","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1465.03",1506,2406.5,4,"1465.03"
"5","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1602.67",730,1286,0,"1602.67"
"6","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1809.13",986,1649,4,"1809.13"
"7","ALTEN","Altenweiher","France","Tb",6.99,48.01,"1946.77",1055,1889.75,8,"1946.77"
"8","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2106.25",2053,3777,0,"2106.25"
"9","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2181.25",660,1151.5,4,"2181.25"
"10","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2293.75",818,1402.25,4,"2293.75"
"11","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2331.25",711,1207,4,"2331.25"
"12","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2481.25",935,1706.25,0,"2481.25"
"13","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2556.25",525,910,0,"2556.25"
"14","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2631.25",825,1497.75,0,"2631.25"
"15","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2668.75",1052,1920.75,4,"2668.75"
"16","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2743.75",691,1353.5,88,"2743.75"
"17","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2781.25",573,1025.5,4,"2781.25"
"18","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2856.25",1027,1837.75,0,"2856.25"
"19","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2931.25",683,1215.5,0,"2931.25"
"20","ALTEN","Altenweiher","France","Tb",6.99,48.01,"2968.37",607,1130,0,"2968.37"
"21","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3041.84",918,1698.75,0,"3041.84"
"22","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3115.3",871,1537.5,0,"3115.3"
"23","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3188.77",793,1447,0,"3188.77"
"24","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3225.51",1010,1873.75,0,"3225.51"
"25","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3298.98",854,1486.5,4,"3298.98"
"26","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3372.45",748,1301.5,0,"3372.45"
"27","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3409.18",803,1454.5,0,"3409.18"
"28","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3482.65",689,1135.75,0,"3482.65"
"29","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3516.97",1297,2045.75,0,"3516.97"
"30","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3566.42",569,1014,0,"3566.42"
"31","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3615.88",726,1239.75,0,"3615.88"
"32","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3665.33",494,902.75,0,"3665.33"
"33","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3690.06",649,1142,0,"3690.06"
"34","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3739.51",754,1323.5,0,"3739.51"
"35","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3788.97",661,1142.25,0,"3788.97"
"36","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3813.69",781,1445,0,"3813.69"
"37","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3863.15",713,1247.75,0,"3863.15"
"38","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3887.87",619,1078.5,0,"3887.87"
"39","ALTEN","Altenweiher","France","Tb",6.99,48.01,"3937.33",897,1554,0,"3937.33"
"40","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4067.82",792,1357.5,0,"4067.82"
"41","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4193.85",556,951,0,"4193.85"
"42","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4445.9",674,1232.5,0,"4445.9"
"43","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4571.92",548,965.75,0,"4571.92"
"44","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4697.95",1019,1767.25,0,"4697.95"
"45","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4823.97",663,1178.25,0,"4823.97"
"46","ALTEN","Altenweiher","France","Tb",6.99,48.01,"4950",770,1425.5,0,"4950"
"47","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5107.14",770,1458.75,0,"5107.14"
"48","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5264.29",500,939.25,0,"5264.29"
"49","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5421.43",633,1177.75,0,"5421.43"
"50","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5578.57",529,996.5,0,"5578.57"
"51","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5735.71",679,1273.25,0,"5735.71"
"52","ALTEN","Altenweiher","France","Tb",6.99,48.01,"5892.86",606,1135.5,0,"5892.86"
"53","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6050",421,813.5,0,"6050"
"54","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6207.14",368,686.5,0,"6207.14"
"55","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6364.29",618,1242,0,"6364.29"
"56","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6521.43",625,1199,0,"6521.43"
"57","ALTEN","Altenweiher","France","Tb",6.99,48.01,"6745.74",798,1615.75,0,"6745.74"
"58","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7037.21",522,1050.75,0,"7037.21"
"59","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7328.68",713,1515.25,0,"7328.68"
"60","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7616.95",1072,1976.75,0,"7616.95"
"61","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7896.76",543,1031.25,0,"7896.76"
"62","ALTEN","Altenweiher","France","Tb",6.99,48.01,"7980.7",666,1227.75,0,"7980.7"
"63","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8092.62",738,1350.75,4,"8092.62"
"64","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8176.57",850,1476.5,0,"8176.57"
"65","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8288.49",449,809.5,0,"8288.49"
"66","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8386.42",461,853,0,"8386.42"
"67","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8456.38",665,1178.5,0,"8456.38"
"68","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8568.3",481,833.75,0,"8568.3"
"69","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8652.24",436,778.25,0,"8652.24"
"70","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8736.19",616,1057.25,0,"8736.19"
"71","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8834.12",367,533,0,"8834.12"
"72","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8946.04",542,895,0,"8946.04"
"73","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9017.17",583,877.25,0,"9017.17"
"74","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9180.51",658,1029.5,0,"9180.51"
"75","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9294.85",786,1166.25,0,"9294.85"
"76","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9343.86",409,614.75,0,"9343.86"
"77","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9458.2",447,666,0,"9458.2"
"78","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9572.54",583,859.25,0,"9572.54"
"79","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9670.54",705,999.75,0,"9670.54"
"80","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9801.22",851,1199.5,0,"9801.22"
"81","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9899.23",692,988.75,0,"9899.23"
"82","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9997.23",601,854,0,"9997.23"
"83","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10095.24",751,1054.25,0,"10095.24"
"84","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10225.92",539,832,0,"10225.92"
"85","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10323.92",989,1354.75,0,"10323.92"
"86","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10421.93",823,1132.25,0,"10421.93"
"87","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10552.6",703,971,0,"10552.6"
"88","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10650.61",659,904,0,"10650.61"
"89","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10748.62",595,842.75,4,"10748.62"
"90","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10879.29",728,1018,0,"10879.29"
"91","ALTEN","Altenweiher","France","Tb",6.99,48.01,"10977.3",665,916.75,0,"10977.3"
"92","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11075.3",472,701,0,"11075.3"
"93","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11205.98",553,826.25,4,"11205.98"
"94","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11303.99",491,685.75,0,"11303.99"
"95","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11401.99",562,812.75,4,"11401.99"
"96","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11434.66",730,1117.25,4,"11434.66"
"97","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11467.33",464,714.25,4,"11467.33"
"98","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11535.9",884,1438.75,4,"11535.9"
"99","ALTEN","Altenweiher","France","Tb",6.99,48.01,"11643.59",759,1214.25,0,"11643.59"
"100","ALTEN","Altenweiher","France","Tb",6.99,48.01,"12002.56",773,1226.5,0,"12002.56"
"101","ALTEN","Altenweiher","France","Tb",6.99,48.01,"12325.64",395,655.75,0,"12325.64"
"102","ALTEN","Altenweiher","France","Tb",6.99,48.01,"12720.51",610,992,0,"12720.51"
"103","ALTEN","Altenweiher","France","Tb",6.99,48.01,"12955",709,1146.5,0,"12955"
"104","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13065",859,1372.25,8,"13065"
"105","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13285",438,730.5,0,"13285"
"106","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13395",244,346.25,0,"13395"
"107","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13505",813,1402,0,"13505"
"108","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13615",276,529.5,0,"13615"
"109","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13725",558,1083.75,0,"13725"
"110","ALTEN","Altenweiher","France","Tb",6.99,48.01,"13835",280,588.5,0,"13835"
"111","ALTEN","Altenweiher","France","Tb",6.99,48.01,"14300",63,122.5,0,"14300"
"112","ALTEN","Altenweiher","France","Tb",6.99,48.01,"14660",373,721.25,0,"14660"
"113","ALTEN","Altenweiher","France","Tb",6.99,48.01,"14720",135,272,0,"14720"
"114","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"59/-37/-140",391,747.25,0,"-37"
"115","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"321/231/140",352,695.25,12,"231"
"116","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"591/500/410",370,709.5,4,"500"
"117","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"869/768/667",369,703.25,4,"768"
"118","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1156/1036/919",373,712.25,4,"1036"
"119","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1450/1304/1167",393,740,4,"1304"
"120","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1748/1572/1412",428,785.25,4,"1572"
"121","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1866/1679/1509",436,805.5,0,"1679"
"122","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1986/1786/1606",462,862.5,0,"1786"
"123","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"2046/1840/1655",422,791,4,"1840"
"124","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"2250/2089/1943",396,715,0,"2089"
