"","Abies","Pollen.sum","CalYrBP","Label","Name","LatDD","LonDD","Abies_perc"
"1",26,1064.25,500,"MALIQ","Lake Maliq",40.7611,20.8,2.44303500117454
"2",79,2076.75,1000,"MALIQ","Lake Maliq",40.7611,20.8,3.80402070542916
"3",70,936.5,1500,"MALIQ","Lake Maliq",40.7611,20.8,7.47463961558996
"4",31,950.75,2000,"MALIQ","Lake Maliq",40.7611,20.8,3.26058374967131
"5",80,1917.5,2500,"MALIQ","Lake Maliq",40.7611,20.8,4.17209908735332
"6",47,400,3000,"MALIQ","Lake Maliq",40.7611,20.8,11.75
"7",83,396.5,3500,"MALIQ","Lake Maliq",40.7611,20.8,20.9331651954603
"8",51,378.5,4000,"MALIQ","Lake Maliq",40.7611,20.8,13.4742404227213
"9",668,3299,4500,"MALIQ","Lake Maliq",40.7611,20.8,20.2485601697484
"10",162,995.5,5000,"MALIQ","Lake Maliq",40.7611,20.8,16.273229532898
"11",119,829.5,5500,"MALIQ","Lake Maliq",40.7611,20.8,14.3459915611814
"12",91,753.25,6000,"MALIQ","Lake Maliq",40.7611,20.8,12.0809824095586
"13",151,797.25,6500,"MALIQ","Lake Maliq",40.7611,20.8,18.9401066164942
"14",200,813.5,7000,"MALIQ","Lake Maliq",40.7611,20.8,24.5851259987707
"15",282,1101,7500,"MALIQ","Lake Maliq",40.7611,20.8,25.6130790190736
"16",191,1516.5,8000,"MALIQ","Lake Maliq",40.7611,20.8,12.5947906363337
"17",103,1998,8500,"MALIQ","Lake Maliq",40.7611,20.8,5.15515515515516
"18",41,358.5,9000,"MALIQ","Lake Maliq",40.7611,20.8,11.4365411436541
"19",18,491.25,9500,"MALIQ","Lake Maliq",40.7611,20.8,3.66412213740458
"20",5,401.5,10000,"MALIQ","Lake Maliq",40.7611,20.8,1.2453300124533
"21",64,1145.25,10500,"MALIQ","Lake Maliq",40.7611,20.8,5.58829949792622
"22",43,1871.75,11000,"MALIQ","Lake Maliq",40.7611,20.8,2.29731534660077
"23",81,1502.5,11500,"MALIQ","Lake Maliq",40.7611,20.8,5.3910149750416
"24",29,1395.5,12000,"MALIQ","Lake Maliq",40.7611,20.8,2.07810820494446
"25",2,1260.75,12500,"MALIQ","Lake Maliq",40.7611,20.8,0.15863573269879
"26",0,0,13000,"MALIQ","Lake Maliq",40.7611,20.8,NA
"27",0,0,13500,"MALIQ","Lake Maliq",40.7611,20.8,NA
"28",0,0,14000,"MALIQ","Lake Maliq",40.7611,20.8,NA
"29",0,0,14500,"MALIQ","Lake Maliq",40.7611,20.8,NA
"30",0,0,15000,"MALIQ","Lake Maliq",40.7611,20.8,NA
"31",0,0,15500,"MALIQ","Lake Maliq",40.7611,20.8,NA
"32",0,0,16000,"MALIQ","Lake Maliq",40.7611,20.8,NA
"33",0,0,16500,"MALIQ","Lake Maliq",40.7611,20.8,NA
"34",0,0,17000,"MALIQ","Lake Maliq",40.7611,20.8,NA
"35",0,0,17500,"MALIQ","Lake Maliq",40.7611,20.8,NA
"36",0,0,18000,"MALIQ","Lake Maliq",40.7611,20.8,NA
"37",0,0,18500,"MALIQ","Lake Maliq",40.7611,20.8,NA
"38",0,0,19000,"MALIQ","Lake Maliq",40.7611,20.8,NA
"39",0,0,19500,"MALIQ","Lake Maliq",40.7611,20.8,NA
"40",0,0,20000,"MALIQ","Lake Maliq",40.7611,20.8,NA
"41",0,0,500,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"42",0,271,1000,"OHRID","Lake Ohrid",40.9167,20.671617,0
"43",3,148.25,1500,"OHRID","Lake Ohrid",40.9167,20.671617,2.02360876897133
"44",0,0,2000,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"45",11,163.5,2500,"OHRID","Lake Ohrid",40.9167,20.671617,6.72782874617737
"46",12,193,3000,"OHRID","Lake Ohrid",40.9167,20.671617,6.21761658031088
"47",0,0,3500,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"48",53,320.25,4000,"OHRID","Lake Ohrid",40.9167,20.671617,16.5495706479313
"49",67.5,193,4500,"OHRID","Lake Ohrid",40.9167,20.671617,34.9740932642487
"50",0,0,5000,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"51",249.5,533.625,5500,"OHRID","Lake Ohrid",40.9167,20.671617,46.7556804872335
"52",114,522.625,6000,"OHRID","Lake Ohrid",40.9167,20.671617,21.8129634058838
"53",210,576.875,6500,"OHRID","Lake Ohrid",40.9167,20.671617,36.4030335861322
"54",95,317.25,7000,"OHRID","Lake Ohrid",40.9167,20.671617,29.9448384554768
"55",0,0,7500,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"56",6,368.75,8000,"OHRID","Lake Ohrid",40.9167,20.671617,1.6271186440678
"57",8,298.875,8500,"OHRID","Lake Ohrid",40.9167,20.671617,2.676704307821
"58",46,144.125,9000,"OHRID","Lake Ohrid",40.9167,20.671617,31.9167389418907
"59",0,0,9500,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"60",101,287.375,10000,"OHRID","Lake Ohrid",40.9167,20.671617,35.1457155284906
"61",0,0,10500,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"62",0,122.875,11000,"OHRID","Lake Ohrid",40.9167,20.671617,0
"63",0,0,11500,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"64",38,185.25,12000,"OHRID","Lake Ohrid",40.9167,20.671617,20.5128205128205
"65",0,0,12500,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"66",0,0,13000,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"67",114.5,312.375,13500,"OHRID","Lake Ohrid",40.9167,20.671617,36.6546618647459
"68",0,0,14000,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"69",75,225.375,14500,"OHRID","Lake Ohrid",40.9167,20.671617,33.2778702163062
"70",0,0,15000,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"71",103.5,376,15500,"OHRID","Lake Ohrid",40.9167,20.671617,27.5265957446808
"72",0,0,16000,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"73",39.5,218,16500,"OHRID","Lake Ohrid",40.9167,20.671617,18.1192660550459
"74",8,105.125,17000,"OHRID","Lake Ohrid",40.9167,20.671617,7.60998810939358
"75",16.5,145.125,17500,"OHRID","Lake Ohrid",40.9167,20.671617,11.3695090439276
"76",0,0,18000,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"77",0,0,18500,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"78",4,56,19000,"OHRID","Lake Ohrid",40.9167,20.671617,7.14285714285714
"79",0,0,19500,"OHRID","Lake Ohrid",40.9167,20.671617,NA
"80",5,173,20000,"OHRID","Lake Ohrid",40.9167,20.671617,2.89017341040462
"81",6,975.75,500,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,0.614911606456572
"82",5,594.5,1000,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,0.841042893187553
"83",17,745.75,1500,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,2.27958431109621
"84",38,1177,2000,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,3.2285471537808
"85",25,662.75,2500,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,3.77216144851
"86",26,710,3000,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,3.66197183098592
"87",36,757.5,3500,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,4.75247524752475
"88",26,942,4000,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,2.76008492569002
"89",52,1069.5,4500,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,4.86208508648901
"90",50,788,5000,"ESTAN","Bosc dels Estanyons",42.480278,1.628889,6.34517766497462
