Depth;Sample;Calendar years BP;Pollen sum;Abies;Acer;Achillea/Anthemis-type;Agrostemma githago;Allium-type;Alnus;Amaranthaceae;Anagallis arvensis;Anagallis tenella;Anemone nemorosa-type;Angiospermae undiff. (herbs);Apiaceae undiff.;Armeria;Artemisia;Asphodelus-type;Asteraceae undiff.;Betula;Bistorta officinalis-type;Boraginaceae undiff.;Brassicaceae;Bryophyta undiff.;Bupleurum-type;Buxus;Calligonum-type;Campanulaceae;Carpinus betulus;Caryophyllaceae undiff.;Castanea;Cedrus;Celtis;Centaurea cf. C. cyanus/montana-type;Centaurea scabiosa;Centaurea solstitialis-type;Cichorioideae;Cirsium;Clusiaceae/Hypericaceae cf. Hypericum;Consolida ambigua-type;Cornaceae;Corylus;Cupressaceae-type;Cyperaceae undiff.;Digitalis-type;Dipsacoideae;Echium-type;Ephedra distachya;Ephedra fragilis-type;Epilobium;Ericaceae;Euonymus europaeus;Fabaceae undiff.;Fagus;Filipendula;Fraxinus excelsior-type;Fraxinus ornus;Fraxinus undiff.;Fritillaria-type;Fumana;Galium-type;Geranium;Hedera;Helianthemum;Helleborus foetidus;Helleborus viridis;Hippophaë;Humulus/Cannabis;Ilex;Indeterminable (broken);Indeterminable (concealed);Indeterminable (crumpled);Indeterminable (degraded);Juglans;Larix;Liliaceae;Linum;Lithospermum;Lonicera;Lotus;Malvaceae undiff.;Marrubium-type;Mentha-type;Menyanthes;Olea;Ononis;Ostrya;Oxyria-type;Papaveraceae;Pedicularis;Persicaria amphibia;Persicaria maculosa-type;Persicaria undiff.;Phillyrea;Picea;Pinus subg. Strobus;Pinus undiff.;Pistacia;Plantago;Poaceae (Cerealia-type);Poaceae undiff.;Populus;Potentilla-type;Poterium sanguisorba;Primulaceae undiff.;Prunus spinosa;Pterocarya;Quercus ilex;Quercus undiff.;Ranunculus;Resedaceae;Rhamnaceae;Rosaceae cf. Geum;Rosaceae undiff.;Rumex;Salix;Sambucus;Sanguisorba officinalis;Saxifragaceae;Scilla-type;Scrophulariaceae;Scutellaria-type;Serratula-type;Solidago-type;Sorbus;Spermatophyta undiff. (trees/shrubs);Tamarix;Taxus;Thalictrum;Thymelaeaceae cf. Daphne;Tilia;Trifolium-type;Ulmus;Urtica-type;Valeriana;Veronica-type;Viburnum;Vicia;Viscum;Vitis;cf. Alchemilla;cf. Androsace;cf. Centaurium;cf. Chrysosplenium;cf. Circaea;cf. Daphne;cf. Epilobium;cf. Euphorbia;cf. Frangula/Bruckenthalia;cf. Helianthemum;cf. Larix;cf. Mentha;cf. Mercurialis;cf. Myrica;cf. Onobrychis-type;cf. Platanus;cf. Rutaceae;cf. Sambucus;cf. Sedum
0.5;434198;59;373;3;3;;;;54;3;;;;;3;;10;;;4;;;1;;;;;;4;1;11;;;;;;1;;;;;9;3;12;;;;;;;;;;17;;3;2;;;;2;;;;;;;;;2;;1;;3;;;;;;;;;;;5;;23;;;;;;;4;;;4;;10;;56;;;;;;;;105;;;1;;;4;3;;;;;;;;1;;;;;;;;;3;;;;;;;1;;;;;;;;1;;;;;;;;;;;
2;434199;63;395;1;;;;;55;;;;;;2;;6;;;6;;;;;;;;;9;;8;1;;;;;;;;;;15;4;6;1;;;;;;2;;;29;;1;;;;;;;2;;;;;8;;2;;6;;1;;;;;;;;;;;5;;12;;;;;;;5;;;4;;5;3;48;;1;;;;;;130;;;;;1;4;8;;;;;;;;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
4;434200;67;349;1;;1;;;85;2;;;;;4;;2;2;;3;;;2;;;;;;11;;5;;;;;;1;;;;;10;;6;1;;;;;;1;;2;16;;;;;;;;;1;;;;;5;;;;2;;3;;;;;;;;;;;3;;15;;;;;;;3;;;5;;7;1;55;;1;;;;;;79;1;;;;;1;5;;;;1;;;;;;;;;;;1;;1;;;;;;;3;;;;;;;;1;;;;;;;;;;;
5;434201;87;380;;2;;;;74;2;;;;;;;1;;;;;;;;;;;;12;;;;;;;1;;;;;;12;;2;;;;;;;2;;;19;;;3;;;;;;2;;;;;;;;;;;3;;;;;;;;;;;1;;20;;;;;;;;;;3;2;6;2;38;;2;;;;;5;148;;;;;1;2;5;;;;;;;;2;;;;;;;;;5;2;;;;;;1;;;;;;;;;;;;;;;;;;;
25;434202;403;321;;;;;;70;1;;;;;3;;2;;;;;;;;;;;;13;1;3;;;;;;;1;;;;6;;1;;;;;;;1;;;30;;;3;;;;;;4;;;;;3;;;;3;;5;;;;;;;;;;;3;;21;;;;;;;2;;;;2;4;2;57;;;1;;;;3;67;;;;;2;;4;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
45;434203;735;360;;;3;;;96;3;;;;;2;;4;;;1;;;1;;;;;;13;1;4;;;;;;2;1;;;;6;;4;;;;;;;;;2;24;;1;2;;;;;;1;;;;;5;;;;1;;1;;;;;;;;;;;2;;29;;;;;;;;;;;;1;10;54;;;1;;;;1;77;;;;;1;;5;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5;434204;753;408;12;;;;;36;2;;;;2;;;2;;;;;;;;;;;;13;;1;;;;;;;;;;;18;2;3;;;;;;;;;;24;;3;3;;;;;;2;;;;;76;;;;;;2;;;;;;;;;;;4;;26;;;;;;;1;;;1;;3;3;29;;;;;;;11;117;;;;;;;3;;;;;;;;;;3;;;;;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
52.9;434205;829;469;1;2;;;;39;2;;;;6;;;3;;1;;;;;;;;;;50;;;;;;;;;;;;;14;1;5;;;;;;;;;;24;;;1;;;;;;1;;;;;15;;;;;;3;;;;;;;;;;;3;;27;;;;;;;;;;2;3;3;5;49;1;;;;;;21;180;;;;;;1;3;;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;
57.7;434206;887;495;;;;;;105;;;;;6;;;3;;3;;;;;;;;;;34;;1;;;;;;;;;;;2;2;1;;;;;;;;;;32;;;2;;;;;;2;;;;;;;;;;;6;;;;;;;;;;;5;;27;;;;;;;;;;1;7;11;4;42;;;;;;;4;181;;;;;;1;7;;;;;;;;;;1;;;;;;;3;;;;;;;2;;;;;;;;;;;;;;;;;;;
59.9;434207;913;409;1;2;;;;82;2;;;;3;;;3;;2;;;;;;;;;;24;;;;;;;;;;;;;10;;3;;;;;;;;;;37;;;4;;;;;;3;;;;;;;;;;;;;;;;;;;;;;5;;9;;;;;;;;;;2;1;2;3;35;;;;;;;4;154;;;;;;1;7;;;;;;;;;;3;;;;;3;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;
